stepcount_17,strategy_17,strat code_17,move_17,probabilities_17,utility_17,common_move_17,number_coop_17,number_defect_17,outcomes_17,p1_17,p2_17,p3_17,p4_17,u1_17,u2_17,u3_17,u4_17,m1_17,m2_17,m3_17,m4_17
True,VPP,6,"{18: 'D', 25: 'C', 9: 'D'}","{18: 0.46, 25: 0.47, 9: 0.46}",0,['D'],1,2,"{18: ['D', 'C'], 25: ['C', 'C'], 9: ['D', 'C']}",0.46,0.47,0.46,None,2,1.5,2,None,2,1,2,None
2,VPP,6,"{18: 'D', 25: 'D', 9: 'D'}","{18: 0.48000000000000004, 25: 0.43, 9: 0.48000000000000004}",5.5,['D'],0,3,"{18: ['D', 'D'], 25: ['D', 'C'], 9: ['D', 'D']}",0.48000000000000004,0.43,0.48000000000000004,None,3,3.5,3,None,2,2,2,None
3,VPP,6,"{18: 'C', 25: 'D', 9: 'C'}","{18: 0.45000000000000007, 25: 0.45, 9: 0.45000000000000007}",9.5,['C'],2,1,"{18: ['C', 'C'], 25: ['D', 'D'], 9: ['C', 'C']}",0.45000000000000007,0.45,0.45000000000000007,None,4.5,4.5,4.5,None,1,2,1,None
4,VPP,6,"{18: 'C', 25: 'C', 9: 'C'}","{18: 0.42000000000000004, 25: 0.42000000000000004, 9: 0.42000000000000004}",13.5,['C'],3,0,"{18: ['C', 'C'], 25: ['C', 'C'], 9: ['C', 'C']}",0.42000000000000004,0.42000000000000004,0.42000000000000004,None,6.0,6.0,6.0,None,1,1,1,None
5,VPP,6,"{18: 'D', 25: 'D', 9: 'C'}","{18: 0.38000000000000006, 25: 0.38000000000000006, 9: 0.39}",18.0,['D'],1,2,"{18: ['D', 'C'], 25: ['D', 'C'], 9: ['C', 'C']}",0.38000000000000006,0.38000000000000006,0.39,None,8.0,8.0,7.5,None,2,2,1,None
6,VPP,6,"{18: 'C', 25: 'C', 9: 'C'}","{18: 0.42000000000000004, 25: 0.42000000000000004, 9: 0.36}",23.5,['C'],3,0,"{18: ['C', 'D'], 25: ['C', 'D'], 9: ['C', 'C']}",0.42000000000000004,0.42000000000000004,0.36,None,6.0,6.0,9.0,None,1,1,1,None
7,VPP,6,"{18: 'D', 25: 'D', 9: 'C'}","{18: 0.44000000000000006, 25: 0.44000000000000006, 9: 0.32999999999999996}",21.0,['D'],1,2,"{18: ['D', 'D'], 25: ['D', 'D'], 9: ['C', 'C']}",0.44000000000000006,0.44000000000000006,0.32999999999999996,None,7.0,7.0,10.5,None,2,2,1,None
8,VPP,6,"{18: 'C', 25: 'C', 9: 'C'}","{18: 0.41000000000000003, 25: 0.41000000000000003, 9: 0.29999999999999993}",24.5,['C'],3,0,"{18: ['C', 'C'], 25: ['C', 'C'], 9: ['C', 'C']}",0.41000000000000003,0.41000000000000003,0.29999999999999993,None,8.5,8.5,12.0,None,1,1,1,None
9,VPP,6,"{18: 'D', 25: 'D', 9: 'C'}","{18: 0.37000000000000005, 25: 0.37000000000000005, 9: 0.2699999999999999}",29.0,['D'],1,2,"{18: ['D', 'C'], 25: ['D', 'C'], 9: ['C', 'C']}",0.37000000000000005,0.37000000000000005,0.2699999999999999,None,10.5,10.5,13.5,None,2,2,1,None
10,VPP,6,"{18: 'C', 25: 'C', 9: 'C'}","{18: 0.41000000000000003, 25: 0.41000000000000003, 9: 0.2399999999999999}",34.5,['C'],3,0,"{18: ['C', 'D'], 25: ['C', 'D'], 9: ['C', 'C']}",0.41000000000000003,0.41000000000000003,0.2399999999999999,None,8.5,8.5,15.0,None,1,1,1,None
