stepcount_26,strategy_26,strat code_26,move_26,probabilities_26,utility_26,common_move_26,number_coop_26,number_defect_26,outcomes_26,p1_26,p2_26,p3_26,p4_26,u1_26,u2_26,u3_26,u4_26,m1_26,m2_26,m3_26,m4_26
True,WSLS,7,"{27: 'C', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.47, 34: 0.47, 25: 0.47, 18: 0.47}",0,['C'],4,0,"{27: ['C', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.47,0.47,0.47,0.47,1.5,1.5,1.5,1.5,1,1,1,1
2,WSLS,7,"{27: 'C', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.43999999999999995, 34: 0.43999999999999995, 25: 0.43999999999999995, 18: 0.43999999999999995}",6.0,['C'],4,0,"{27: ['C', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995,3.0,3.0,3.0,3.0,1,1,1,1
3,WSLS,7,"{27: 'C', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.4099999999999999, 34: 0.4099999999999999, 25: 0.4099999999999999, 18: 0.4099999999999999}",12.0,['C'],4,0,"{27: ['C', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.4099999999999999,0.4099999999999999,0.4099999999999999,0.4099999999999999,4.5,4.5,4.5,4.5,1,1,1,1
4,WSLS,7,"{27: 'C', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.3799999999999999, 34: 0.3799999999999999, 25: 0.3799999999999999, 18: 0.3799999999999999}",18.0,['C'],4,0,"{27: ['C', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.3799999999999999,0.3799999999999999,0.3799999999999999,0.3799999999999999,6.0,6.0,6.0,6.0,1,1,1,1
5,WSLS,7,"{27: 'C', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.34999999999999987, 34: 0.34999999999999987, 25: 0.34999999999999987, 18: 0.34999999999999987}",24.0,['C'],4,0,"{27: ['C', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.34999999999999987,0.34999999999999987,0.34999999999999987,0.34999999999999987,7.5,7.5,7.5,7.5,1,1,1,1
6,WSLS,7,"{27: 'C', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.31999999999999984, 34: 0.31999999999999984, 25: 0.31999999999999984, 18: 0.31999999999999984}",30.0,['C'],4,0,"{27: ['C', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.31999999999999984,0.31999999999999984,0.31999999999999984,0.31999999999999984,9.0,9.0,9.0,9.0,1,1,1,1
7,WSLS,7,"{27: 'C', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.3599999999999998, 34: 0.2899999999999998, 25: 0.2899999999999998, 18: 0.2899999999999998}",36.0,['C'],4,0,"{27: ['C', 'D'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.3599999999999998,0.2899999999999998,0.2899999999999998,0.2899999999999998,7.0,10.5,10.5,10.5,1,1,1,1
8,WSLS,7,"{27: 'D', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.31999999999999984, 34: 0.2599999999999998, 25: 0.2599999999999998, 18: 0.2599999999999998}",38.5,['C'],4,0,"{27: ['D', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.31999999999999984,0.2599999999999998,0.2599999999999998,0.2599999999999998,9.0,12.0,12.0,12.0,2,1,1,1
9,WSLS,7,"{27: 'D', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.27999999999999986, 34: 0.2299999999999998, 25: 0.2299999999999998, 18: 0.2299999999999998}",45.0,['C'],3,1,"{27: ['D', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.27999999999999986,0.2299999999999998,0.2299999999999998,0.2299999999999998,11.0,13.5,13.5,13.5,2,1,1,1
10,WSLS,7,"{27: 'D', 34: 'C', 25: 'C', 18: 'C'}","{27: 0.23999999999999985, 34: 0.1999999999999998, 25: 0.1999999999999998, 18: 0.1999999999999998}",51.5,['C'],3,1,"{27: ['D', 'C'], 34: ['C', 'C'], 25: ['C', 'C'], 18: ['C', 'C']}",0.23999999999999985,0.1999999999999998,0.1999999999999998,0.1999999999999998,13.0,15.0,15.0,15.0,2,1,1,1
