stepcount_36,strategy_36,strat code_36,move_36,probabilities_36,utility_36,common_move_36,number_coop_36,number_defect_36,outcomes_36,p1_36,p2_36,p3_36,p4_36,u1_36,u2_36,u3_36,u4_36,m1_36,m2_36,m3_36,m4_36
True,WSLS,7,"{37: 'C', 44: 'C', 35: 'C', 28: 'C'}","{37: 0.47, 44: 0.47, 35: 0.47, 28: 0.47}",0,['C'],4,0,"{37: ['C', 'C'], 44: ['C', 'C'], 35: ['C', 'C'], 28: ['C', 'C']}",0.47,0.47,0.47,0.47,1.5,1.5,1.5,1.5,1,1,1,1
2,WSLS,7,"{37: 'C', 44: 'C', 35: 'C', 28: 'C'}","{37: 0.51, 44: 0.43999999999999995, 35: 0.43999999999999995, 28: 0.43999999999999995}",6.0,['C'],4,0,"{37: ['C', 'D'], 44: ['C', 'C'], 35: ['C', 'C'], 28: ['C', 'C']}",0.51,0.43999999999999995,0.43999999999999995,0.43999999999999995,-0.5,3.0,3.0,3.0,1,1,1,1
3,WSLS,7,"{37: 'D', 44: 'C', 35: 'C', 28: 'C'}","{37: 0.53, 44: 0.4799999999999999, 35: 0.4099999999999999, 28: 0.4099999999999999}",8.5,['C'],4,0,"{37: ['D', 'D'], 44: ['C', 'D'], 35: ['C', 'C'], 28: ['C', 'C']}",0.53,0.4799999999999999,0.4099999999999999,0.4099999999999999,0.5,1.0,4.5,4.5,2,1,1,1
4,WSLS,7,"{37: 'C', 44: 'D', 35: 'C', 28: 'C'}","{37: 0.5, 44: 0.43999999999999995, 35: 0.3799999999999999, 28: 0.3799999999999999}",10.5,['C'],3,1,"{37: ['C', 'C'], 44: ['D', 'C'], 35: ['C', 'C'], 28: ['C', 'C']}",0.5,0.43999999999999995,0.3799999999999999,0.3799999999999999,2.0,3.0,6.0,6.0,1,2,1,1
5,WSLS,7,"{37: 'C', 44: 'D', 35: 'C', 28: 'C'}","{37: 0.47, 44: 0.39999999999999997, 35: 0.34999999999999987, 28: 0.34999999999999987}",17.0,['C'],3,1,"{37: ['C', 'C'], 44: ['D', 'C'], 35: ['C', 'C'], 28: ['C', 'C']}",0.47,0.39999999999999997,0.34999999999999987,0.34999999999999987,3.5,5.0,7.5,7.5,1,2,1,1
6,WSLS,7,"{37: 'C', 44: 'D', 35: 'C', 28: 'C'}","{37: 0.43999999999999995, 44: 0.42, 35: 0.31999999999999984, 28: 0.31999999999999984}",23.5,['C'],3,1,"{37: ['C', 'C'], 44: ['D', 'D'], 35: ['C', 'C'], 28: ['C', 'C']}",0.43999999999999995,0.42,0.31999999999999984,0.31999999999999984,5.0,6.0,9.0,9.0,1,2,1,1
7,WSLS,7,"{37: 'C', 44: 'C', 35: 'C', 28: 'C'}","{37: 0.4099999999999999, 44: 0.45999999999999996, 35: 0.2899999999999998, 28: 0.2899999999999998}",29.0,['C'],3,1,"{37: ['C', 'C'], 44: ['C', 'D'], 35: ['C', 'C'], 28: ['C', 'C']}",0.4099999999999999,0.45999999999999996,0.2899999999999998,0.2899999999999998,6.5,4.0,10.5,10.5,1,1,1,1
8,WSLS,7,"{37: 'C', 44: 'D', 35: 'C', 28: 'C'}","{37: 0.3799999999999999, 44: 0.48, 35: 0.2599999999999998, 28: 0.2599999999999998}",31.5,['C'],4,0,"{37: ['C', 'C'], 44: ['D', 'D'], 35: ['C', 'C'], 28: ['C', 'C']}",0.3799999999999999,0.48,0.2599999999999998,0.2599999999999998,8.0,5.0,12.0,12.0,1,2,1,1
9,WSLS,7,"{37: 'C', 44: 'C', 35: 'C', 28: 'C'}","{37: 0.34999999999999987, 44: 0.52, 35: 0.2299999999999998, 28: 0.2299999999999998}",37.0,['C'],3,1,"{37: ['C', 'C'], 44: ['C', 'D'], 35: ['C', 'C'], 28: ['C', 'C']}",0.34999999999999987,0.52,0.2299999999999998,0.2299999999999998,9.5,3.0,13.5,13.5,1,1,1,1
10,WSLS,7,"{37: 'C', 44: 'D', 35: 'C', 28: 'C'}","{37: 0.31999999999999984, 44: 0.48000000000000004, 35: 0.1999999999999998, 28: 0.1999999999999998}",39.5,['C'],4,0,"{37: ['C', 'C'], 44: ['D', 'C'], 35: ['C', 'C'], 28: ['C', 'C']}",0.31999999999999984,0.48000000000000004,0.1999999999999998,0.1999999999999998,11.0,5.0,15.0,15.0,1,2,1,1
