,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
81,71,69,22,17,2947.0,21,2908.5,14,-553,0,0,0,"(47, 0.015, 0.7)"
82,77,63,19,18,2985.5,21,2943.5,14,-539,14,0,0,"(47, 0.015, 0.7)"
83,71,69,22,17,3024.0,21,2985.5,14,-567,0,0,0,"(47, 0.015, 0.7)"
84,77,63,19,18,3062.5,21,3020.5,14,-553,14,0,0,"(47, 0.015, 0.7)"
85,71,69,22,17,3101.0,21,3062.5,14,-581,0,0,0,"(47, 0.015, 0.7)"
86,77,63,19,18,3139.5,21,3097.5,14,-567,14,0,0,"(47, 0.015, 0.7)"
87,71,69,22,17,3178.0,21,3139.5,14,-595,0,0,0,"(47, 0.015, 0.7)"
88,77,63,19,18,3216.5,21,3174.5,14,-581,14,0,0,"(47, 0.015, 0.7)"
89,71,69,22,17,3255.0,21,3216.5,14,-609,0,0,0,"(47, 0.015, 0.7)"
90,77,63,19,18,3293.5,21,3251.5,14,-595,14,0,0,"(47, 0.015, 0.7)"
91,71,69,22,17,3332.0,21,3293.5,14,-623,0,0,0,"(47, 0.015, 0.7)"
92,77,63,19,18,3370.5,21,3328.5,14,-609,14,0,0,"(47, 0.015, 0.7)"
93,71,69,22,17,3409.0,21,3370.5,14,-637,0,0,0,"(47, 0.015, 0.7)"
94,77,63,19,18,3447.5,21,3405.5,14,-623,14,0,0,"(47, 0.015, 0.7)"
95,71,69,22,17,3486.0,21,3447.5,14,-651,0,0,0,"(47, 0.015, 0.7)"
96,77,63,19,18,3524.5,21,3482.5,14,-637,14,0,0,"(47, 0.015, 0.7)"
97,71,69,22,17,3563.0,21,3524.5,14,-665,0,0,0,"(47, 0.015, 0.7)"
98,77,63,19,18,3601.5,21,3559.5,14,-651,14,0,0,"(47, 0.015, 0.7)"
99,71,69,22,17,3640.0,21,3601.5,14,-679,0,0,0,"(47, 0.015, 0.7)"
100,77,63,19,18,3678.5,21,3636.5,14,-665,14,0,0,"(47, 0.015, 0.7)"
101,71,69,22,17,3717.0,21,3678.5,14,-693,0,0,0,"(47, 0.015, 0.7)"
102,77,63,19,18,3755.5,21,3713.5,14,-679,14,0,0,"(47, 0.015, 0.7)"
103,71,69,22,17,3794.0,21,3755.5,14,-707,0,0,0,"(47, 0.015, 0.7)"
104,77,63,19,18,3832.5,21,3790.5,14,-693,14,0,0,"(47, 0.015, 0.7)"
105,71,69,22,17,3871.0,21,3832.5,14,-721,0,0,0,"(47, 0.015, 0.7)"
106,77,63,19,18,3909.5,21,3867.5,14,-707,14,0,0,"(47, 0.015, 0.7)"
107,71,69,22,17,3948.0,21,3909.5,14,-735,0,0,0,"(47, 0.015, 0.7)"
108,77,63,19,18,3986.5,21,3944.5,14,-721,14,0,0,"(47, 0.015, 0.7)"
109,71,69,22,17,4025.0,21,3986.5,14,-749,0,0,0,"(47, 0.015, 0.7)"
110,77,63,19,18,4063.5,21,4021.5,14,-735,14,0,0,"(47, 0.015, 0.7)"
111,71,69,22,17,4102.0,21,4063.5,14,-763,0,0,0,"(47, 0.015, 0.7)"
112,77,63,19,18,4140.5,21,4098.5,14,-749,14,0,0,"(47, 0.015, 0.7)"
113,71,69,22,17,4179.0,21,4140.5,14,-777,0,0,0,"(47, 0.015, 0.7)"
114,77,63,19,18,4217.5,21,4175.5,14,-763,14,0,0,"(47, 0.015, 0.7)"
115,71,69,22,17,4256.0,21,4217.5,14,-791,0,0,0,"(47, 0.015, 0.7)"
116,77,63,19,18,4294.5,21,4252.5,14,-777,14,0,0,"(47, 0.015, 0.7)"
117,71,69,22,17,4333.0,21,4294.5,14,-805,0,0,0,"(47, 0.015, 0.7)"
118,77,63,19,18,4371.5,21,4329.5,14,-791,14,0,0,"(47, 0.015, 0.7)"
119,71,69,22,17,4410.0,21,4371.5,14,-819,0,0,0,"(47, 0.015, 0.7)"
120,77,63,19,18,4448.5,21,4406.5,14,-805,14,0,0,"(47, 0.015, 0.7)"
121,71,69,22,17,4487.0,21,4448.5,14,-833,0,0,0,"(47, 0.015, 0.7)"
122,77,63,19,18,4525.5,21,4483.5,14,-819,14,0,0,"(47, 0.015, 0.7)"
123,71,69,22,17,4564.0,21,4525.5,14,-847,0,0,0,"(47, 0.015, 0.7)"
124,77,63,19,18,4602.5,21,4560.5,14,-833,14,0,0,"(47, 0.015, 0.7)"
125,71,69,22,17,4641.0,21,4602.5,14,-861,0,0,0,"(47, 0.015, 0.7)"
126,77,63,19,18,4679.5,21,4637.5,14,-847,14,0,0,"(47, 0.015, 0.7)"
127,71,69,22,17,4718.0,21,4679.5,14,-875,0,0,0,"(47, 0.015, 0.7)"
128,77,63,19,18,4756.5,21,4714.5,14,-861,14,0,0,"(47, 0.015, 0.7)"
129,71,69,22,17,4795.0,21,4756.5,14,-889,0,0,0,"(47, 0.015, 0.7)"
130,77,63,19,18,4833.5,21,4791.5,14,-875,14,0,0,"(47, 0.015, 0.7)"
131,71,69,22,17,4872.0,21,4833.5,14,-903,0,0,0,"(47, 0.015, 0.7)"
132,77,63,19,18,4910.5,21,4868.5,14,-889,14,0,0,"(47, 0.015, 0.7)"
133,71,69,22,17,4949.0,21,4910.5,14,-917,0,0,0,"(47, 0.015, 0.7)"
134,77,63,19,18,4987.5,21,4945.5,14,-903,14,0,0,"(47, 0.015, 0.7)"
135,71,69,22,17,5026.0,21,4987.5,14,-931,0,0,0,"(47, 0.015, 0.7)"
136,77,63,19,18,5064.5,21,5022.5,14,-917,14,0,0,"(47, 0.015, 0.7)"
137,71,69,22,17,5103.0,21,5064.5,14,-945,0,0,0,"(47, 0.015, 0.7)"
138,77,63,19,18,5141.5,21,5099.5,14,-931,14,0,0,"(47, 0.015, 0.7)"
139,71,69,22,17,5180.0,21,5141.5,14,-959,0,0,0,"(47, 0.015, 0.7)"
140,77,63,19,18,5218.5,21,5176.5,14,-945,14,0,0,"(47, 0.015, 0.7)"
141,71,69,22,17,5257.0,21,5218.5,14,-973,0,0,0,"(47, 0.015, 0.7)"
142,77,63,19,18,5295.5,21,5253.5,14,-959,14,0,0,"(47, 0.015, 0.7)"
143,71,69,22,17,5334.0,21,5295.5,14,-987,0,0,0,"(47, 0.015, 0.7)"
144,77,63,19,18,5372.5,21,5330.5,14,-973,14,0,0,"(47, 0.015, 0.7)"
145,71,69,22,17,5411.0,21,5372.5,14,-1001,0,0,0,"(47, 0.015, 0.7)"
146,77,63,19,18,5449.5,21,5407.5,14,-987,14,0,0,"(47, 0.015, 0.7)"
147,71,69,22,17,5488.0,21,5449.5,14,-1015,0,0,0,"(47, 0.015, 0.7)"
148,77,63,19,18,5526.5,21,5484.5,14,-1001,14,0,0,"(47, 0.015, 0.7)"
149,71,69,22,17,5565.0,21,5526.5,14,-1029,0,0,0,"(47, 0.015, 0.7)"
150,77,63,19,18,5603.5,21,5561.5,14,-1015,14,0,0,"(47, 0.015, 0.7)"
151,71,69,22,17,5642.0,21,5603.5,14,-1043,0,0,0,"(47, 0.015, 0.7)"
152,77,63,19,18,5680.5,21,5638.5,14,-1029,14,0,0,"(47, 0.015, 0.7)"
153,71,69,22,17,5719.0,21,5680.5,14,-1057,0,0,0,"(47, 0.015, 0.7)"
154,77,63,19,18,5757.5,21,5715.5,14,-1043,14,0,0,"(47, 0.015, 0.7)"
155,71,69,22,17,5796.0,21,5757.5,14,-1071,0,0,0,"(47, 0.015, 0.7)"
156,77,63,19,18,5834.5,21,5792.5,14,-1057,14,0,0,"(47, 0.015, 0.7)"
157,71,69,22,17,5873.0,21,5834.5,14,-1085,0,0,0,"(47, 0.015, 0.7)"
158,77,63,19,18,5911.5,21,5869.5,14,-1071,14,0,0,"(47, 0.015, 0.7)"
159,71,69,22,17,5950.0,21,5911.5,14,-1099,0,0,0,"(47, 0.015, 0.7)"
160,77,63,19,18,5988.5,21,5946.5,14,-1085,14,0,0,"(47, 0.015, 0.7)"
161,71,69,22,17,6027.0,21,5988.5,14,-1113,0,0,0,"(47, 0.015, 0.7)"
162,77,63,19,18,6065.5,21,6023.5,14,-1099,14,0,0,"(47, 0.015, 0.7)"
163,71,69,22,17,6104.0,21,6065.5,14,-1127,0,0,0,"(47, 0.015, 0.7)"
164,77,63,19,18,6142.5,21,6100.5,14,-1113,14,0,0,"(47, 0.015, 0.7)"
165,71,69,22,17,6181.0,21,6142.5,14,-1141,0,0,0,"(47, 0.015, 0.7)"
166,77,63,19,18,6219.5,21,6177.5,14,-1127,14,0,0,"(47, 0.015, 0.7)"
167,71,69,22,17,6258.0,21,6219.5,14,-1155,0,0,0,"(47, 0.015, 0.7)"
168,77,63,19,18,6296.5,21,6254.5,14,-1141,14,0,0,"(47, 0.015, 0.7)"
169,71,69,22,17,6335.0,21,6296.5,14,-1169,0,0,0,"(47, 0.015, 0.7)"
170,77,63,19,18,6373.5,21,6331.5,14,-1155,14,0,0,"(47, 0.015, 0.7)"
