stepcount_8,strategy_8,strat code_8,move_8,probabilities_8,utility_8,common_move_8,number_coop_8,number_defect_8,outcomes_8,u1_8,u2_8,u3_8,u4_8,m1_8,m2_8,m3_8,m4_8,uv_8,ps_8,nc_8,mutC_8,simP_8,avp1_8,avp2_8,avp3_8,avp4_8,globav_8,epsilon_8,alpha_8,mood_8
True,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",0,['C'],8,0,"{9: ['C', 'C'], 13: ['C', 'C'], 7: ['C', 'C'], 3: ['C', 'C']}",3,3,3,3,1,1,1,1,0.075,"{9: [0, 9, 'NEUTRAL'], 13: [0, 13, 'NEUTRAL'], 7: ['C', 7, 'NEUTRAL'], 3: ['C', 3, 'NEUTRAL']}",8,4,4,1.5,1.5,1.5,1.5,1.5,0.5,0.1,60.53375
2,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",12,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'C'], 7: ['C', 'C'], 3: ['C', 'C']}",6,6,6,6,1,1,1,1,0.135,"{9: ['C', 9, 'NEUTRAL'], 13: ['C', 13, 'NEUTRAL'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'NEUTRAL']}",3,4,8,2,2,2,2,2,0.5,0.1,72.91242584374999
3,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'D'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",24,['C'],4,0,"{9: ['C', 'C'], 13: ['C', 'D'], 7: ['C', 'D'], 3: ['D', 'C']}",9,6,6,11,1,1,1,2,0.135,"{9: ['C', 9, 'HIGH'], 13: ['D', 13, 'HIGH'], 7: ['D', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",4,1,12,2.25,1.5,1.5,2.75,2.0,0.5,0.1,80.86381737092647
4,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",32,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'C'], 7: ['C', 'C'], 3: ['C', 'C']}",12,9,9,14,1,1,1,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['C', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",3,4,16,2.4,1.8,1.8,2.8,2.2,0.0001,0.1,92.7108266504363
5,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",44,['C'],4,0,"{9: ['C', 'C'], 13: ['C', 'D'], 7: ['D', 'C'], 3: ['C', 'C']}",15,9,14,17,1,1,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['D', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",4,2,20,2.5,1.5,2.3333333333333335,2.8333333333333335,2.291666666666667,0.0001,0.1,99.999
6,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",55,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'D'], 7: ['C', 'C'], 3: ['C', 'C']}",18,9,17,20,1,1,1,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['D', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",3,3,24,2.5714285714285716,1.2857142857142858,2.4285714285714284,2.857142857142857,2.2857142857142856,0.0001,0.1,99.999
7,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",64,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'D'], 7: ['D', 'C'], 3: ['C', 'C']}",21,9,22,23,1,1,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['D', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",3,2,28,2.625,1.125,2.75,2.875,2.34375,0.0001,0.1,99.999
8,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",75,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'D'], 7: ['D', 'C'], 3: ['C', 'C']}",24,9,27,26,1,1,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['D', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",3,2,32,2.6666666666666665,1,3,2.888888888888889,2.388888888888889,0.0001,0.1,99.999
9,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",86,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'D'], 7: ['D', 'C'], 3: ['C', 'C']}",27,9,32,29,1,1,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['D', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",3,2,36,2.7,0.9,3.2,2.9,2.4250000000000003,0.0001,0.1,99.999
10,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",97,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'D'], 7: ['D', 'C'], 3: ['C', 'C']}",30,9,37,32,1,1,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['D', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",3,2,40,2.727272727272727,0.8181818181818182,3.3636363636363638,2.909090909090909,2.4545454545454546,0.0001,0.1,99.999
