stepcount_25,strategy_25,strat code_25,move_25,probabilities_25,utility_25,common_move_25,number_coop_25,number_defect_25,outcomes_25,u1_25,u2_25,u3_25,u4_25,m1_25,m2_25,m3_25,m4_25,uv_25,ps_25,nc_25,mutC_25,simP_25,avp1_25,avp2_25,avp3_25,avp4_25,globav_25,epsilon_25,alpha_25,mood_25
True,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.065, 20: 0.065}",0,['C'],4,0,"{24: ['C', 'C'], 20: ['C', 'C']}",3,3,None,None,1,1,None,None,0.045,"{24: ['C', 24, 'NEUTRAL'], 20: ['C', 20, 'NEUTRAL']}",4,2,2,1.5,1.5,None,None,1.5,0.5,0.1,56.0
2,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.001, 20: 0.001}",6,['C'],0,2,"{24: ['C', 'C'], 20: ['C', 'C']}",6,6,None,None,1,1,None,None,0.075,"{24: ['C', 24, 'NEUTRAL'], 20: ['C', 20, 'NEUTRAL']}",0,2,4,2,2,None,None,2,0.5,0.1,62.0
3,MOODYLEARN,9,"{24: 'D', 20: 'D'}","{24: 0.001, 20: 0.076}",12,['D'],1,1,"{24: ['D', 'C'], 20: ['D', 'D']}",11,7,None,None,2,2,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['D', 20, 'HIGH']}",1,0,6,2.75,1.75,None,None,2.25,0.5,0.1,68.475
4,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.076}",18,Eq,2,0,"{24: ['D', 'C'], 20: ['C', 'D']}",16,7,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['D', 20, 'HIGH']}",2,0,8,3.2,1.4,None,None,2.3,0.5,0.1,73.84655499999998
5,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.001, 20: 0.076}",23,['C'],1,1,"{24: ['C', 'D'], 20: ['C', 'D']}",16,7,None,None,1,1,None,None,0.075,"{24: ['D', 24, 'HIGH'], 20: ['D', 20, 'HIGH']}",1,0,10,2.6666666666666665,1.1666666666666667,None,None,1.9166666666666665,0.0001,0.1,73.63224204791665
6,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.001}",23,Eq,1,1,"{24: ['D', 'C'], 20: ['C', 'C']}",21,10,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,12,3,1.4285714285714286,None,None,2.2142857142857144,0.0001,0.1,81.70905179443749
7,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.001}",31,Eq,1,1,"{24: ['D', 'C'], 20: ['C', 'C']}",26,13,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,14,3.25,1.625,None,None,2.4375,0.0001,0.1,89.89015716170792
8,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.001}",39,Eq,1,1,"{24: ['D', 'C'], 20: ['C', 'C']}",31,16,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,16,3.4444444444444446,1.7777777777777777,None,None,2.611111111111111,0.0001,0.1,98.06054056184655
9,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.001}",47,Eq,1,1,"{24: ['D', 'C'], 20: ['C', 'C']}",36,19,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,18,3.6,1.9,None,None,2.75,0.0001,0.1,99.999
10,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.001}",55,Eq,1,1,"{24: ['D', 'C'], 20: ['C', 'C']}",41,22,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,20,3.727272727272727,2,None,None,2.8636363636363633,0.0001,0.1,99.999
11,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.001}",63,Eq,1,1,"{24: ['D', 'C'], 20: ['C', 'C']}",46,25,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,22,3.8333333333333335,2.0833333333333335,None,None,2.9583333333333335,0.0001,0.1,99.999
