stepcount_8,strategy_8,strat code_8,move_8,probabilities_8,utility_8,common_move_8,number_coop_8,number_defect_8,outcomes_8,u1_8,u2_8,u3_8,u4_8,m1_8,m2_8,m3_8,m4_8,uv_8,ps_8,nc_8,mutC_8,simP_8,avp1_8,avp2_8,avp3_8,avp4_8,globav_8,epsilon_8,alpha_8,mood_8
True,MOODYLEARN,9,"{9: 'D', 13: 'D', 7: 'D', 3: 'D'}","{9: 0.275, 13: 0.275, 7: 0.275, 3: 0.275}",0,['D'],0,8,"{9: ['D', 'D'], 13: ['D', 'D'], 7: ['D', 'D'], 3: ['D', 'D']}",1,1,1,1,2,2,2,2,0.075,"{9: [0, 9, 'NEUTRAL'], 13: [0, 13, 'NEUTRAL'], 7: ['D', 7, 'NEUTRAL'], 3: ['D', 3, 'NEUTRAL']}",0,0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.1,53.50375
2,MOODYLEARN,9,"{9: 'D', 13: 'D', 7: 'D', 3: 'D'}","{9: 0.41000000000000003, 13: 0.41000000000000003, 7: 0.41000000000000003, 3: 0.41000000000000003}",4,['D'],4,0,"{9: ['D', 'D'], 13: ['D', 'D'], 7: ['D', 'D'], 3: ['D', 'D']}",2,2,2,2,2,2,2,2,0.135,"{9: ['D', 9, 'NEUTRAL'], 13: ['D', 13, 'NEUTRAL'], 7: ['D', 7, 'NEUTRAL'], 3: ['D', 3, 'NEUTRAL']}",4,0,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.1,57.65694167708333
3,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.0050000000000000044, 13: 0.0050000000000000044, 7: 0.0050000000000000044, 3: 0.41000000000000003}",8,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'C'], 7: ['C', 'C'], 3: ['C', 'D']}",5,5,5,2,1,1,1,1,0.135,"{9: ['C', 9, 'NEUTRAL'], 13: ['C', 13, 'NEUTRAL'], 7: ['C', 7, 'NEUTRAL'], 3: ['D', 3, 'NEUTRAL']}",3,3,12,1.25,1.25,1.25,0.5,1.0625,0.5,0.1,66.72115322380505
4,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.0050000000000000044}",17,['C'],3,1,"{9: ['C', 'C'], 13: ['C', 'C'], 7: ['D', 'C'], 3: ['C', 'C']}",8,8,10,5,1,1,2,1,0.135,"{9: ['C', 9, 'NEUTRAL'], 13: ['C', 13, 'NEUTRAL'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",3,3,16,1.6,1.6,2,1,1.55,0.5,0.1,80.99590316561688
5,MOODYLEARN,9,"{9: 'D', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",31,['C'],2,2,"{9: ['D', 'C'], 13: ['C', 'C'], 7: ['C', 'C'], 3: ['C', 'C']}",13,11,13,8,2,1,1,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['C', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",2,3,20,2.1666666666666665,1.8333333333333333,2.1666666666666665,1.3333333333333333,1.875,0.0001,0.1,95.16177244042844
6,MOODYLEARN,9,"{9: 'C', 13: 'D', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",45,Eq,4,0,"{9: ['C', 'C'], 13: ['D', 'C'], 7: ['D', 'C'], 3: ['C', 'C']}",16,16,18,11,1,2,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['C', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",4,2,24,2.2857142857142856,2.2857142857142856,2.5714285714285716,1.5714285714285714,2.1785714285714284,0.0001,0.1,99.999
7,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",61,['C'],2,2,"{9: ['C', 'C'], 13: ['C', 'C'], 7: ['C', 'C'], 3: ['C', 'C']}",19,19,21,14,1,1,1,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['C', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",2,4,28,2.375,2.375,2.625,1.75,2.28125,0.0001,0.1,99.999
8,MOODYLEARN,9,"{9: 'C', 13: 'D', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",73,Eq,4,0,"{9: ['C', 'C'], 13: ['D', 'C'], 7: ['D', 'C'], 3: ['C', 'C']}",22,24,26,17,1,2,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['C', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",4,2,32,2.4444444444444446,2.6666666666666665,2.888888888888889,1.8888888888888888,2.4722222222222223,0.0001,0.1,99.999
9,MOODYLEARN,9,"{9: 'C', 13: 'C', 7: 'C', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",89,['C'],2,2,"{9: ['C', 'C'], 13: ['C', 'C'], 7: ['C', 'C'], 3: ['C', 'C']}",25,27,29,20,1,1,1,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['C', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",2,4,36,2.5,2.7,2.9,2,2.525,0.0001,0.1,99.999
10,MOODYLEARN,9,"{9: 'C', 13: 'D', 7: 'D', 3: 'C'}","{9: 0.001, 13: 0.001, 7: 0.001, 3: 0.001}",101,Eq,4,0,"{9: ['C', 'C'], 13: ['D', 'C'], 7: ['D', 'C'], 3: ['C', 'C']}",28,32,34,23,1,2,2,1,0.135,"{9: ['C', 9, 'HIGH'], 13: ['C', 13, 'HIGH'], 7: ['C', 7, 'HIGH'], 3: ['C', 3, 'HIGH']}",4,2,40,2.5454545454545454,2.909090909090909,3.090909090909091,2.090909090909091,2.659090909090909,0.0001,0.1,99.999
