stepcount_3,strategy_3,strat code_3,move_3,probabilities_3,utility_3,common_move_3,number_coop_3,number_defect_3,outcomes_3,p1_3,p2_3,p3_3,p4_3,u1_3,u2_3,u3_3,u4_3,m1_3,m2_3,m3_3,m4_3
True,VPP,6,"{4: 'D', 11: 'C', 2: 'C'}","{4: 0.46, 11: 0.47, 2: 0.47}",0,['C'],2,1,"{4: ['D', 'C'], 11: ['C', 'C'], 2: ['C', 'C']}",0.46,0.47,0.47,None,2,1.5,1.5,None,2,1,1,None
2,VPP,6,"{4: 'C', 11: 'D', 2: 'C'}","{4: 0.5, 11: 0.43, 2: 0.43999999999999995}",5.0,['C'],2,1,"{4: ['C', 'D'], 11: ['D', 'C'], 2: ['C', 'C']}",0.5,0.43,0.43999999999999995,None,0,3.5,3.0,None,1,2,1,None
3,VPP,6,"{4: 'C', 11: 'C', 2: 'C'}","{4: 0.54, 11: 0.47, 2: 0.4099999999999999}",6.5,['C'],3,0,"{4: ['C', 'D'], 11: ['C', 'D'], 2: ['C', 'C']}",0.54,0.47,0.4099999999999999,None,-2,1.5,4.5,None,1,1,1,None
4,VPP,6,"{4: 'C', 11: 'C', 2: 'D'}","{4: 0.5800000000000001, 11: 0.51, 2: 0.36999999999999994}",4.0,['C'],2,1,"{4: ['C', 'D'], 11: ['C', 'D'], 2: ['D', 'C']}",0.5800000000000001,0.51,0.36999999999999994,None,-4,-0.5,6.5,None,1,1,2,None
5,VPP,6,"{4: 'C', 11: 'D', 2: 'C'}","{4: 0.6200000000000001, 11: 0.53, 2: 0.4099999999999999}",2.0,['C'],2,1,"{4: ['C', 'D'], 11: ['D', 'D'], 2: ['C', 'D']}",0.6200000000000001,0.53,0.4099999999999999,None,-6,0.5,4.5,None,1,2,1,None
6,VPP,6,"{4: 'C', 11: 'D', 2: 'C'}","{4: 0.6600000000000001, 11: 0.49000000000000005, 2: 0.4499999999999999}",-1.0,['C'],2,1,"{4: ['C', 'D'], 11: ['D', 'C'], 2: ['C', 'D']}",0.6600000000000001,0.49000000000000005,0.4499999999999999,None,-8,2.5,2.5,None,1,2,1,None
7,VPP,6,"{4: 'D', 11: 'C', 2: 'C'}","{4: 0.6800000000000002, 11: 0.53, 2: 0.4899999999999999}",-3.0,['C'],2,1,"{4: ['D', 'D'], 11: ['C', 'D'], 2: ['C', 'D']}",0.6800000000000002,0.53,0.4899999999999999,None,-7,0.5,0.5,None,2,1,1,None
8,VPP,6,"{4: 'D', 11: 'D', 2: 'C'}","{4: 0.6400000000000001, 11: 0.55, 2: 0.5299999999999999}",-6.0,['D'],1,2,"{4: ['D', 'C'], 11: ['D', 'D'], 2: ['C', 'D']}",0.6400000000000001,0.55,0.5299999999999999,None,-5,1.5,-1.5,None,2,2,1,None
9,VPP,6,"{4: 'D', 11: 'D', 2: 'C'}","{4: 0.6600000000000001, 11: 0.51, 2: 0.57}",-5.0,['D'],1,2,"{4: ['D', 'D'], 11: ['D', 'C'], 2: ['C', 'D']}",0.6600000000000001,0.51,0.57,None,-4,3.5,-3.5,None,2,2,1,None
10,VPP,6,"{4: 'D', 11: 'D', 2: 'C'}","{4: 0.6200000000000001, 11: 0.53, 2: 0.61}",-4.0,['D'],1,2,"{4: ['D', 'C'], 11: ['D', 'D'], 2: ['C', 'D']}",0.6200000000000001,0.53,0.61,None,-2,4.5,-5.5,None,2,2,1,None
11,VPP,6,"{4: 'D', 11: 'C', 2: 'C'}","{4: 0.6400000000000001, 11: 0.5, 2: 0.65}",-3.0,['C'],2,1,"{4: ['D', 'D'], 11: ['C', 'C'], 2: ['C', 'D']}",0.6400000000000001,0.5,0.65,None,-1,6.0,-7.5,None,2,1,1,None
12,VPP,6,"{4: 'D', 11: 'D', 2: 'D'}","{4: 0.6000000000000001, 11: 0.46, 2: 0.67}",-2.5,['D'],0,3,"{4: ['D', 'C'], 11: ['D', 'C'], 2: ['D', 'D']}",0.6000000000000001,0.46,0.67,None,1,8.0,-6.5,None,2,2,2,None
13,VPP,6,"{4: 'C', 11: 'D', 2: 'D'}","{4: 0.6400000000000001, 11: 0.48000000000000004, 2: 0.63}",2.5,['D'],1,2,"{4: ['C', 'D'], 11: ['D', 'D'], 2: ['D', 'C']}",0.6400000000000001,0.48000000000000004,0.63,None,-1,9.0,-4.5,None,1,2,2,None
14,VPP,6,"{4: 'C', 11: 'C', 2: 'D'}","{4: 0.6800000000000002, 11: 0.45000000000000007, 2: 0.65}",3.5,['C'],2,1,"{4: ['C', 'D'], 11: ['C', 'C'], 2: ['D', 'D']}",0.6800000000000002,0.45000000000000007,0.65,None,-3,10.5,-3.5,None,1,1,2,None
15,VPP,6,"{4: 'C', 11: 'D', 2: 'D'}","{4: 0.7200000000000002, 11: 0.4100000000000001, 2: 0.61}",4.0,['D'],1,2,"{4: ['C', 'D'], 11: ['D', 'C'], 2: ['D', 'C']}",0.7200000000000002,0.4100000000000001,0.61,None,-5,12.5,-1.5,None,1,2,2,None
16,VPP,6,"{4: 'D', 11: 'D', 2: 'D'}","{4: 0.7400000000000002, 11: 0.4300000000000001, 2: 0.63}",6.0,['D'],0,3,"{4: ['D', 'D'], 11: ['D', 'D'], 2: ['D', 'D']}",0.7400000000000002,0.4300000000000001,0.63,None,-4,13.5,-0.5,None,2,2,2,None
17,VPP,6,"{4: 'D', 11: 'D', 2: 'C'}","{4: 0.7000000000000002, 11: 0.3900000000000001, 2: 0.6}",9.0,['D'],1,2,"{4: ['D', 'C'], 11: ['D', 'C'], 2: ['C', 'C']}",0.7000000000000002,0.3900000000000001,0.6,None,-2,15.5,1.0,None,2,2,1,None
18,VPP,6,"{4: 'C', 11: 'C', 2: 'D'}","{4: 0.7400000000000002, 11: 0.4300000000000001, 2: 0.5599999999999999}",14.5,['C'],2,1,"{4: ['C', 'D'], 11: ['C', 'D'], 2: ['D', 'C']}",0.7400000000000002,0.4300000000000001,0.5599999999999999,None,-4,13.5,3.0,None,1,1,2,None
19,VPP,6,"{4: 'C', 11: 'C', 2: 'C'}","{4: 0.7800000000000002, 11: 0.4700000000000001, 2: 0.6}",12.5,['C'],3,0,"{4: ['C', 'D'], 11: ['C', 'D'], 2: ['C', 'D']}",0.7800000000000002,0.4700000000000001,0.6,None,-6,11.5,1.0,None,1,1,1,None
20,VPP,6,"{4: 'D', 11: 'D', 2: 'C'}","{4: 0.8000000000000003, 11: 0.4900000000000001, 2: 0.64}",6.5,['D'],1,2,"{4: ['D', 'D'], 11: ['D', 'D'], 2: ['C', 'D']}",0.8000000000000003,0.4900000000000001,0.64,None,-5,12.5,-1.0,None,2,2,1,None
21,VPP,6,"{4: 'D', 11: 'D', 2: 'D'}","{4: 0.7600000000000002, 11: 0.4500000000000001, 2: 0.66}",6.5,['D'],0,3,"{4: ['D', 'C'], 11: ['D', 'C'], 2: ['D', 'D']}",0.7600000000000002,0.4500000000000001,0.66,None,-3,14.5,0.0,None,2,2,2,None
22,VPP,6,"{4: 'D', 11: 'D', 2: 'D'}","{4: 0.7800000000000002, 11: 0.47000000000000014, 2: 0.62}",11.5,['D'],0,3,"{4: ['D', 'D'], 11: ['D', 'D'], 2: ['D', 'C']}",0.7800000000000002,0.47000000000000014,0.62,None,-2,15.5,2.0,None,2,2,2,None
23,VPP,6,"{4: 'C', 11: 'C', 2: 'D'}","{4: 0.7500000000000002, 11: 0.44000000000000017, 2: 0.64}",15.5,['C'],2,1,"{4: ['C', 'C'], 11: ['C', 'C'], 2: ['D', 'D']}",0.7500000000000002,0.44000000000000017,0.64,None,-0.5,17.0,3.0,None,1,1,2,None
