stepcount_63,strategy_63,strat code_63,move_63,probabilities_63,utility_63,common_move_63,number_coop_63,number_defect_63,outcomes_63,p1_63,p2_63,p3_63,p4_63,u1_63,u2_63,u3_63,u4_63,m1_63,m2_63,m3_63,m4_63
True,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.54, 62: 0.47, 55: 0.47}",0,['C'],3,0,"{64: ['C', 'D'], 62: ['C', 'C'], 55: ['C', 'C']}",0.54,0.47,0.47,None,-2,1.5,1.5,None,1,1,1,None
2,WSLS,7,"{64: 'D', 62: 'C', 55: 'C'}","{64: 0.56, 62: 0.43999999999999995, 55: 0.43999999999999995}",1.0,['C'],3,0,"{64: ['D', 'D'], 62: ['C', 'C'], 55: ['C', 'C']}",0.56,0.43999999999999995,0.43999999999999995,None,-1,3.0,3.0,None,2,1,1,None
3,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.6000000000000001, 62: 0.4099999999999999, 55: 0.4099999999999999}",5.0,['C'],2,1,"{64: ['C', 'D'], 62: ['C', 'C'], 55: ['C', 'C']}",0.6000000000000001,0.4099999999999999,0.4099999999999999,None,-3,4.5,4.5,None,1,1,1,None
4,WSLS,7,"{64: 'D', 62: 'C', 55: 'C'}","{64: 0.6200000000000001, 62: 0.4499999999999999, 55: 0.3799999999999999}",6.0,['C'],3,0,"{64: ['D', 'D'], 62: ['C', 'D'], 55: ['C', 'C']}",0.6200000000000001,0.4499999999999999,0.3799999999999999,None,-2,2.5,6.0,None,2,1,1,None
5,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.5900000000000001, 62: 0.4699999999999999, 55: 0.34999999999999987}",6.5,['C'],2,1,"{64: ['C', 'C'], 62: ['D', 'D'], 55: ['C', 'C']}",0.5900000000000001,0.4699999999999999,0.34999999999999987,None,-0.5,3.5,7.5,None,1,2,1,None
6,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.56, 62: 0.43999999999999995, 55: 0.31999999999999984}",10.5,['C'],2,1,"{64: ['C', 'C'], 62: ['C', 'C'], 55: ['C', 'C']}",0.56,0.43999999999999995,0.31999999999999984,None,1.0,5.0,9.0,None,1,1,1,None
7,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.53, 62: 0.4799999999999999, 55: 0.2899999999999998}",15.0,['C'],3,0,"{64: ['C', 'C'], 62: ['C', 'D'], 55: ['C', 'C']}",0.53,0.4799999999999999,0.2899999999999998,None,2.5,3.0,10.5,None,1,1,1,None
8,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.5700000000000001, 62: 0.43999999999999995, 55: 0.2599999999999998}",16.0,['C'],3,0,"{64: ['C', 'D'], 62: ['D', 'C'], 55: ['C', 'C']}",0.5700000000000001,0.43999999999999995,0.2599999999999998,None,0.5,5.0,12.0,None,1,2,1,None
9,WSLS,7,"{64: 'D', 62: 'D', 55: 'C'}","{64: 0.5900000000000001, 62: 0.39999999999999997, 55: 0.2299999999999998}",17.5,['D'],2,1,"{64: ['D', 'D'], 62: ['D', 'C'], 55: ['C', 'C']}",0.5900000000000001,0.39999999999999997,0.2299999999999998,None,1.5,7.0,13.5,None,2,2,1,None
10,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.6300000000000001, 62: 0.42, 55: 0.1999999999999998}",22.0,['C'],1,2,"{64: ['C', 'D'], 62: ['D', 'D'], 55: ['C', 'C']}",0.6300000000000001,0.42,0.1999999999999998,None,-0.5,8.0,15.0,None,1,2,1,None
11,WSLS,7,"{64: 'D', 62: 'C', 55: 'C'}","{64: 0.6500000000000001, 62: 0.39, 55: 0.1699999999999998}",22.5,['C'],2,1,"{64: ['D', 'D'], 62: ['C', 'C'], 55: ['C', 'C']}",0.6500000000000001,0.39,0.1699999999999998,None,0.5,9.5,16.5,None,2,1,1,None
12,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.6200000000000001, 62: 0.36, 55: 0.1399999999999998}",26.5,['C'],2,1,"{64: ['C', 'C'], 62: ['C', 'C'], 55: ['C', 'C']}",0.6200000000000001,0.36,0.1399999999999998,None,2.0,11.0,18.0,None,1,1,1,None
13,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.5900000000000001, 62: 0.32999999999999996, 55: 0.10999999999999979}",31.0,['C'],3,0,"{64: ['C', 'C'], 62: ['C', 'C'], 55: ['C', 'C']}",0.5900000000000001,0.32999999999999996,0.10999999999999979,None,3.5,12.5,19.5,None,1,1,1,None
14,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.56, 62: 0.29999999999999993, 55: 0.0799999999999998}",35.5,['C'],3,0,"{64: ['C', 'C'], 62: ['C', 'C'], 55: ['C', 'C']}",0.56,0.29999999999999993,0.0799999999999998,None,5.0,14.0,21.0,None,1,1,1,None
15,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.6000000000000001, 62: 0.2699999999999999, 55: 0.049999999999999795}",40.0,['C'],3,0,"{64: ['C', 'D'], 62: ['C', 'C'], 55: ['C', 'C']}",0.6000000000000001,0.2699999999999999,0.049999999999999795,None,3.0,15.5,22.5,None,1,1,1,None
16,WSLS,7,"{64: 'D', 62: 'C', 55: 'C'}","{64: 0.6200000000000001, 62: 0.2399999999999999, 55: 0.019999999999999796}",41.0,['C'],3,0,"{64: ['D', 'D'], 62: ['C', 'C'], 55: ['C', 'C']}",0.6200000000000001,0.2399999999999999,0.019999999999999796,None,4.0,17.0,24.0,None,2,1,1,None
17,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.5900000000000001, 62: 0.2799999999999999, 55: 0}",45.0,['C'],2,1,"{64: ['C', 'C'], 62: ['C', 'D'], 55: ['C', 'C']}",0.5900000000000001,0.2799999999999999,0,None,5.5,15.0,25.5,None,1,1,1,None
18,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.56, 62: 0.2399999999999999, 55: 0}",46.0,['C'],3,0,"{64: ['C', 'C'], 62: ['D', 'C'], 55: ['C', 'C']}",0.56,0.2399999999999999,0,None,7.0,17.0,27.0,None,1,2,1,None
19,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.53, 62: 0.1999999999999999, 55: 0}",51.0,['C'],2,1,"{64: ['C', 'C'], 62: ['D', 'C'], 55: ['C', 'C']}",0.53,0.1999999999999999,0,None,8.5,19.0,28.5,None,1,2,1,None
20,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.5, 62: 0.1599999999999999, 55: 0}",56.0,['C'],2,1,"{64: ['C', 'C'], 62: ['D', 'C'], 55: ['C', 'C']}",0.5,0.1599999999999999,0,None,10.0,21.0,30.0,None,1,2,1,None
21,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.47, 62: 0.11999999999999988, 55: 0}",61.0,['C'],2,1,"{64: ['C', 'C'], 62: ['D', 'C'], 55: ['C', 'C']}",0.47,0.11999999999999988,0,None,11.5,23.0,31.5,None,1,2,1,None
22,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.43999999999999995, 62: 0.07999999999999988, 55: 0}",66.0,['C'],2,1,"{64: ['C', 'C'], 62: ['D', 'C'], 55: ['C', 'C']}",0.43999999999999995,0.07999999999999988,0,None,13.0,25.0,33.0,None,1,2,1,None
23,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.4099999999999999, 62: 0.039999999999999876, 55: 0}",71.0,['C'],2,1,"{64: ['C', 'C'], 62: ['D', 'C'], 55: ['C', 'C']}",0.4099999999999999,0.039999999999999876,0,None,14.5,27.0,34.5,None,1,2,1,None
24,WSLS,7,"{64: 'C', 62: 'D', 55: 'C'}","{64: 0.3799999999999999, 62: 0.05999999999999987, 55: 0}",76.0,['C'],2,1,"{64: ['C', 'C'], 62: ['D', 'D'], 55: ['C', 'C']}",0.3799999999999999,0.05999999999999987,0,None,16.0,28.0,36.0,None,1,2,1,None
25,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.34999999999999987, 62: 0.029999999999999874, 55: 0}",80.0,['C'],2,1,"{64: ['C', 'C'], 62: ['C', 'C'], 55: ['C', 'C']}",0.34999999999999987,0.029999999999999874,0,None,17.5,29.5,37.5,None,1,1,1,None
26,WSLS,7,"{64: 'C', 62: 'C', 55: 'C'}","{64: 0.31999999999999984, 62: 0.06999999999999987, 55: 0}",84.5,['C'],3,0,"{64: ['C', 'C'], 62: ['C', 'D'], 55: ['C', 'C']}",0.31999999999999984,0.06999999999999987,0,None,19.0,27.5,39.0,None,1,1,1,None
