stepcount_12,strategy_12,strat code_12,move_12,probabilities_12,utility_12,common_move_12,number_coop_12,number_defect_12,outcomes_12,u1_12,u2_12,u3_12,u4_12,m1_12,m2_12,m3_12,m4_12,uv_12,ps_12,nc_12,mutC_12,simP_12,avp1_12,avp2_12,avp3_12,avp4_12,globav_12,epsilon_12,alpha_12,mood_12
True,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",0,['C'],8,0,"{13: ['C', 'C'], 17: ['C', 'C'], 11: ['C', 'C'], 7: ['C', 'C']}",3,3,3,3,1,1,1,1,0.075,"{13: [0, 13, 'NEUTRAL'], 17: [0, 17, 'NEUTRAL'], 11: ['C', 11, 'NEUTRAL'], 7: ['C', 7, 'NEUTRAL']}",8,4,4,1.5,1.5,1.5,1.5,1.5,0.5,0.1,60.53375
2,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",12,['C'],3,1,"{13: ['C', 'C'], 17: ['C', 'C'], 11: ['C', 'C'], 7: ['C', 'C']}",6,6,6,6,1,1,1,1,0.135,"{13: ['C', 13, 'NEUTRAL'], 17: ['C', 17, 'NEUTRAL'], 11: ['C', 11, 'NEUTRAL'], 7: ['C', 7, 'HIGH']}",3,4,8,2,2,2,2,2,0.5,0.1,72.91242584374999
3,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'D', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",24,['C'],4,0,"{13: ['C', 'D'], 17: ['C', 'C'], 11: ['D', 'C'], 7: ['C', 'D']}",6,9,11,6,1,1,2,1,0.135,"{13: ['D', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['C', 11, 'HIGH'], 7: ['D', 7, 'HIGH']}",4,1,12,1.5,2.25,2.75,1.5,2.0,0.5,0.1,80.91131971467647
4,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",32,['C'],4,0,"{13: ['C', 'C'], 17: ['C', 'C'], 11: ['C', 'D'], 7: ['C', 'C']}",9,12,11,9,1,1,1,1,0.135,"{13: ['C', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['D', 11, 'HIGH'], 7: ['C', 7, 'HIGH']}",4,3,16,1.8,2.4,2.2,1.8,2.05,0.5,0.1,89.62192610894881
5,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",41,['C'],3,1,"{13: ['C', 'D'], 17: ['C', 'C'], 11: ['C', 'C'], 7: ['C', 'C']}",9,15,14,12,1,1,1,1,0.135,"{13: ['D', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['C', 11, 'HIGH'], 7: ['C', 7, 'HIGH']}",3,3,20,1.5,2.5,2.3333333333333335,2,2.0833333333333335,0.0001,0.1,98.46000350502692
6,MOODYLEARN,9,"{13: 'D', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.136, 17: 0.001, 11: 0.001, 7: 0.001}",50,['C'],4,0,"{13: ['D', 'D'], 17: ['C', 'C'], 11: ['C', 'C'], 7: ['C', 'C']}",10,18,17,15,2,1,1,1,0.135,"{13: ['D', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['C', 11, 'HIGH'], 7: ['C', 7, 'HIGH']}",4,3,24,1.4285714285714286,2.5714285714285716,2.4285714285714284,2.142857142857143,2.142857142857143,0.0001,0.1,99.999
7,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",60,['C'],4,0,"{13: ['C', 'C'], 17: ['C', 'C'], 11: ['C', 'D'], 7: ['C', 'C']}",13,21,17,18,1,1,1,1,0.135,"{13: ['C', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['D', 11, 'HIGH'], 7: ['C', 7, 'HIGH']}",4,3,28,1.625,2.625,2.125,2.25,2.15625,0.0001,0.1,99.999
8,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",69,['C'],4,0,"{13: ['C', 'D'], 17: ['C', 'C'], 11: ['C', 'C'], 7: ['C', 'C']}",13,24,20,21,1,1,1,1,0.135,"{13: ['D', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['C', 11, 'HIGH'], 7: ['C', 7, 'HIGH']}",4,3,32,1.4444444444444444,2.6666666666666665,2.2222222222222223,2.3333333333333335,2.1666666666666665,0.0001,0.1,99.999
9,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",78,['C'],4,0,"{13: ['C', 'D'], 17: ['C', 'C'], 11: ['C', 'D'], 7: ['C', 'C']}",13,27,20,24,1,1,1,1,0.135,"{13: ['D', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['D', 11, 'HIGH'], 7: ['C', 7, 'HIGH']}",4,2,36,1.3,2.7,2,2.4,2.1,0.0001,0.1,99.999
10,MOODYLEARN,9,"{13: 'C', 17: 'C', 11: 'C', 7: 'C'}","{13: 0.001, 17: 0.001, 11: 0.001, 7: 0.001}",84,['C'],4,0,"{13: ['C', 'D'], 17: ['C', 'C'], 11: ['C', 'C'], 7: ['C', 'C']}",13,30,23,27,1,1,1,1,0.135,"{13: ['D', 13, 'HIGH'], 17: ['C', 17, 'HIGH'], 11: ['C', 11, 'HIGH'], 7: ['C', 7, 'HIGH']}",4,3,40,1.1818181818181819,2.727272727272727,2.090909090909091,2.4545454545454546,2.1136363636363638,0.0001,0.1,99.999
