stepcount_5,strategy_5,strat code_5,move_5,probabilities_5,utility_5,common_move_5,number_coop_5,number_defect_5,outcomes_5,p1_5,p2_5,p3_5,p4_5,u1_5,u2_5,u3_5,u4_5,m1_5,m2_5,m3_5,m4_5
True,VPP,6,"{6: 'D', 13: 'D', 4: 'D'}","{6: 0.46, 13: 0.46, 4: 0.46}",0,['D'],0,3,"{6: ['D', 'C'], 13: ['D', 'C'], 4: ['D', 'C']}",0.46,0.46,0.46,None,2,2,2,None,2,2,2,None
2,VPP,6,"{6: 'D', 13: 'C', 4: 'C'}","{6: 0.48000000000000004, 13: 0.5, 4: 0.5}",6,['C'],2,1,"{6: ['D', 'D'], 13: ['C', 'D'], 4: ['C', 'D']}",0.48000000000000004,0.5,0.5,None,3,0,0,None,2,1,1,None
3,VPP,6,"{6: 'D', 13: 'C', 4: 'C'}","{6: 0.44000000000000006, 13: 0.54, 4: 0.54}",3,['C'],2,1,"{6: ['D', 'C'], 13: ['C', 'D'], 4: ['C', 'D']}",0.44000000000000006,0.54,0.54,None,5,-2,-2,None,2,1,1,None
4,VPP,6,"{6: 'D', 13: 'C', 4: 'D'}","{6: 0.4600000000000001, 13: 0.5800000000000001, 4: 0.56}",1,['D'],1,2,"{6: ['D', 'D'], 13: ['C', 'D'], 4: ['D', 'D']}",0.4600000000000001,0.5800000000000001,0.56,None,6,-4,-1,None,2,1,2,None
5,VPP,6,"{6: 'D', 13: 'C', 4: 'C'}","{6: 0.4200000000000001, 13: 0.6200000000000001, 4: 0.53}",1,['C'],2,1,"{6: ['D', 'C'], 13: ['C', 'D'], 4: ['C', 'C']}",0.4200000000000001,0.6200000000000001,0.53,None,8,-6,0.5,None,2,1,1,None
6,VPP,6,"{6: 'C', 13: 'D', 4: 'D'}","{6: 0.4600000000000001, 13: 0.6400000000000001, 4: 0.49000000000000005}",2.5,['D'],1,2,"{6: ['C', 'D'], 13: ['D', 'D'], 4: ['D', 'C']}",0.4600000000000001,0.6400000000000001,0.49000000000000005,None,6,-5,2.5,None,1,2,2,None
7,VPP,6,"{6: 'C', 13: 'D', 4: 'C'}","{6: 0.5000000000000001, 13: 0.6000000000000001, 4: 0.53}",3.5,['C'],2,1,"{6: ['C', 'D'], 13: ['D', 'C'], 4: ['C', 'D']}",0.5000000000000001,0.6000000000000001,0.53,None,4,-3,0.5,None,1,2,1,None
8,VPP,6,"{6: 'C', 13: 'D', 4: 'C'}","{6: 0.5400000000000001, 13: 0.6200000000000001, 4: 0.5700000000000001}",1.5,['C'],2,1,"{6: ['C', 'D'], 13: ['D', 'D'], 4: ['C', 'D']}",0.5400000000000001,0.6200000000000001,0.5700000000000001,None,2,-2,-1.5,None,1,2,1,None
9,VPP,6,"{6: 'C', 13: 'C', 4: 'C'}","{6: 0.5800000000000002, 13: 0.5900000000000001, 4: 0.6100000000000001}",-1.5,['C'],3,0,"{6: ['C', 'D'], 13: ['C', 'C'], 4: ['C', 'D']}",0.5800000000000002,0.5900000000000001,0.6100000000000001,None,0,-0.5,-3.5,None,1,1,1,None
10,VPP,6,"{6: 'D', 13: 'C', 4: 'C'}","{6: 0.6000000000000002, 13: 0.56, 4: 0.6500000000000001}",-4.0,['C'],2,1,"{6: ['D', 'D'], 13: ['C', 'C'], 4: ['C', 'D']}",0.6000000000000002,0.56,0.6500000000000001,None,1,1.0,-5.5,None,2,1,1,None
11,VPP,6,"{6: 'C', 13: 'D', 4: 'D'}","{6: 0.5700000000000002, 13: 0.52, 4: 0.6700000000000002}",-3.5,['D'],1,2,"{6: ['C', 'C'], 13: ['D', 'C'], 4: ['D', 'D']}",0.5700000000000002,0.52,0.6700000000000002,None,2.5,3.0,-4.5,None,1,2,2,None
12,VPP,6,"{6: 'D', 13: 'D', 4: 'D'}","{6: 0.5300000000000001, 13: 0.54, 4: 0.6300000000000001}",1.0,['D'],0,3,"{6: ['D', 'C'], 13: ['D', 'D'], 4: ['D', 'C']}",0.5300000000000001,0.54,0.6300000000000001,None,4.5,4.0,-2.5,None,2,2,2,None
13,VPP,6,"{6: 'C', 13: 'D', 4: 'C'}","{6: 0.5700000000000002, 13: 0.5, 4: 0.6700000000000002}",6.0,['C'],2,1,"{6: ['C', 'D'], 13: ['D', 'C'], 4: ['C', 'D']}",0.5700000000000002,0.5,0.6700000000000002,None,2.5,6.0,-4.5,None,1,2,1,None
14,VPP,6,"{6: 'D', 13: 'C', 4: 'C'}","{6: 0.5900000000000002, 13: 0.54, 4: 0.7100000000000002}",4.0,['C'],2,1,"{6: ['D', 'D'], 13: ['C', 'D'], 4: ['C', 'D']}",0.5900000000000002,0.54,0.7100000000000002,None,3.5,4.0,-6.5,None,2,1,1,None
15,VPP,6,"{6: 'D', 13: 'D', 4: 'D'}","{6: 0.5500000000000002, 13: 0.56, 4: 0.7300000000000002}",1.0,['D'],0,3,"{6: ['D', 'C'], 13: ['D', 'D'], 4: ['D', 'D']}",0.5500000000000002,0.56,0.7300000000000002,None,5.5,5.0,-5.5,None,2,2,2,None
