stepcount_15,strategy_15,strat code_15,move_15,probabilities_15,utility_15,common_move_15,number_coop_15,number_defect_15,outcomes_15,u1_15,u2_15,u3_15,u4_15,m1_15,m2_15,m3_15,m4_15,uv_15,ps_15,nc_15,mutC_15,simP_15,avp1_15,avp2_15,avp3_15,avp4_15,globav_15,epsilon_15,alpha_15,mood_15
True,MOODYLEARN,9,"{20: 'D', 14: 'D', 10: 'D'}","{20: 0.26, 14: 0.26, 10: 0.26}",0,['D'],0,6,"{20: ['D', 'D'], 14: ['D', 'D'], 10: ['D', 'D']}",1,1,1,None,2,2,2,None,0.06,"{20: [0, 20, 'NEUTRAL'], 14: ['D', 14, 'NEUTRAL'], 10: ['D', 10, 'NEUTRAL']}",0,0,3,0.5,0.5,0.5,None,0.5,0.5,0.1,52.75
2,MOODYLEARN,9,"{20: 'D', 14: 'D', 10: 'D'}","{20: 0.365, 14: 0.365, 10: 0.365}",3,['D'],1,2,"{20: ['D', 'D'], 14: ['D', 'D'], 10: ['D', 'D']}",2,2,2,None,2,2,2,None,0.105,"{20: ['D', 20, 'NEUTRAL'], 14: ['D', 14, 'NEUTRAL'], 10: ['D', 10, 'NEUTRAL']}",1,0,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,None,0.6666666666666666,0.5,0.1,55.82875
3,MOODYLEARN,9,"{20: 'D', 14: 'D', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.365}",6,['D'],1,2,"{20: ['D', 'C'], 14: ['D', 'C'], 10: ['C', 'D']}",7,7,2,None,2,2,1,None,0.105,"{20: ['C', 20, 'NEUTRAL'], 14: ['C', 14, 'NEUTRAL'], 10: ['D', 10, 'NEUTRAL']}",1,0,9,1.75,1.75,0.5,None,1.3333333333333333,0.5,0.1,66.37581761376953
4,MOODYLEARN,9,"{20: 'C', 14: 'D', 10: 'D'}","{20: 0.001, 14: 0.106, 10: 0.001}",16,['D'],2,1,"{20: ['C', 'D'], 14: ['D', 'D'], 10: ['D', 'C']}",7,8,7,None,1,2,2,None,0.105,"{20: ['D', 20, 'NEUTRAL'], 14: ['D', 14, 'HIGH'], 10: ['C', 10, 'HIGH']}",2,0,12,1.4,1.6,1.4,None,1.4666666666666666,0.5,0.1,73.01165090269315
5,MOODYLEARN,9,"{20: 'D', 14: 'C', 10: 'C'}","{20: 0.106, 14: 0.001, 10: 0.001}",22,['C'],2,1,"{20: ['D', 'D'], 14: ['C', 'C'], 10: ['C', 'D']}",8,11,7,None,2,1,1,None,0.105,"{20: ['D', 20, 'NEUTRAL'], 14: ['C', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",2,1,15,1.3333333333333333,1.8333333333333333,1.1666666666666667,None,1.4444444444444444,0.09999999999999998,0.1,77.02046466588732
6,MOODYLEARN,9,"{20: 'D', 14: 'C', 10: 'C'}","{20: 0.211, 14: 0.001, 10: 0.001}",26,['C'],3,0,"{20: ['D', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",9,11,7,None,2,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,18,1.2857142857142858,1.5714285714285714,1,None,1.2857142857142858,0.09999999999999998,0.1,77.69537234472841
7,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",27,['C'],3,0,"{20: ['C', 'C'], 14: ['C', 'C'], 10: ['C', 'C']}",12,14,10,None,1,1,1,None,0.105,"{20: ['C', 20, 'HIGH'], 14: ['C', 14, 'HIGH'], 10: ['C', 10, 'HIGH']}",3,3,21,1.5,1.75,1.25,None,1.5,0.09999999999999998,0.1,86.539957575111
8,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",36,['C'],3,0,"{20: ['C', 'C'], 14: ['C', 'D'], 10: ['C', 'D']}",15,14,10,None,1,1,1,None,0.105,"{20: ['C', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,1,24,1.6666666666666667,1.5555555555555556,1.1111111111111112,None,1.4444444444444444,0.09999999999999998,0.1,89.32947766674282
9,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",39,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",15,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,27,1.5,1.4,1,None,1.3,0.09999999999999998,0.1,88.98890660543223
10,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",39,['C'],3,0,"{20: ['C', 'C'], 14: ['C', 'D'], 10: ['C', 'D']}",18,14,10,None,1,1,1,None,0.105,"{20: ['C', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,1,30,1.6363636363636365,1.2727272727272727,0.9090909090909091,None,1.2727272727272727,0.09999999999999998,0.1,91.6536025803161
11,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",42,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",18,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,33,1.5,1.1666666666666667,0.8333333333333334,None,1.1666666666666667,0.09999999999999998,0.1,91.25096320039945
12,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",42,['C'],3,0,"{20: ['C', 'C'], 14: ['C', 'D'], 10: ['C', 'D']}",21,14,10,None,1,1,1,None,0.105,"{20: ['C', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,1,36,1.6153846153846154,1.0769230769230769,0.7692307692307693,None,1.1538461538461537,0.09999999999999998,0.1,93.91690125962474
13,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",45,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",21,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,39,1.5,1,0.7142857142857143,None,1.0714285714285714,0.09999999999999998,0.1,93.5524864016146
14,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",45,['C'],3,0,"{20: ['C', 'C'], 14: ['C', 'D'], 10: ['C', 'D']}",24,14,10,None,1,1,1,None,0.105,"{20: ['C', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,1,42,1.6,0.9333333333333333,0.6666666666666666,None,1.0666666666666667,0.09999999999999998,0.1,96.30018849175504
15,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",48,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",24,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,45,1.5,0.875,0.625,None,1.0,0.09999999999999998,0.1,96.04616463645887
16,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",48,['C'],3,0,"{20: ['C', 'C'], 14: ['C', 'D'], 10: ['C', 'D']}",27,14,10,None,1,1,1,None,0.105,"{20: ['C', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,1,48,1.588235294117647,0.8235294117647058,0.5882352941176471,None,1.0,0.09999999999999998,0.1,98.94056419050608
17,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",51,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",27,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,51,1.5,0.7777777777777778,0.5555555555555556,None,0.9444444444444444,0.09999999999999998,0.1,98.86060996638768
18,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",51,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",27,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,54,1.4210526315789473,0.7368421052631579,0.5263157894736842,None,0.8947368421052632,0.09999999999999998,0.1,98.76972292837372
19,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",51,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",27,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,57,1.35,0.7,0.5,None,0.85,0.09999999999999998,0.1,98.66682276940138
20,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",51,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",27,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,60,1.2857142857142858,0.6666666666666666,0.47619047619047616,None,0.8095238095238095,0.09999999999999998,0.1,98.55064364533604
21,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",51,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",27,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,63,1.2272727272727273,0.6363636363636364,0.45454545454545453,None,0.7727272727272727,0.09999999999999998,0.1,98.41972018394462
22,MOODYLEARN,9,"{20: 'C', 14: 'C', 10: 'C'}","{20: 0.001, 14: 0.001, 10: 0.001}",51,['C'],3,0,"{20: ['C', 'D'], 14: ['C', 'D'], 10: ['C', 'D']}",27,14,10,None,1,1,1,None,0.105,"{20: ['D', 20, 'HIGH'], 14: ['D', 14, 'HIGH'], 10: ['D', 10, 'HIGH']}",3,0,66,1.173913043478261,0.6086956521739131,0.43478260869565216,None,0.7391304347826088,0.09999999999999998,0.1,98.27236888689116
