stepcount_14,strategy_14,strat code_14,move_14,probabilities_14,utility_14,common_move_14,number_coop_14,number_defect_14,outcomes_14,p1_14,p2_14,p3_14,p4_14,u1_14,u2_14,u3_14,u4_14,m1_14,m2_14,m3_14,m4_14
True,VPP,6,"{15: 'D', 22: 'D', 13: 'C', 6: 'C'}","{15: 0.52, 22: 0.52, 13: 0.47, 6: 0.47}",0,Eq,2,2,"{15: ['D', 'D'], 22: ['D', 'D'], 13: ['C', 'C'], 6: ['C', 'C']}",0.52,0.52,0.47,0.47,1,1,1.5,1.5,2,2,1,1
2,VPP,6,"{15: 'C', 22: 'D', 13: 'D', 6: 'D'}","{15: 0.49, 22: 0.54, 13: 0.43, 6: 0.43}",5.0,['D'],1,3,"{15: ['C', 'C'], 22: ['D', 'D'], 13: ['D', 'C'], 6: ['D', 'C']}",0.49,0.54,0.43,0.43,2.5,2,3.5,3.5,1,2,2,2
3,VPP,6,"{15: 'D', 22: 'D', 13: 'D', 6: 'C'}","{15: 0.51, 22: 0.56, 13: 0.45, 6: 0.47}",11.5,['D'],1,3,"{15: ['D', 'D'], 22: ['D', 'D'], 13: ['D', 'D'], 6: ['C', 'D']}",0.51,0.56,0.45,0.47,3.5,3,4.5,1.5,2,2,2,1
4,VPP,6,"{15: 'D', 22: 'C', 13: 'C', 6: 'C'}","{15: 0.53, 22: 0.6000000000000001, 13: 0.42000000000000004, 6: 0.51}",12.5,['C'],3,1,"{15: ['D', 'D'], 22: ['C', 'D'], 13: ['C', 'C'], 6: ['C', 'D']}",0.53,0.6000000000000001,0.42000000000000004,0.51,4.5,1,6.0,-0.5,2,1,1,1
5,VPP,6,"{15: 'D', 22: 'D', 13: 'C', 6: 'D'}","{15: 0.49000000000000005, 22: 0.56, 13: 0.39, 6: 0.53}",11.0,['D'],1,3,"{15: ['D', 'C'], 22: ['D', 'C'], 13: ['C', 'C'], 6: ['D', 'D']}",0.49000000000000005,0.56,0.39,0.53,6.5,3,7.5,0.5,2,2,1,2
6,VPP,6,"{15: 'C', 22: 'C', 13: 'D', 6: 'C'}","{15: 0.53, 22: 0.6000000000000001, 13: 0.35000000000000003, 6: 0.5}",17.5,['C'],3,1,"{15: ['C', 'D'], 22: ['C', 'D'], 13: ['D', 'C'], 6: ['C', 'C']}",0.53,0.6000000000000001,0.35000000000000003,0.5,4.5,1,9.5,2.0,1,1,2,1
7,VPP,6,"{15: 'D', 22: 'C', 13: 'C', 6: 'C'}","{15: 0.55, 22: 0.5700000000000001, 13: 0.39, 6: 0.47}",17.0,['C'],3,1,"{15: ['D', 'D'], 22: ['C', 'C'], 13: ['C', 'D'], 6: ['C', 'C']}",0.55,0.5700000000000001,0.39,0.47,5.5,2.5,7.5,3.5,2,1,1,1
8,VPP,6,"{15: 'D', 22: 'D', 13: 'C', 6: 'D'}","{15: 0.5700000000000001, 22: 0.53, 13: 0.43, 6: 0.43}",19.0,['D'],1,3,"{15: ['D', 'D'], 22: ['D', 'C'], 13: ['C', 'D'], 6: ['D', 'C']}",0.5700000000000001,0.53,0.43,0.43,6.5,4.5,5.5,5.5,2,2,1,2
9,VPP,6,"{15: 'C', 22: 'D', 13: 'C', 6: 'C'}","{15: 0.54, 22: 0.49000000000000005, 13: 0.47, 6: 0.47}",22.0,['C'],3,1,"{15: ['C', 'C'], 22: ['D', 'C'], 13: ['C', 'D'], 6: ['C', 'D']}",0.54,0.49000000000000005,0.47,0.47,8.0,6.5,3.5,3.5,1,2,1,1
10,VPP,6,"{15: 'D', 22: 'D', 13: 'D', 6: 'C'}","{15: 0.56, 22: 0.45000000000000007, 13: 0.49, 6: 0.51}",21.5,['D'],1,3,"{15: ['D', 'D'], 22: ['D', 'C'], 13: ['D', 'D'], 6: ['C', 'D']}",0.56,0.45000000000000007,0.49,0.51,9.0,8.5,4.5,1.5,2,2,2,1
11,VPP,6,"{15: 'C', 22: 'C', 13: 'D', 6: 'D'}","{15: 0.6000000000000001, 22: 0.49000000000000005, 13: 0.45, 6: 0.53}",23.5,Eq,2,2,"{15: ['C', 'D'], 22: ['C', 'D'], 13: ['D', 'C'], 6: ['D', 'D']}",0.6000000000000001,0.49000000000000005,0.45,0.53,7.0,6.5,6.5,2.5,1,1,2,2
12,VPP,6,"{15: 'C', 22: 'C', 13: 'D', 6: 'D'}","{15: 0.6400000000000001, 22: 0.53, 13: 0.47000000000000003, 6: 0.49000000000000005}",22.5,Eq,2,2,"{15: ['C', 'D'], 22: ['C', 'D'], 13: ['D', 'D'], 6: ['D', 'C']}",0.6400000000000001,0.53,0.47000000000000003,0.49000000000000005,5.0,4.5,7.5,4.5,1,1,2,2
13,VPP,6,"{15: 'D', 22: 'D', 13: 'C', 6: 'C'}","{15: 0.6600000000000001, 22: 0.49000000000000005, 13: 0.44000000000000006, 6: 0.53}",21.5,Eq,2,2,"{15: ['D', 'D'], 22: ['D', 'C'], 13: ['C', 'C'], 6: ['C', 'D']}",0.6600000000000001,0.49000000000000005,0.44000000000000006,0.53,6.0,6.5,9.0,2.5,2,2,1,1
14,VPP,6,"{15: 'D', 22: 'C', 13: 'D', 6: 'D'}","{15: 0.6800000000000002, 22: 0.4600000000000001, 13: 0.4000000000000001, 6: 0.55}",24.0,['D'],1,3,"{15: ['D', 'D'], 22: ['C', 'C'], 13: ['D', 'C'], 6: ['D', 'D']}",0.6800000000000002,0.4600000000000001,0.4000000000000001,0.55,7.0,8.0,11.0,3.5,2,1,2,2
15,VPP,6,"{15: 'D', 22: 'C', 13: 'C', 6: 'C'}","{15: 0.7000000000000002, 22: 0.43000000000000005, 13: 0.44000000000000006, 6: 0.52}",29.5,['C'],3,1,"{15: ['D', 'D'], 22: ['C', 'C'], 13: ['C', 'D'], 6: ['C', 'C']}",0.7000000000000002,0.43000000000000005,0.44000000000000006,0.52,8.0,9.5,9.0,5.0,2,1,1,1
16,VPP,6,"{15: 'D', 22: 'C', 13: 'C', 6: 'C'}","{15: 0.6600000000000001, 22: 0.4, 13: 0.48000000000000004, 6: 0.49}",31.5,['C'],3,1,"{15: ['D', 'C'], 22: ['C', 'C'], 13: ['C', 'D'], 6: ['C', 'C']}",0.6600000000000001,0.4,0.48000000000000004,0.49,10.0,11.0,7.0,6.5,2,1,1,1
17,VPP,6,"{15: 'C', 22: 'D', 13: 'C', 6: 'D'}","{15: 0.7000000000000002, 22: 0.36000000000000004, 13: 0.52, 6: 0.45}",34.5,Eq,2,2,"{15: ['C', 'D'], 22: ['D', 'C'], 13: ['C', 'D'], 6: ['D', 'C']}",0.7000000000000002,0.36000000000000004,0.52,0.45,8.0,13.0,5.0,8.5,1,2,1,2
18,VPP,6,"{15: 'D', 22: 'C', 13: 'D', 6: 'C'}","{15: 0.7200000000000002, 22: 0.33000000000000007, 13: 0.54, 6: 0.49}",34.5,Eq,2,2,"{15: ['D', 'D'], 22: ['C', 'C'], 13: ['D', 'D'], 6: ['C', 'D']}",0.7200000000000002,0.33000000000000007,0.54,0.49,9.0,14.5,6.0,6.5,2,1,2,1
19,VPP,6,"{15: 'C', 22: 'C', 13: 'D', 6: 'D'}","{15: 0.6900000000000002, 22: 0.30000000000000004, 13: 0.5, 6: 0.51}",36.0,Eq,2,2,"{15: ['C', 'C'], 22: ['C', 'C'], 13: ['D', 'C'], 6: ['D', 'D']}",0.6900000000000002,0.30000000000000004,0.5,0.51,10.5,16.0,8.0,7.5,1,1,2,2
20,VPP,6,"{15: 'D', 22: 'D', 13: 'D', 6: 'C'}","{15: 0.7100000000000002, 22: 0.26000000000000006, 13: 0.52, 6: 0.48}",42.0,['D'],1,3,"{15: ['D', 'D'], 22: ['D', 'C'], 13: ['D', 'D'], 6: ['C', 'C']}",0.7100000000000002,0.26000000000000006,0.52,0.48,11.5,18.0,9.0,9.0,2,2,2,1
