stepcount_8,strategy_8,strat code_8,move_8,probabilities_8,utility_8,common_move_8,number_coop_8,number_defect_8,outcomes_8,p1_8,p2_8,p3_8,p4_8,u1_8,u2_8,u3_8,u4_8,m1_8,m2_8,m3_8,m4_8
True,VPP,6,"{16: 'C', 7: 'C'}","{16: 0.47, 7: 0.47}",0,['C'],2,0,"{16: ['C', 'C'], 7: ['C', 'C']}",0.47,0.47,None,None,1.5,1.5,None,None,1,1,None,None
2,VPP,6,"{16: 'D', 7: 'D'}","{16: 0.43, 7: 0.43}",3.0,['D'],0,2,"{16: ['D', 'C'], 7: ['D', 'C']}",0.43,0.43,None,None,3.5,3.5,None,None,2,2,None,None
3,VPP,6,"{16: 'D', 7: 'C'}","{16: 0.45, 7: 0.4}",7.0,Eq,1,1,"{16: ['D', 'D'], 7: ['C', 'C']}",0.45,0.4,None,None,4.5,5.0,None,None,2,1,None,None
4,VPP,6,"{16: 'D', 7: 'C'}","{16: 0.41000000000000003, 7: 0.37}",9.5,Eq,1,1,"{16: ['D', 'C'], 7: ['C', 'C']}",0.41000000000000003,0.37,None,None,6.5,6.5,None,None,2,1,None,None
5,VPP,6,"{16: 'D', 7: 'C'}","{16: 0.43000000000000005, 7: 0.41}",13.0,Eq,1,1,"{16: ['D', 'D'], 7: ['C', 'D']}",0.43000000000000005,0.41,None,None,7.5,4.5,None,None,2,1,None,None
6,VPP,6,"{16: 'C', 7: 'C'}","{16: 0.4, 7: 0.38}",12.0,['C'],2,0,"{16: ['C', 'C'], 7: ['C', 'C']}",0.4,0.38,None,None,9.0,6.0,None,None,1,1,None,None
7,VPP,6,"{16: 'D', 7: 'D'}","{16: 0.36000000000000004, 7: 0.34}",15.0,['D'],0,2,"{16: ['D', 'C'], 7: ['D', 'C']}",0.36000000000000004,0.34,None,None,11.0,8.0,None,None,2,2,None,None
8,VPP,6,"{16: 'D', 7: 'C'}","{16: 0.38000000000000006, 7: 0.31000000000000005}",19.0,Eq,1,1,"{16: ['D', 'D'], 7: ['C', 'C']}",0.38000000000000006,0.31000000000000005,None,None,12.0,9.5,None,None,2,1,None,None
9,VPP,6,"{16: 'C', 7: 'C'}","{16: 0.3500000000000001, 7: 0.28}",21.5,['C'],2,0,"{16: ['C', 'C'], 7: ['C', 'C']}",0.3500000000000001,0.28,None,None,13.5,11.0,None,None,1,1,None,None
10,VPP,6,"{16: 'D', 7: 'D'}","{16: 0.3100000000000001, 7: 0.24000000000000002}",24.5,['D'],0,2,"{16: ['D', 'C'], 7: ['D', 'C']}",0.3100000000000001,0.24000000000000002,None,None,15.5,13.0,None,None,2,2,None,None
11,VPP,6,"{16: 'C', 7: 'D'}","{16: 0.3500000000000001, 7: 0.2}",28.5,Eq,1,1,"{16: ['C', 'D'], 7: ['D', 'C']}",0.3500000000000001,0.2,None,None,13.5,15.0,None,None,1,2,None,None
