,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,Model Params
64,8,0,0,0,288.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
65,8,0,0,0,292.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
66,8,0,0,0,297.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
67,8,0,0,0,301.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
68,8,0,0,0,306.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
69,8,0,0,0,310.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
70,8,0,0,0,315.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
71,8,0,0,0,319.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
72,8,0,0,0,324.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
73,8,0,0,0,328.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
74,8,0,0,0,333.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
75,8,0,0,0,337.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
76,8,0,0,0,342.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
77,8,0,0,0,346.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
78,8,0,0,0,351.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
79,8,0,0,0,355.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
80,8,0,0,0,360.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
81,8,0,0,0,364.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
82,8,0,0,0,369.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
83,8,0,0,0,373.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
84,8,0,0,0,378.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
85,8,0,0,0,382.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
86,8,0,0,0,387.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
87,8,0,0,0,391.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
88,8,0,0,0,396.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
89,8,0,0,0,400.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
90,8,0,0,0,405.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
91,8,0,0,0,409.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
92,8,0,0,0,414.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
93,8,0,0,0,418.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
94,8,0,0,0,423.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
95,8,0,0,0,427.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
96,8,0,0,0,432.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
97,8,0,0,0,436.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
98,8,0,0,0,441.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
99,8,0,0,0,445.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
100,8,0,0,0,450.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
101,8,0,0,0,454.5,3,0,0,0.0,0,"(16, 0.001, 0.1)"
102,8,0,0,0,459.0,3,0,0,0.0,0,"(16, 0.001, 0.1)"
