,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,"(47, 0.015, 0.5)"
1,93,47,28,15,17.5,28,24.5,14,-28.0,14,0,0,"(47, 0.015, 0.5)"
2,86,54,20,16,56.0,21,42.0,14,-7.0,14,0,0,"(47, 0.015, 0.5)"
3,78,62,26,14,70.0,21,38.5,21,-7.0,0,0,0,"(47, 0.015, 0.5)"
4,82,58,24,16,105.0,14,70.0,7,7.0,7,0,0,"(47, 0.015, 0.5)"
5,76,64,24,14,140.0,14,105.0,14,3.5,0,0,0,"(47, 0.015, 0.5)"
6,83,57,22,13,175.0,14,140.0,14,21.0,14,0,0,"(47, 0.015, 0.5)"
7,79,61,25,14,210.0,14,175.0,14,17.5,7,0,0,"(47, 0.015, 0.5)"
8,83,57,22,14,245.0,14,210.0,14,35.0,14,0,0,"(47, 0.015, 0.5)"
9,78,62,24,14,280.0,14,245.0,14,31.5,7,0,0,"(47, 0.015, 0.5)"
10,83,57,22,14,315.0,14,280.0,14,49.0,14,0,0,"(47, 0.015, 0.5)"
11,78,62,24,14,350.0,14,315.0,14,45.5,7,0,0,"(47, 0.015, 0.5)"
12,83,57,22,14,385.0,14,350.0,14,63.0,14,0,0,"(47, 0.015, 0.5)"
13,78,62,24,14,420.0,14,385.0,14,59.5,7,0,0,"(47, 0.015, 0.5)"
14,83,57,22,14,455.0,14,420.0,14,77.0,14,0,0,"(47, 0.015, 0.5)"
15,78,62,24,14,490.0,14,455.0,14,73.5,7,0,0,"(47, 0.015, 0.5)"
16,83,57,22,14,525.0,14,490.0,14,91.0,14,0,0,"(47, 0.015, 0.5)"
17,78,62,24,14,560.0,14,525.0,14,87.5,7,0,0,"(47, 0.015, 0.5)"
18,83,57,22,14,595.0,14,560.0,14,105.0,14,0,0,"(47, 0.015, 0.5)"
19,78,62,24,14,630.0,14,595.0,14,101.5,7,0,0,"(47, 0.015, 0.5)"
20,83,57,22,14,665.0,14,630.0,14,119.0,14,0,0,"(47, 0.015, 0.5)"
21,78,62,24,14,700.0,14,665.0,14,115.5,7,0,0,"(47, 0.015, 0.5)"
22,83,57,22,14,735.0,14,700.0,14,133.0,14,0,0,"(47, 0.015, 0.5)"
23,78,62,24,14,770.0,14,735.0,14,129.5,7,0,0,"(47, 0.015, 0.5)"
24,83,57,22,14,805.0,14,770.0,14,147.0,14,0,0,"(47, 0.015, 0.5)"
25,78,62,24,14,840.0,14,805.0,14,143.5,7,0,0,"(47, 0.015, 0.5)"
26,83,57,22,14,875.0,14,840.0,14,161.0,14,0,0,"(47, 0.015, 0.5)"
27,78,62,24,14,910.0,14,875.0,14,157.5,7,0,0,"(47, 0.015, 0.5)"
28,83,57,22,14,945.0,14,910.0,14,175.0,14,0,0,"(47, 0.015, 0.5)"
29,78,62,24,14,980.0,14,945.0,14,171.5,7,0,0,"(47, 0.015, 0.5)"
30,83,57,22,14,1015.0,14,980.0,14,189.0,14,0,0,"(47, 0.015, 0.5)"
31,78,62,24,14,1050.0,14,1015.0,14,185.5,7,0,0,"(47, 0.015, 0.5)"
32,83,57,22,14,1085.0,14,1050.0,14,203.0,14,0,0,"(47, 0.015, 0.5)"
33,78,62,24,14,1120.0,14,1085.0,14,199.5,7,0,0,"(47, 0.015, 0.5)"
34,83,57,22,14,1155.0,14,1120.0,14,217.0,14,0,0,"(47, 0.015, 0.5)"
35,78,62,24,14,1190.0,14,1155.0,14,213.5,7,0,0,"(47, 0.015, 0.5)"
36,83,57,22,14,1225.0,14,1190.0,14,231.0,14,0,0,"(47, 0.015, 0.5)"
37,78,62,24,14,1260.0,14,1225.0,14,227.5,7,0,0,"(47, 0.015, 0.5)"
38,83,57,22,14,1295.0,14,1260.0,14,245.0,14,0,0,"(47, 0.015, 0.5)"
39,78,62,24,14,1330.0,14,1295.0,14,241.5,7,0,0,"(47, 0.015, 0.5)"
40,83,57,22,14,1365.0,14,1330.0,14,259.0,14,0,0,"(47, 0.015, 0.5)"
41,78,62,24,14,1400.0,14,1365.0,14,255.5,7,0,0,"(47, 0.015, 0.5)"
42,83,57,22,14,1435.0,14,1400.0,14,273.0,14,0,0,"(47, 0.015, 0.5)"
43,78,62,24,14,1470.0,14,1435.0,14,269.5,7,0,0,"(47, 0.015, 0.5)"
44,83,57,22,14,1505.0,14,1470.0,14,287.0,14,0,0,"(47, 0.015, 0.5)"
45,78,62,24,14,1540.0,14,1505.0,14,283.5,7,0,0,"(47, 0.015, 0.5)"
46,83,57,22,14,1575.0,14,1540.0,14,301.0,14,0,0,"(47, 0.015, 0.5)"
47,78,62,24,14,1610.0,14,1575.0,14,297.5,7,0,0,"(47, 0.015, 0.5)"
48,83,57,22,14,1645.0,14,1610.0,14,315.0,14,0,0,"(47, 0.015, 0.5)"
49,78,62,24,14,1680.0,14,1645.0,14,311.5,7,0,0,"(47, 0.015, 0.5)"
50,83,57,22,14,1715.0,14,1680.0,14,329.0,14,0,0,"(47, 0.015, 0.5)"
51,78,62,24,14,1750.0,14,1715.0,14,325.5,7,0,0,"(47, 0.015, 0.5)"
52,83,57,22,14,1785.0,14,1750.0,14,343.0,14,0,0,"(47, 0.015, 0.5)"
53,78,62,24,14,1820.0,14,1785.0,14,339.5,7,0,0,"(47, 0.015, 0.5)"
54,83,57,22,14,1855.0,14,1820.0,14,357.0,14,0,0,"(47, 0.015, 0.5)"
55,78,62,24,14,1890.0,14,1855.0,14,353.5,7,0,0,"(47, 0.015, 0.5)"
56,83,57,22,14,1925.0,14,1890.0,14,371.0,14,0,0,"(47, 0.015, 0.5)"
57,78,62,24,14,1960.0,14,1925.0,14,367.5,7,0,0,"(47, 0.015, 0.5)"
58,83,57,22,14,1995.0,14,1960.0,14,385.0,14,0,0,"(47, 0.015, 0.5)"
59,78,62,24,14,2030.0,14,1995.0,14,381.5,7,0,0,"(47, 0.015, 0.5)"
60,83,57,22,14,2065.0,14,2030.0,14,399.0,14,0,0,"(47, 0.015, 0.5)"
61,78,62,24,14,2100.0,14,2065.0,14,395.5,7,0,0,"(47, 0.015, 0.5)"
62,83,57,22,14,2135.0,14,2100.0,14,413.0,14,0,0,"(47, 0.015, 0.5)"
63,78,62,24,14,2170.0,14,2135.0,14,409.5,7,0,0,"(47, 0.015, 0.5)"
64,83,57,22,14,2205.0,14,2170.0,14,427.0,14,0,0,"(47, 0.015, 0.5)"
65,78,62,24,14,2240.0,14,2205.0,14,423.5,7,0,0,"(47, 0.015, 0.5)"
66,83,57,22,14,2275.0,14,2240.0,14,441.0,14,0,0,"(47, 0.015, 0.5)"
67,78,62,24,14,2310.0,14,2275.0,14,437.5,7,0,0,"(47, 0.015, 0.5)"
68,83,57,22,14,2345.0,14,2310.0,14,455.0,14,0,0,"(47, 0.015, 0.5)"
69,78,62,24,14,2380.0,14,2345.0,14,451.5,7,0,0,"(47, 0.015, 0.5)"
70,83,57,22,14,2415.0,14,2380.0,14,469.0,14,0,0,"(47, 0.015, 0.5)"
71,78,62,24,14,2450.0,14,2415.0,14,465.5,7,0,0,"(47, 0.015, 0.5)"
72,83,57,22,14,2485.0,14,2450.0,14,483.0,14,0,0,"(47, 0.015, 0.5)"
73,78,62,24,14,2520.0,14,2485.0,14,479.5,7,0,0,"(47, 0.015, 0.5)"
74,83,57,22,14,2555.0,14,2520.0,14,497.0,14,0,0,"(47, 0.015, 0.5)"
75,78,62,24,14,2590.0,14,2555.0,14,493.5,7,0,0,"(47, 0.015, 0.5)"
76,83,57,22,14,2625.0,14,2590.0,14,511.0,14,0,0,"(47, 0.015, 0.5)"
77,78,62,24,14,2660.0,14,2625.0,14,507.5,7,0,0,"(47, 0.015, 0.5)"
78,83,57,22,14,2695.0,14,2660.0,14,525.0,14,0,0,"(47, 0.015, 0.5)"
79,78,62,24,14,2730.0,14,2695.0,14,521.5,7,0,0,"(47, 0.015, 0.5)"
80,83,57,22,14,2765.0,14,2730.0,14,539.0,14,0,0,"(47, 0.015, 0.5)"
81,78,62,24,14,2800.0,14,2765.0,14,535.5,7,0,0,"(47, 0.015, 0.5)"
82,83,57,22,14,2835.0,14,2800.0,14,553.0,14,0,0,"(47, 0.015, 0.5)"
83,77,63,24,15,2870.0,14,2838.5,7,525.0,7,0,0,"(47, 0.015, 0.5)"
84,83,57,22,15,2905.0,14,2849.0,14,546.0,14,0,0,"(47, 0.015, 0.5)"
85,76,64,23,15,2940.0,14,2880.5,7,539.0,0,0,0,"(47, 0.015, 0.5)"
86,81,59,22,15,2975.0,14,2919.0,7,532.0,7,0,0,"(47, 0.015, 0.5)"
87,77,63,23,15,3010.0,14,2950.5,7,525.0,7,0,0,"(47, 0.015, 0.5)"
88,81,59,22,15,3045.0,14,2989.0,7,518.0,7,0,0,"(47, 0.015, 0.5)"
89,77,63,23,15,3080.0,14,3020.5,7,511.0,7,0,0,"(47, 0.015, 0.5)"
90,81,59,22,15,3115.0,14,3059.0,7,504.0,7,0,0,"(47, 0.015, 0.5)"
91,77,63,23,15,3150.0,14,3090.5,7,497.0,7,0,0,"(47, 0.015, 0.5)"
92,81,59,22,15,3185.0,14,3129.0,7,490.0,7,0,0,"(47, 0.015, 0.5)"
93,77,63,23,15,3220.0,14,3160.5,7,483.0,7,0,0,"(47, 0.015, 0.5)"
94,81,59,22,15,3255.0,14,3199.0,7,476.0,7,0,0,"(47, 0.015, 0.5)"
95,77,63,23,15,3290.0,14,3230.5,7,469.0,7,0,0,"(47, 0.015, 0.5)"
96,81,59,22,15,3325.0,14,3269.0,7,462.0,7,0,0,"(47, 0.015, 0.5)"
97,77,63,23,15,3360.0,14,3300.5,7,455.0,7,0,0,"(47, 0.015, 0.5)"
98,81,59,22,15,3395.0,14,3339.0,7,448.0,7,0,0,"(47, 0.015, 0.5)"
99,77,63,23,15,3430.0,14,3370.5,7,441.0,7,0,0,"(47, 0.015, 0.5)"
100,81,59,22,15,3465.0,14,3409.0,7,434.0,7,0,0,"(47, 0.015, 0.5)"
101,77,63,23,15,3500.0,14,3440.5,7,427.0,7,0,0,"(47, 0.015, 0.5)"
102,81,59,22,15,3535.0,14,3479.0,7,420.0,7,0,0,"(47, 0.015, 0.5)"
103,77,63,23,15,3570.0,14,3510.5,7,413.0,7,0,0,"(47, 0.015, 0.5)"
104,81,59,22,15,3605.0,14,3549.0,7,406.0,7,0,0,"(47, 0.015, 0.5)"
105,77,63,23,15,3640.0,14,3580.5,7,399.0,7,0,0,"(47, 0.015, 0.5)"
106,81,59,22,15,3675.0,14,3619.0,7,392.0,7,0,0,"(47, 0.015, 0.5)"
107,77,63,23,15,3710.0,14,3650.5,7,385.0,7,0,0,"(47, 0.015, 0.5)"
108,81,59,22,15,3745.0,14,3689.0,7,378.0,7,0,0,"(47, 0.015, 0.5)"
109,77,63,23,15,3780.0,14,3720.5,7,371.0,7,0,0,"(47, 0.015, 0.5)"
110,81,59,22,15,3815.0,14,3759.0,7,364.0,7,0,0,"(47, 0.015, 0.5)"
111,77,63,23,15,3850.0,14,3790.5,7,357.0,7,0,0,"(47, 0.015, 0.5)"
112,81,59,22,15,3885.0,14,3829.0,7,350.0,7,0,0,"(47, 0.015, 0.5)"
113,77,63,23,15,3920.0,14,3860.5,7,343.0,7,0,0,"(47, 0.015, 0.5)"
114,81,59,22,15,3955.0,14,3899.0,7,336.0,7,0,0,"(47, 0.015, 0.5)"
115,77,63,23,15,3990.0,14,3930.5,7,329.0,7,0,0,"(47, 0.015, 0.5)"
116,81,59,22,15,4025.0,14,3969.0,7,322.0,7,0,0,"(47, 0.015, 0.5)"
117,77,63,23,15,4060.0,14,4000.5,7,315.0,7,0,0,"(47, 0.015, 0.5)"
118,81,59,22,15,4095.0,14,4039.0,7,308.0,7,0,0,"(47, 0.015, 0.5)"
119,77,63,23,15,4130.0,14,4070.5,7,301.0,7,0,0,"(47, 0.015, 0.5)"
120,81,59,22,15,4165.0,14,4109.0,7,294.0,7,0,0,"(47, 0.015, 0.5)"
121,77,63,23,15,4200.0,14,4140.5,7,287.0,7,0,0,"(47, 0.015, 0.5)"
122,81,59,22,15,4235.0,14,4179.0,7,280.0,7,0,0,"(47, 0.015, 0.5)"
123,77,63,23,15,4270.0,14,4210.5,7,273.0,7,0,0,"(47, 0.015, 0.5)"
124,81,59,22,15,4305.0,14,4249.0,7,266.0,7,0,0,"(47, 0.015, 0.5)"
125,77,63,23,15,4340.0,14,4280.5,7,259.0,7,0,0,"(47, 0.015, 0.5)"
126,81,59,22,15,4375.0,14,4319.0,7,252.0,7,0,0,"(47, 0.015, 0.5)"
127,77,63,23,15,4410.0,14,4350.5,7,245.0,7,0,0,"(47, 0.015, 0.5)"
128,81,59,22,15,4445.0,14,4389.0,7,238.0,7,0,0,"(47, 0.015, 0.5)"
129,77,63,23,15,4480.0,14,4420.5,7,231.0,7,0,0,"(47, 0.015, 0.5)"
130,81,59,22,15,4515.0,14,4459.0,7,224.0,7,0,0,"(47, 0.015, 0.5)"
131,77,63,23,15,4550.0,14,4490.5,7,217.0,7,0,0,"(47, 0.015, 0.5)"
132,81,59,22,15,4585.0,14,4529.0,7,210.0,7,0,0,"(47, 0.015, 0.5)"
133,77,63,23,15,4620.0,14,4560.5,7,203.0,7,0,0,"(47, 0.015, 0.5)"
134,81,59,22,15,4655.0,14,4599.0,7,196.0,7,0,0,"(47, 0.015, 0.5)"
135,77,63,23,15,4690.0,14,4630.5,7,189.0,7,0,0,"(47, 0.015, 0.5)"
136,81,59,22,15,4725.0,14,4669.0,7,182.0,7,0,0,"(47, 0.015, 0.5)"
137,77,63,23,15,4760.0,14,4700.5,7,175.0,7,0,0,"(47, 0.015, 0.5)"
138,81,59,22,15,4795.0,14,4739.0,7,168.0,7,0,0,"(47, 0.015, 0.5)"
139,77,63,23,15,4830.0,14,4770.5,7,161.0,7,0,0,"(47, 0.015, 0.5)"
140,81,59,22,15,4865.0,14,4809.0,7,154.0,7,0,0,"(47, 0.015, 0.5)"
141,77,63,23,15,4900.0,14,4840.5,7,147.0,7,0,0,"(47, 0.015, 0.5)"
142,81,59,22,15,4935.0,14,4879.0,7,140.0,7,0,0,"(47, 0.015, 0.5)"
143,77,63,23,15,4970.0,14,4910.5,7,133.0,7,0,0,"(47, 0.015, 0.5)"
144,81,59,22,15,5005.0,14,4949.0,7,126.0,7,0,0,"(47, 0.015, 0.5)"
145,77,63,23,15,5040.0,14,4980.5,7,119.0,7,0,0,"(47, 0.015, 0.5)"
146,81,59,22,15,5075.0,14,5019.0,7,112.0,7,0,0,"(47, 0.015, 0.5)"
147,77,63,23,15,5110.0,14,5050.5,7,105.0,7,0,0,"(47, 0.015, 0.5)"
148,81,59,22,15,5145.0,14,5089.0,7,98.0,7,0,0,"(47, 0.015, 0.5)"
149,77,63,23,15,5180.0,14,5120.5,7,91.0,7,0,0,"(47, 0.015, 0.5)"
150,81,59,22,15,5215.0,14,5159.0,7,84.0,7,0,0,"(47, 0.015, 0.5)"
151,77,63,23,15,5250.0,14,5190.5,7,77.0,7,0,0,"(47, 0.015, 0.5)"
152,81,59,22,15,5285.0,14,5229.0,7,70.0,7,0,0,"(47, 0.015, 0.5)"
153,77,63,23,15,5320.0,14,5260.5,7,63.0,7,0,0,"(47, 0.015, 0.5)"
154,81,59,22,15,5355.0,14,5299.0,7,56.0,7,0,0,"(47, 0.015, 0.5)"
155,77,63,23,15,5390.0,14,5330.5,7,49.0,7,0,0,"(47, 0.015, 0.5)"
156,81,59,22,15,5425.0,14,5369.0,7,42.0,7,0,0,"(47, 0.015, 0.5)"
157,77,63,23,15,5460.0,14,5400.5,7,35.0,7,0,0,"(47, 0.015, 0.5)"
158,81,59,22,15,5495.0,14,5439.0,7,28.0,7,0,0,"(47, 0.015, 0.5)"
159,77,63,23,15,5530.0,14,5470.5,7,21.0,7,0,0,"(47, 0.015, 0.5)"
160,81,59,22,15,5565.0,14,5509.0,7,14.0,7,0,0,"(47, 0.015, 0.5)"
161,77,63,23,15,5600.0,14,5540.5,7,7.0,7,0,0,"(47, 0.015, 0.5)"
162,81,59,22,15,5635.0,14,5579.0,7,0.0,7,0,0,"(47, 0.015, 0.5)"
163,77,63,23,15,5670.0,14,5610.5,7,-7.0,7,0,0,"(47, 0.015, 0.5)"
164,81,59,22,15,5705.0,14,5649.0,7,-14.0,7,0,0,"(47, 0.015, 0.5)"
165,77,63,23,15,5740.0,14,5680.5,7,-21.0,7,0,0,"(47, 0.015, 0.5)"
166,81,59,22,15,5775.0,14,5719.0,7,-28.0,7,0,0,"(47, 0.015, 0.5)"
167,77,63,23,15,5810.0,14,5750.5,7,-35.0,7,0,0,"(47, 0.015, 0.5)"
168,81,59,22,15,5845.0,14,5789.0,7,-42.0,7,0,0,"(47, 0.015, 0.5)"
169,77,63,23,15,5880.0,14,5820.5,7,-49.0,7,0,0,"(47, 0.015, 0.5)"
170,81,59,22,15,5915.0,14,5859.0,7,-56.0,7,0,0,"(47, 0.015, 0.5)"
171,77,63,23,15,5950.0,14,5890.5,7,-63.0,7,0,0,"(47, 0.015, 0.5)"
172,81,59,22,15,5985.0,14,5929.0,7,-70.0,7,0,0,"(47, 0.015, 0.5)"
173,77,63,23,15,6020.0,14,5960.5,7,-77.0,7,0,0,"(47, 0.015, 0.5)"
174,81,59,22,15,6055.0,14,5999.0,7,-84.0,7,0,0,"(47, 0.015, 0.5)"
175,77,63,23,15,6090.0,14,6030.5,7,-91.0,7,0,0,"(47, 0.015, 0.5)"
176,81,59,22,15,6125.0,14,6069.0,7,-98.0,7,0,0,"(47, 0.015, 0.5)"
177,77,63,23,15,6160.0,14,6100.5,7,-105.0,7,0,0,"(47, 0.015, 0.5)"
178,81,59,22,15,6195.0,14,6139.0,7,-112.0,7,0,0,"(47, 0.015, 0.5)"
179,77,63,23,15,6230.0,14,6170.5,7,-119.0,7,0,0,"(47, 0.015, 0.5)"
180,81,59,22,15,6265.0,14,6209.0,7,-126.0,7,0,0,"(47, 0.015, 0.5)"
181,77,63,23,15,6300.0,14,6240.5,7,-133.0,7,0,0,"(47, 0.015, 0.5)"
182,81,59,22,15,6335.0,14,6279.0,7,-140.0,7,0,0,"(47, 0.015, 0.5)"
183,77,63,23,15,6370.0,14,6310.5,7,-147.0,7,0,0,"(47, 0.015, 0.5)"
184,81,59,22,15,6405.0,14,6349.0,7,-154.0,7,0,0,"(47, 0.015, 0.5)"
185,77,63,23,15,6440.0,14,6380.5,7,-161.0,7,0,0,"(47, 0.015, 0.5)"
186,81,59,22,15,6475.0,14,6419.0,7,-168.0,7,0,0,"(47, 0.015, 0.5)"
187,77,63,23,15,6510.0,14,6450.5,7,-175.0,7,0,0,"(47, 0.015, 0.5)"
188,81,59,22,15,6545.0,14,6489.0,7,-182.0,7,0,0,"(47, 0.015, 0.5)"
189,77,63,23,15,6580.0,14,6520.5,7,-189.0,7,0,0,"(47, 0.015, 0.5)"
190,81,59,22,15,6615.0,14,6559.0,7,-196.0,7,0,0,"(47, 0.015, 0.5)"
191,77,63,23,15,6650.0,14,6590.5,7,-203.0,7,0,0,"(47, 0.015, 0.5)"
192,81,59,22,15,6685.0,14,6629.0,7,-210.0,7,0,0,"(47, 0.015, 0.5)"
193,77,63,23,15,6720.0,14,6660.5,7,-217.0,7,0,0,"(47, 0.015, 0.5)"
194,81,59,22,15,6755.0,14,6699.0,7,-224.0,7,0,0,"(47, 0.015, 0.5)"
195,77,63,23,15,6790.0,14,6730.5,7,-231.0,7,0,0,"(47, 0.015, 0.5)"
196,81,59,22,15,6825.0,14,6769.0,7,-238.0,7,0,0,"(47, 0.015, 0.5)"
197,77,63,23,15,6860.0,14,6800.5,7,-245.0,7,0,0,"(47, 0.015, 0.5)"
198,81,59,22,15,6895.0,14,6839.0,7,-252.0,7,0,0,"(47, 0.015, 0.5)"
199,77,63,23,15,6930.0,14,6870.5,7,-259.0,7,0,0,"(47, 0.015, 0.5)"
200,81,59,22,15,6965.0,14,6909.0,7,-266.0,7,0,0,"(47, 0.015, 0.5)"
201,77,63,23,15,7000.0,14,6940.5,7,-273.0,7,0,0,"(47, 0.015, 0.5)"
