stepcount_2,strategy_2,strat code_2,move_2,probabilities_2,utility_2,common_move_2,number_coop_2,number_defect_2,outcomes_2,u1_2,u2_2,u3_2,u4_2,m1_2,m2_2,m3_2,m4_2,uv_2,ps_2,nc_2,mutC_2,simP_2,avp1_2,avp2_2,avp3_2,avp4_2,globav_2,epsilon_2,alpha_2,mood_2
True,MOODYLEARN,9,"{3: 'D', 7: 'D', 1: 'D'}","{3: 0.26, 7: 0.26, 1: 0.26}",0,['D'],0,6,"{3: ['D', 'D'], 7: ['D', 'D'], 1: ['D', 'D']}",1,1,1,None,2,2,2,None,0.06,"{3: [0, 3, 'NEUTRAL'], 7: [0, 7, 'NEUTRAL'], 1: ['D', 1, 'NEUTRAL']}",0,0,3,0.5,0.5,0.5,None,0.5,0.5,0.1,52.50375
2,MOODYLEARN,9,"{3: 'D', 7: 'D', 1: 'D'}","{3: 0.365, 7: 0.365, 1: 0.365}",3,['D'],2,1,"{3: ['D', 'D'], 7: ['D', 'D'], 1: ['D', 'D']}",2,2,2,None,2,2,2,None,0.105,"{3: ['D', 3, 'NEUTRAL'], 7: ['D', 7, 'NEUTRAL'], 1: ['D', 1, 'NEUTRAL']}",2,0,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,None,0.6666666666666666,0.5,0.1,55.66027223263889
3,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'C'}","{3: 0.365, 7: 0.001, 1: 0.04999999999999999}",6,['C'],1,2,"{3: ['C', 'D'], 7: ['D', 'C'], 1: ['C', 'C']}",2,7,5,None,1,2,1,None,0.105,"{3: ['D', 3, 'NEUTRAL'], 7: ['C', 7, 'NEUTRAL'], 1: ['C', 1, 'NEUTRAL']}",1,1,9,0.5,1.75,1.25,None,1.1666666666666667,0.5,0.1,64.06752031559105
4,MOODYLEARN,9,"{3: 'D', 7: 'D', 1: 'C'}","{3: 0.47, 7: 0.106, 1: 0.001}",14,['D'],2,1,"{3: ['D', 'D'], 7: ['D', 'D'], 1: ['C', 'C']}",3,8,8,None,2,2,1,None,0.105,"{3: ['D', 3, 'NEUTRAL'], 7: ['D', 7, 'NEUTRAL'], 1: ['C', 1, 'NEUTRAL']}",2,1,12,0.6,1.6,1.6,None,1.2666666666666666,0.5,0.1,69.04309953442895
5,MOODYLEARN,9,"{3: 'D', 7: 'C', 1: 'C'}","{3: 0.575, 7: 0.106, 1: 0.001}",19,['C'],3,0,"{3: ['D', 'D'], 7: ['C', 'D'], 1: ['C', 'C']}",4,8,11,None,2,1,1,None,0.105,"{3: ['D', 3, 'HIGH'], 7: ['D', 7, 'HIGH'], 1: ['C', 1, 'NEUTRAL']}",3,1,15,0.6666666666666666,1.3333333333333333,1.8333333333333333,None,1.2777777777777777,0.5,0.1,72.97597122801857
6,MOODYLEARN,9,"{3: 'C', 7: 'C', 1: 'C'}","{3: 0.25999999999999995, 7: 0.001, 1: 0.001}",23,['C'],2,1,"{3: ['C', 'C'], 7: ['C', 'C'], 1: ['C', 'C']}",7,11,14,None,1,1,1,None,0.105,"{3: ['C', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'NEUTRAL']}",2,3,18,1,1.5714285714285714,2,None,1.5238095238095237,0.09999999999999998,0.1,81.89837286729161
7,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'C'}","{3: 0.001, 7: 0.106, 1: 0.001}",32,['C'],3,0,"{3: ['C', 'C'], 7: ['D', 'D'], 1: ['C', 'C']}",10,12,17,None,1,2,1,None,0.105,"{3: ['C', 3, 'HIGH'], 7: ['D', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",3,2,21,1.25,1.5,2.125,None,1.625,0.09999999999999998,0.1,88.80348269103152
8,MOODYLEARN,9,"{3: 'C', 7: 'C', 1: 'C'}","{3: 0.001, 7: 0.001, 1: 0.001}",39,['C'],2,1,"{3: ['C', 'D'], 7: ['C', 'C'], 1: ['C', 'C']}",10,15,20,None,1,1,1,None,0.105,"{3: ['D', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",2,2,24,1.1111111111111112,1.6666666666666667,2.2222222222222223,None,1.6666666666666667,0.0001,0.1,94.73675714980017
9,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'C'}","{3: 0.001, 7: 0.106, 1: 0.001}",45,['C'],3,0,"{3: ['C', 'C'], 7: ['D', 'D'], 1: ['C', 'D']}",13,16,20,None,1,2,1,None,0.105,"{3: ['C', 3, 'HIGH'], 7: ['D', 7, 'HIGH'], 1: ['D', 1, 'HIGH']}",3,1,27,1.3,1.6,2,None,1.6333333333333333,0.0001,0.1,98.68011055269683
10,MOODYLEARN,9,"{3: 'C', 7: 'C', 1: 'C'}","{3: 0.001, 7: 0.001, 1: 0.001}",49,['C'],2,1,"{3: ['C', 'D'], 7: ['C', 'C'], 1: ['C', 'C']}",13,19,23,None,1,1,1,None,0.105,"{3: ['D', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",2,2,30,1.1818181818181819,1.7272727272727273,2.090909090909091,None,1.6666666666666667,0.0001,0.1,99.999
