stepcount_48,strategy_48,strat code_48,move_48,probabilities_48,utility_48,common_move_48,number_coop_48,number_defect_48,outcomes_48,p1_48,p2_48,p3_48,p4_48,u1_48,u2_48,u3_48,u4_48,m1_48,m2_48,m3_48,m4_48
True,WSLS,7,"{56: 'C', 47: 'C', 40: 'C'}","{56: 0.47, 47: 0.47, 40: 0.54}",0,['C'],3,0,"{56: ['C', 'C'], 47: ['C', 'C'], 40: ['C', 'D']}",0.47,0.47,0.54,None,1.5,1.5,-2,None,1,1,1,None
2,WSLS,7,"{56: 'C', 47: 'C', 40: 'D'}","{56: 0.43999999999999995, 47: 0.51, 40: 0.56}",1.0,['C'],3,0,"{56: ['C', 'C'], 47: ['C', 'D'], 40: ['D', 'D']}",0.43999999999999995,0.51,0.56,None,3.0,-0.5,-1,None,1,1,2,None
3,WSLS,7,"{56: 'C', 47: 'D', 40: 'C'}","{56: 0.4099999999999999, 47: 0.47000000000000003, 40: 0.53}",1.5,['C'],2,1,"{56: ['C', 'C'], 47: ['D', 'C'], 40: ['C', 'C']}",0.4099999999999999,0.47000000000000003,0.53,None,4.5,1.5,0.5,None,1,2,1,None
4,WSLS,7,"{56: 'C', 47: 'D', 40: 'C'}","{56: 0.4499999999999999, 47: 0.49000000000000005, 40: 0.5700000000000001}",6.5,['C'],2,1,"{56: ['C', 'D'], 47: ['D', 'D'], 40: ['C', 'D']}",0.4499999999999999,0.49000000000000005,0.5700000000000001,None,2.5,2.5,-1.5,None,1,2,1,None
5,WSLS,7,"{56: 'D', 47: 'C', 40: 'D'}","{56: 0.4699999999999999, 47: 0.4600000000000001, 40: 0.53}",3.5,['D'],2,1,"{56: ['D', 'D'], 47: ['C', 'C'], 40: ['D', 'C']}",0.4699999999999999,0.4600000000000001,0.53,None,3.5,4.0,0.5,None,2,1,2,None
6,WSLS,7,"{56: 'C', 47: 'C', 40: 'D'}","{56: 0.5099999999999999, 47: 0.5000000000000001, 40: 0.55}",8.0,['C'],1,2,"{56: ['C', 'D'], 47: ['C', 'D'], 40: ['D', 'D']}",0.5099999999999999,0.5000000000000001,0.55,None,1.5,2.0,1.5,None,1,1,2,None
7,WSLS,7,"{56: 'D', 47: 'D', 40: 'C'}","{56: 0.4699999999999999, 47: 0.5200000000000001, 40: 0.52}",5.0,['D'],2,1,"{56: ['D', 'C'], 47: ['D', 'D'], 40: ['C', 'C']}",0.4699999999999999,0.5200000000000001,0.52,None,3.5,3.0,3.0,None,2,2,1,None
8,WSLS,7,"{56: 'D', 47: 'C', 40: 'C'}","{56: 0.48999999999999994, 47: 0.4900000000000001, 40: 0.49}",9.5,['C'],1,2,"{56: ['D', 'D'], 47: ['C', 'C'], 40: ['C', 'C']}",0.48999999999999994,0.4900000000000001,0.49,None,4.5,4.5,4.5,None,2,1,1,None
9,WSLS,7,"{56: 'C', 47: 'C', 40: 'C'}","{56: 0.45999999999999996, 47: 0.4600000000000001, 40: 0.53}",13.5,['C'],2,1,"{56: ['C', 'C'], 47: ['C', 'C'], 40: ['C', 'D']}",0.45999999999999996,0.4600000000000001,0.53,None,6.0,6.0,2.5,None,1,1,1,None
10,WSLS,7,"{56: 'C', 47: 'C', 40: 'D'}","{56: 0.49999999999999994, 47: 0.5000000000000001, 40: 0.49000000000000005}",14.5,['C'],3,0,"{56: ['C', 'D'], 47: ['C', 'D'], 40: ['D', 'C']}",0.49999999999999994,0.5000000000000001,0.49000000000000005,None,4.0,4.0,4.5,None,1,1,2,None
11,WSLS,7,"{56: 'D', 47: 'D', 40: 'D'}","{56: 0.45999999999999996, 47: 0.46000000000000013, 40: 0.51}",12.5,['D'],2,1,"{56: ['D', 'C'], 47: ['D', 'C'], 40: ['D', 'D']}",0.45999999999999996,0.46000000000000013,0.51,None,6.0,6.0,5.5,None,2,2,2,None
12,WSLS,7,"{56: 'D', 47: 'D', 40: 'C'}","{56: 0.42, 47: 0.48000000000000015, 40: 0.48}",17.5,['D'],0,3,"{56: ['D', 'C'], 47: ['D', 'D'], 40: ['C', 'C']}",0.42,0.48000000000000015,0.48,None,8.0,7.0,7.0,None,2,2,1,None
13,WSLS,7,"{56: 'D', 47: 'C', 40: 'C'}","{56: 0.38, 47: 0.4500000000000002, 40: 0.44999999999999996}",22.0,['C'],1,2,"{56: ['D', 'C'], 47: ['C', 'C'], 40: ['C', 'C']}",0.38,0.4500000000000002,0.44999999999999996,None,10.0,8.5,8.5,None,2,1,1,None
14,WSLS,7,"{56: 'D', 47: 'C', 40: 'C'}","{56: 0.4, 47: 0.49000000000000016, 40: 0.41999999999999993}",27.0,['C'],2,1,"{56: ['D', 'D'], 47: ['C', 'D'], 40: ['C', 'C']}",0.4,0.49000000000000016,0.41999999999999993,None,11.0,6.5,10.0,None,2,1,1,None
15,WSLS,7,"{56: 'C', 47: 'D', 40: 'C'}","{56: 0.44, 47: 0.4500000000000002, 40: 0.4599999999999999}",27.5,['C'],2,1,"{56: ['C', 'D'], 47: ['D', 'C'], 40: ['C', 'D']}",0.44,0.4500000000000002,0.4599999999999999,None,9.0,8.5,8.0,None,1,2,1,None
16,WSLS,7,"{56: 'D', 47: 'D', 40: 'D'}","{56: 0.4, 47: 0.4700000000000002, 40: 0.41999999999999993}",25.5,['D'],2,1,"{56: ['D', 'C'], 47: ['D', 'D'], 40: ['D', 'C']}",0.4,0.4700000000000002,0.41999999999999993,None,11.0,9.5,10.0,None,2,2,2,None
17,WSLS,7,"{56: 'D', 47: 'C', 40: 'D'}","{56: 0.36000000000000004, 47: 0.44000000000000017, 40: 0.43999999999999995}",30.5,['D'],0,3,"{56: ['D', 'C'], 47: ['C', 'C'], 40: ['D', 'D']}",0.36000000000000004,0.44000000000000017,0.43999999999999995,None,13.0,11.0,11.0,None,2,1,2,None
18,WSLS,7,"{56: 'D', 47: 'C', 40: 'C'}","{56: 0.32000000000000006, 47: 0.41000000000000014, 40: 0.4099999999999999}",35.0,['C'],1,2,"{56: ['D', 'C'], 47: ['C', 'C'], 40: ['C', 'C']}",0.32000000000000006,0.41000000000000014,0.4099999999999999,None,15.0,12.5,12.5,None,2,1,1,None
19,WSLS,7,"{56: 'D', 47: 'C', 40: 'C'}","{56: 0.3400000000000001, 47: 0.4500000000000001, 40: 0.3799999999999999}",40.0,['C'],2,1,"{56: ['D', 'D'], 47: ['C', 'D'], 40: ['C', 'C']}",0.3400000000000001,0.4500000000000001,0.3799999999999999,None,16.0,10.5,14.0,None,2,1,1,None
20,WSLS,7,"{56: 'C', 47: 'D', 40: 'C'}","{56: 0.31000000000000005, 47: 0.47000000000000014, 40: 0.4199999999999999}",40.5,['C'],2,1,"{56: ['C', 'C'], 47: ['D', 'D'], 40: ['C', 'D']}",0.31000000000000005,0.47000000000000014,0.4199999999999999,None,17.5,11.5,12.0,None,1,2,1,None
21,WSLS,7,"{56: 'C', 47: 'C', 40: 'D'}","{56: 0.35000000000000003, 47: 0.44000000000000017, 40: 0.4399999999999999}",41.0,['C'],2,1,"{56: ['C', 'D'], 47: ['C', 'C'], 40: ['D', 'D']}",0.35000000000000003,0.44000000000000017,0.4399999999999999,None,15.5,13.0,13.0,None,1,1,2,None
22,WSLS,7,"{56: 'D', 47: 'C', 40: 'C'}","{56: 0.37000000000000005, 47: 0.41000000000000014, 40: 0.47999999999999987}",41.5,['C'],2,1,"{56: ['D', 'D'], 47: ['C', 'C'], 40: ['C', 'D']}",0.37000000000000005,0.41000000000000014,0.47999999999999987,None,16.5,14.5,11.0,None,2,1,1,None
23,WSLS,7,"{56: 'C', 47: 'C', 40: 'D'}","{56: 0.41000000000000003, 47: 0.3800000000000001, 40: 0.4999999999999999}",42.0,['C'],2,1,"{56: ['C', 'D'], 47: ['C', 'C'], 40: ['D', 'D']}",0.41000000000000003,0.3800000000000001,0.4999999999999999,None,14.5,16.0,12.0,None,1,1,2,None
24,WSLS,7,"{56: 'D', 47: 'C', 40: 'C'}","{56: 0.43000000000000005, 47: 0.3500000000000001, 40: 0.46999999999999986}",42.5,['C'],2,1,"{56: ['D', 'D'], 47: ['C', 'C'], 40: ['C', 'C']}",0.43000000000000005,0.3500000000000001,0.46999999999999986,None,15.5,17.5,13.5,None,2,1,1,None
25,WSLS,7,"{56: 'C', 47: 'C', 40: 'C'}","{56: 0.4, 47: 0.32000000000000006, 40: 0.5099999999999999}",46.5,['C'],2,1,"{56: ['C', 'C'], 47: ['C', 'C'], 40: ['C', 'D']}",0.4,0.32000000000000006,0.5099999999999999,None,17.0,19.0,11.5,None,1,1,1,None
26,WSLS,7,"{56: 'C', 47: 'C', 40: 'D'}","{56: 0.44, 47: 0.29000000000000004, 40: 0.4699999999999999}",47.5,['C'],3,0,"{56: ['C', 'D'], 47: ['C', 'C'], 40: ['D', 'C']}",0.44,0.29000000000000004,0.4699999999999999,None,15.0,20.5,13.5,None,1,1,2,None
