n agents,stepcount,steptime,cooperating,defecting,coop total,defect total
25,121,0.8753726482391357,2379,239,7260,2500
25,122,0.8903839588165283,2399,241,7319,2521
25,123,0.8591437339782715,2418,243,7378,2542
25,124,0.8747684955596924,2438,245,7437,2563
25,125,0.8591773509979248,2457,247,7496,2584
25,126,0.8591442108154297,2477,249,7555,2605
25,127,0.890383243560791,2496,251,7614,2626
25,128,0.8591110706329346,2516,253,7673,2647
25,129,0.8747646808624268,2535,255,7732,2668
25,130,0.8591442108154297,2555,257,7791,2689
25,131,0.8748037815093994,2574,259,7850,2710
25,132,0.8747587203979492,2594,261,7909,2731
25,133,0.8591418266296387,2613,263,7968,2752
25,134,0.8903536796569824,2633,265,8027,2773
25,135,0.87479567527771,2652,267,8086,2794
25,136,0.8747687339782715,2672,269,8145,2815
25,137,0.8747632503509521,2691,271,8204,2836
25,138,0.8591418266296387,2711,273,8263,2857
25,139,0.8903884887695312,2730,275,8322,2878
25,140,0.8591086864471436,2750,277,8381,2899
25,141,0.8903849124908447,2769,279,8440,2920
25,142,0.8591446876525879,2789,281,8499,2941
25,143,0.8591716289520264,2808,283,8558,2962
25,144,0.890385627746582,2828,285,8617,2983
25,145,0.8747727870941162,2847,287,8676,3004
25,146,0.8747599124908447,2867,289,8735,3025
25,147,0.874763011932373,2886,291,8794,3046
25,148,0.8747668266296387,2906,293,8853,3067
25,149,0.8591442108154297,2925,295,8912,3088
25,150,0.8747596740722656,2945,297,8971,3109
25,151,0.8903858661651611,2964,299,9030,3130
25,152,0.8591434955596924,2984,301,9089,3151
25,153,0.8903932571411133,3003,303,9148,3172
25,154,0.8591413497924805,3023,305,9207,3193
25,155,0.8747584819793701,3042,307,9266,3214
25,156,0.8903570175170898,3062,309,9325,3235
25,157,0.8591725826263428,3081,311,9384,3256
25,158,0.8747639656066895,3101,313,9443,3277
25,159,0.8591442108154297,3120,315,9502,3298
25,160,0.8903861045837402,3140,317,9561,3319
25,161,0.8591432571411133,3159,319,9620,3340
25,162,0.8747639656066895,3179,321,9679,3361
25,163,0.8747692108154297,3198,323,9738,3382
25,164,0.859163761138916,3218,325,9797,3403
25,165,0.8903532028198242,3237,327,9856,3424
25,166,0.8747937679290771,3257,329,9915,3445
25,167,0.8591141700744629,3276,331,9974,3466
25,168,0.8903851509094238,3296,333,10033,3487
25,169,0.859144926071167,3315,335,10092,3508
25,170,0.890418529510498,3335,337,10151,3529
25,171,0.8747305870056152,3354,339,10210,3550
25,172,0.8747973442077637,3374,341,10269,3571
25,173,0.8747625350952148,3393,343,10328,3592
25,174,0.8591423034667969,3413,345,10387,3613
25,175,0.8903899192810059,3432,347,10446,3634
25,176,0.8747594356536865,3452,349,10505,3655
25,177,0.8747367858886719,3471,351,10564,3676
25,178,0.859168291091919,3491,353,10623,3697
25,179,0.8591442108154297,3510,355,10682,3718
25,180,0.8903937339782715,3530,357,10741,3739
25,181,0.8747615814208984,3549,359,10800,3760
25,182,0.9059731960296631,3569,361,10859,3781
25,183,0.8747959136962891,3588,363,10918,3802
25,184,0.890388011932373,3608,365,10977,3823
25,185,0.8591387271881104,3627,367,11036,3844
25,186,0.8747367858886719,3647,369,11095,3865
25,187,0.87479567527771,3666,371,11154,3886
25,188,0.8591411113739014,3686,373,11213,3907
25,189,0.890387773513794,3705,375,11272,3928
25,190,0.8747320175170898,3725,377,11331,3949
25,191,0.8591439723968506,3744,379,11390,3970
25,192,0.8904163837432861,3764,381,11449,3991
25,193,0.874763011932373,3783,383,11508,4012
25,194,0.8903563022613525,3803,385,11567,4033
25,195,0.8591742515563965,3822,387,11626,4054
25,196,0.8903553485870361,3842,389,11685,4075
25,197,0.859173059463501,3861,391,11744,4096
25,198,0.8747365474700928,3881,393,11803,4117
25,199,0.8747973442077637,3900,395,11862,4138
25,200,0.8747615814208984,3920,397,11921,4159
25,201,0.8903844356536865,3939,399,11980,4180
25,202,0.8747649192810059,3959,401,12039,4201
25,203,0.8591454029083252,3978,403,12098,4222
25,204,0.8903846740722656,3998,405,12157,4243
25,205,0.8747646808624268,4017,407,12216,4264
25,206,0.8903908729553223,4037,409,12275,4285
25,207,0.8747639656066895,4056,411,12334,4306
25,208,0.8747684955596924,4076,413,12393,4327
25,209,0.874760627746582,4095,415,12452,4348
25,210,0.8747649192810059,4115,417,12511,4369
25,211,0.8903858661651611,4134,419,12570,4390
25,212,0.8747601509094238,4154,421,12629,4411
25,213,0.8903896808624268,4173,423,12688,4432
25,214,0.8747668266296387,4193,425,12747,4453
25,215,0.8747303485870361,4212,427,12806,4474
25,216,0.874793529510498,4232,429,12865,4495
25,217,0.8747646808624268,4251,431,12924,4516
25,218,0.8903865814208984,4271,433,12983,4537
25,219,0.8747689723968506,4290,435,13042,4558
25,220,0.8747315406799316,4310,437,13101,4579
25,221,0.8904199600219727,4329,439,13160,4600
25,222,0.874765157699585,4349,441,13219,4621
25,223,0.8747632503509521,4368,443,13278,4642
25,224,0.859173059463501,4388,445,13337,4663
25,225,0.8903899192810059,4407,447,13396,4684
25,226,0.8591396808624268,4427,449,13455,4705
25,227,0.8591799736022949,4446,451,13514,4726
25,228,0.8903820514678955,4466,453,13573,4747
25,229,0.8747673034667969,4485,455,13632,4768
25,230,0.874730110168457,4505,457,13691,4789
25,231,0.8747975826263428,4524,459,13750,4810
25,232,0.8747618198394775,4544,461,13809,4831
25,233,0.8903882503509521,4563,463,13868,4852
25,234,0.8747649192810059,4583,465,13927,4873
25,235,0.874732255935669,4602,467,13986,4894
25,236,0.874793291091919,4622,469,14045,4915
25,237,0.8903563022613525,4641,471,14104,4936
25,238,0.8747949600219727,4661,473,14163,4957
25,239,0.8591475486755371,4680,475,14222,4978
25,240,0.8903841972351074,4700,477,14281,4999
25,241,0.8747620582580566,4719,479,14340,5020
25,242,0.8903563022613525,4739,481,14399,5041
25,243,0.8748021125793457,4758,483,14458,5062
25,244,0.859140157699585,4778,485,14517,5083
25,245,0.890385627746582,4797,487,14576,5104
25,246,0.8747599124908447,4817,489,14635,5125
25,247,0.8903853893280029,4836,491,14694,5146
25,248,0.8747649192810059,4856,493,14753,5167
25,249,0.890357255935669,4875,495,14812,5188
25,250,0.890418291091919,4895,497,14871,5209
25,251,0.874760627746582,4914,499,14930,5230
25,252,0.8903887271881104,4934,501,14989,5251
25,253,0.8747613430023193,4953,503,15048,5272
25,254,0.8903932571411133,4973,505,15107,5293
25,255,0.8591365814208984,4992,507,15166,5314
25,256,0.8747701644897461,5012,509,15225,5335
25,257,0.8903861045837402,5031,511,15284,5356
25,258,0.8747618198394775,5051,513,15343,5377
25,259,0.8747670650482178,5070,515,15402,5398
25,260,0.8747608661651611,5090,517,15461,5419
25,261,0.8903894424438477,5109,519,15520,5440
25,262,0.874767541885376,5129,521,15579,5461
25,263,0.8747577667236328,5148,523,15638,5482
25,264,0.8903853893280029,5168,525,15697,5503
25,265,0.8747646808624268,5187,527,15756,5524
25,266,0.890385627746582,5207,529,15815,5545
25,267,0.8747649192810059,5226,531,15874,5566
25,268,0.8747365474700928,5246,533,15933,5587
25,269,0.874793291091919,5265,535,15992,5608
25,270,0.8747363090515137,5285,537,16051,5629
25,271,0.890385627746582,5304,539,16110,5650
25,272,0.859144926071167,5324,541,16169,5671
25,273,0.8903846740722656,5343,543,16228,5692
25,274,0.8591442108154297,5363,545,16287,5713
25,275,0.8747982978820801,5382,547,16346,5734
25,276,0.8903522491455078,5402,549,16405,5755
25,277,0.8591725826263428,5421,551,16464,5776
25,278,0.8903939723968506,5441,553,16523,5797
25,279,0.8747615814208984,5460,555,16582,5818
25,280,0.8747313022613525,5480,557,16641,5839
25,281,0.8747930526733398,5499,559,16700,5860
25,282,0.874765157699585,5519,561,16759,5881
25,283,0.8903858661651611,5538,563,16818,5902
25,284,0.8591442108154297,5558,565,16877,5923
25,285,0.9060103893280029,5577,567,16936,5944
25,286,0.8591437339782715,5597,569,16995,5965
25,287,0.8747656345367432,5616,571,17054,5986
25,288,0.8903868198394775,5636,573,17113,6007
25,289,0.8747296333312988,5655,575,17172,6028
25,290,0.8903861045837402,5675,577,17231,6049
25,291,0.8591735363006592,5694,579,17290,6070
25,292,0.859142541885376,5714,581,17349,6091
25,293,0.890413761138916,5733,583,17408,6112
25,294,0.8747656345367432,5753,585,17467,6133
25,295,0.8903899192810059,5772,587,17526,6154
25,296,0.8747611045837402,5792,589,17585,6175
25,297,0.8747637271881104,5811,591,17644,6196
25,298,0.9060108661651611,5831,593,17703,6217
25,299,0.8747620582580566,5850,595,17762,6238
25,300,0.8903892040252686,5870,597,17821,6259
25,301,0.8747639656066895,5889,599,17880,6280
25,302,0.8903529644012451,5909,601,17939,6301
25,303,0.8591773509979248,5928,603,17998,6322
25,304,0.8747601509094238,5948,605,18057,6343
25,305,0.8903858661651611,5967,607,18116,6364
25,306,0.8747646808624268,5987,609,18175,6385
25,307,0.8903865814208984,6006,611,18234,6406
25,308,0.8747677803039551,6026,613,18293,6427
25,309,0.8747661113739014,6045,615,18352,6448
25,310,0.9060013294219971,6065,617,18411,6469
25,311,0.8747646808624268,6084,619,18470,6490
25,312,0.8903872966766357,6104,621,18529,6511
25,313,0.874763011932373,6123,623,18588,6532
25,314,0.8903903961181641,6143,625,18647,6553
25,315,0.8747315406799316,6162,627,18706,6574
25,316,0.8747649192810059,6182,629,18765,6595
25,317,0.890418291091919,6201,631,18824,6616
25,318,0.8747613430023193,6221,633,18883,6637
25,319,0.9060099124908447,6240,635,18942,6658
25,320,0.8747656345367432,6260,637,19001,6679
25,321,0.8747599124908447,6279,639,19060,6700
25,322,0.9060094356536865,6299,641,19119,6721
25,323,0.8747625350952148,6318,643,19178,6742
25,324,0.8903563022613525,6338,645,19237,6763
25,325,0.8591442108154297,6357,647,19296,6784
25,326,0.9060063362121582,6377,649,19355,6805
25,327,0.8591439723968506,6396,651,19414,6826
25,328,0.874793291091919,6416,653,19473,6847
25,329,0.890357494354248,6435,655,19532,6868
25,330,0.8747646808624268,6455,657,19591,6889
25,331,0.8904249668121338,6474,659,19650,6910
25,332,0.8747544288635254,6494,661,19709,6931
25,333,0.8747646808624268,6513,663,19768,6952
25,334,0.8903851509094238,6533,665,19827,6973
25,335,0.8747646808624268,6552,667,19886,6994
25,336,0.8903896808624268,6572,669,19945,7015
25,337,0.8591454029083252,6591,671,20004,7036
25,338,0.8903522491455078,6611,673,20063,7057
25,339,0.8747644424438477,6630,675,20122,7078
25,340,0.8591761589050293,6650,677,20181,7099
25,341,0.890352725982666,6669,679,20240,7120
25,342,0.874793529510498,6689,681,20299,7141
25,343,0.8903903961181641,6708,683,20358,7162
25,344,0.8747656345367432,6728,685,20417,7183
25,345,0.8747594356536865,6747,687,20476,7204
25,346,0.8903861045837402,6767,689,20535,7225
25,347,0.8747682571411133,6786,691,20594,7246
25,348,0.890352725982666,6806,693,20653,7267
25,349,0.8747649192810059,6825,695,20712,7288
25,350,0.8747990131378174,6845,697,20771,7309
25,351,0.8747673034667969,6864,699,20830,7330
25,352,0.8747282028198242,6884,701,20889,7351
25,353,0.890385627746582,6903,703,20948,7372
25,354,0.8591451644897461,6923,705,21007,7393
25,355,0.8747954368591309,6942,707,21066,7414
25,356,0.8747317790985107,6962,709,21125,7435
25,357,0.8748006820678711,6981,711,21184,7456
25,358,0.8903789520263672,7001,713,21243,7477
25,359,0.8747355937957764,7020,715,21302,7498
25,360,0.8748049736022949,7040,717,21361,7519
25,361,0.8747544288635254,7059,719,21420,7540
25,362,0.906005859375,7079,721,21479,7561
25,363,0.8747696876525879,7098,723,21538,7582
25,364,0.8747642040252686,7118,725,21597,7603
25,365,0.890385627746582,7137,727,21656,7624
25,366,0.874765157699585,7157,729,21715,7645
25,367,0.8903911113739014,7176,731,21774,7666
25,368,0.8747272491455078,7196,733,21833,7687
25,369,0.8904125690460205,7215,735,21892,7708
25,370,0.8903906345367432,7235,737,21951,7729
25,371,0.8903908729553223,7254,739,22010,7750
25,372,0.8903796672821045,7274,741,22069,7771
25,373,0.8747656345367432,7293,743,22128,7792
25,374,0.8747613430023193,7313,745,22187,7813
25,375,0.8903839588165283,7332,747,22246,7834
25,376,0.8903853893280029,7352,749,22305,7855
25,377,0.890390157699585,7371,751,22364,7876
25,378,0.8747603893280029,7391,753,22423,7897
25,379,0.890385627746582,7410,755,22482,7918
25,380,0.8747372627258301,7430,757,22541,7939
25,381,0.8747642040252686,7449,759,22600,7960
25,382,0.890413761138916,7469,761,22659,7981
25,383,0.8747653961181641,7488,763,22718,8002
25,384,0.8903872966766357,7508,765,22777,8023
25,385,0.8591375350952148,7527,767,22836,8044
25,386,0.8747687339782715,7547,769,22895,8065
25,387,0.9216206073760986,7566,771,22954,8086
25,388,0.874762773513794,7586,773,23013,8107
25,389,0.9060070514678955,7605,775,23072,8128
25,390,0.8591451644897461,7625,777,23131,8149
25,391,0.9059774875640869,7644,779,23190,8170
25,392,0.8591718673706055,7664,781,23249,8191
25,393,0.8747670650482178,7683,783,23308,8212
25,394,0.8903894424438477,7703,785,23367,8233
25,395,0.8747639656066895,7722,787,23426,8254
25,396,0.8903801441192627,7742,789,23485,8275
25,397,0.8747653961181641,7761,791,23544,8296
25,398,0.8747355937957764,7781,793,23603,8317
25,399,0.8904170989990234,7800,795,23662,8338
25,400,0.8747620582580566,7820,797,23721,8359
25,401,0.8903899192810059,7839,799,23780,8380
25,402,0.874760627746582,7859,801,23839,8401
25,403,0.8903906345367432,7878,803,23898,8422
25,404,0.8903801441192627,7898,805,23957,8443
25,405,0.8747692108154297,7917,807,24016,8464
25,406,0.8903532028198242,7937,809,24075,8485
25,407,0.8747985363006592,7956,811,24134,8506
25,408,0.8747928142547607,7976,813,24193,8527
25,409,0.8590943813323975,7995,815,24252,8548
25,410,0.8747982978820801,8015,817,24311,8569
25,411,0.8903863430023193,8034,819,24370,8590
25,412,0.8747303485870361,8054,821,24429,8611
25,413,0.8904180526733398,8073,823,24488,8632
25,414,0.874765157699585,8093,825,24547,8653
25,415,0.8903529644012451,8112,827,24606,8674
25,416,0.8747649192810059,8132,829,24665,8695
25,417,0.8747963905334473,8151,831,24724,8716
25,418,0.8903870582580566,8171,833,24783,8737
25,419,0.8747715950012207,8190,835,24842,8758
25,420,0.9059662818908691,8210,837,24901,8779
25,421,0.8591728210449219,8229,839,24960,8800
25,422,0.8747363090515137,8249,841,25019,8821
25,423,0.9060397148132324,8268,843,25078,8842
25,424,0.8747317790985107,8288,845,25137,8863
25,425,0.8904151916503906,8307,847,25196,8884
25,426,0.8747348785400391,8327,849,25255,8905
25,427,0.8904187679290771,8346,851,25314,8926
25,428,0.8747320175170898,8366,853,25373,8947
25,429,0.8747653961181641,8385,855,25432,8968
25,430,0.8904175758361816,8405,857,25491,8989
25,431,0.8747694492340088,8424,859,25550,9010
25,432,0.8904242515563965,8444,861,25609,9031
25,433,0.8747541904449463,8463,863,25668,9052
25,434,0.874769926071167,8483,865,25727,9073
25,435,0.9060072898864746,8502,867,25786,9094
25,436,0.874758243560791,8522,869,25845,9115
25,437,0.8903913497924805,8541,871,25904,9136
25,438,0.8747594356536865,8561,873,25963,9157
25,439,0.8903913497924805,8580,875,26022,9178
25,440,0.8747305870056152,8600,877,26081,9199
25,441,0.8747940063476562,8619,879,26140,9220
25,442,0.890388011932373,8639,881,26199,9241
25,443,0.8747928142547607,8658,883,26258,9262
25,444,0.8903899192810059,8678,885,26317,9283
25,445,0.8747601509094238,8697,887,26376,9304
25,446,0.9215996265411377,8717,889,26435,9325
25,447,0.9216265678405762,8736,891,26494,9346
25,448,0.8904147148132324,8756,893,26553,9367
25,449,0.8903906345367432,8775,895,26612,9388
25,450,0.8903801441192627,8795,897,26671,9409
25,451,0.8747653961181641,8814,899,26730,9430
25,452,0.8903849124908447,8834,901,26789,9451
25,453,0.8903858661651611,8853,903,26848,9472
25,454,0.8903899192810059,8873,905,26907,9493
25,455,0.9060015678405762,8892,907,26966,9514
25,456,0.8903577327728271,8912,909,27025,9535
25,457,0.8747644424438477,8931,911,27084,9556
25,458,0.8903858661651611,8951,913,27143,9577
25,459,0.8904139995574951,8970,915,27202,9598
25,460,0.874765157699585,8990,917,27261,9619
25,461,0.8903567790985107,9009,919,27320,9640
25,462,0.8904144763946533,9029,921,27379,9661
25,463,0.8747639656066895,9048,923,27438,9682
25,464,0.8903861045837402,9068,925,27497,9703
25,465,0.8747649192810059,9087,927,27556,9724
25,466,0.9059782028198242,9107,929,27615,9745
25,467,0.8747646808624268,9126,931,27674,9766
25,468,0.9060060977935791,9146,933,27733,9787
25,469,0.874765157699585,9165,935,27792,9808
25,470,0.8747959136962891,9185,937,27851,9829
25,471,0.9060084819793701,9204,939,27910,9850
25,472,0.8747646808624268,9224,941,27969,9871
25,473,0.8903853893280029,9243,943,28028,9892
25,474,0.8747653961181641,9263,945,28087,9913
25,475,0.8747649192810059,9282,947,28146,9934
25,476,0.9060015678405762,9302,949,28205,9955
25,477,0.8747363090515137,9321,951,28264,9976
25,478,0.8904187679290771,9341,953,28323,9997
25,479,0.8903524875640869,9360,955,28382,10018
25,480,0.8904209136962891,9380,957,28441,10039
25,481,0.874758243560791,9399,959,28500,10060
25,482,0.8747360706329346,9419,961,28559,10081
25,483,0.9060389995574951,9438,963,28618,10102
25,484,0.8747618198394775,9458,965,28677,10123
25,485,0.9060153961181641,9477,967,28736,10144
25,486,0.8747601509094238,9497,969,28795,10165
25,487,0.8747596740722656,9516,971,28854,10186
25,488,0.9060063362121582,9536,973,28913,10207
25,489,0.8747365474700928,9555,975,28972,10228
25,490,0.9060060977935791,9575,977,29031,10249
25,491,0.8747990131378174,9594,979,29090,10270
25,492,0.8903863430023193,9614,981,29149,10291
25,493,0.8747298717498779,9633,983,29208,10312
25,494,0.8747649192810059,9653,985,29267,10333
