stepcount_43,strategy_43,strat code_43,move_43,probabilities_43,utility_43,common_move_43,number_coop_43,number_defect_43,outcomes_43,p1_43,p2_43,p3_43,p4_43,u1_43,u2_43,u3_43,u4_43,m1_43,m2_43,m3_43,m4_43
True,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'D'}","{44: 0.47, 51: 0.54, 42: 0.47, 35: 0.46}",0,['C'],3,1,"{44: ['C', 'C'], 51: ['C', 'D'], 42: ['C', 'C'], 35: ['D', 'C']}",0.47,0.54,0.47,0.46,1.5,-2,1.5,2,1,1,1,2
2,VPP,6,"{44: 'D', 51: 'C', 42: 'D', 35: 'C'}","{44: 0.49, 51: 0.51, 42: 0.43, 35: 0.5}",3.0,Eq,2,2,"{44: ['D', 'D'], 51: ['C', 'C'], 42: ['D', 'C'], 35: ['C', 'D']}",0.49,0.51,0.43,0.5,2.5,-0.5,3.5,0,2,1,2,1
3,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'D'}","{44: 0.45999999999999996, 51: 0.48, 42: 0.4, 35: 0.52}",5.5,['C'],3,1,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['C', 'C'], 35: ['D', 'D']}",0.45999999999999996,0.48,0.4,0.52,4.0,1.0,5.0,1,1,1,1,2
4,VPP,6,"{44: 'C', 51: 'C', 42: 'D', 35: 'D'}","{44: 0.42999999999999994, 51: 0.44999999999999996, 42: 0.36000000000000004, 35: 0.48000000000000004}",11.0,Eq,2,2,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['D', 'C'], 35: ['D', 'C']}",0.42999999999999994,0.44999999999999996,0.36000000000000004,0.48000000000000004,5.5,2.5,7.0,3,1,1,2,2
5,VPP,6,"{44: 'D', 51: 'D', 42: 'C', 35: 'C'}","{44: 0.44999999999999996, 51: 0.47, 42: 0.4, 35: 0.52}",18.0,Eq,2,2,"{44: ['D', 'D'], 51: ['D', 'D'], 42: ['C', 'D'], 35: ['C', 'D']}",0.44999999999999996,0.47,0.4,0.52,6.5,3.5,5.0,1,2,2,1,1
6,VPP,6,"{44: 'C', 51: 'D', 42: 'D', 35: 'C'}","{44: 0.41999999999999993, 51: 0.49, 42: 0.42000000000000004, 35: 0.56}",16.0,Eq,2,2,"{44: ['C', 'C'], 51: ['D', 'D'], 42: ['D', 'D'], 35: ['C', 'D']}",0.41999999999999993,0.49,0.42000000000000004,0.56,8.0,4.5,6.0,-1,1,2,2,1
7,VPP,6,"{44: 'D', 51: 'D', 42: 'D', 35: 'D'}","{44: 0.43999999999999995, 51: 0.51, 42: 0.44000000000000006, 35: 0.5800000000000001}",17.5,['D'],0,4,"{44: ['D', 'D'], 51: ['D', 'D'], 42: ['D', 'D'], 35: ['D', 'D']}",0.43999999999999995,0.51,0.44000000000000006,0.5800000000000001,9.0,5.5,7.0,0,2,2,2,2
8,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.4099999999999999, 51: 0.48, 42: 0.48000000000000004, 35: 0.55}",21.5,['C'],4,0,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['C', 'D'], 35: ['C', 'C']}",0.4099999999999999,0.48,0.48000000000000004,0.55,10.5,7.0,5.0,1.5,1,1,1,1
9,VPP,6,"{44: 'D', 51: 'C', 42: 'D', 35: 'D'}","{44: 0.36999999999999994, 51: 0.44999999999999996, 42: 0.44000000000000006, 35: 0.51}",24.0,['D'],1,3,"{44: ['D', 'C'], 51: ['C', 'C'], 42: ['D', 'C'], 35: ['D', 'C']}",0.36999999999999994,0.44999999999999996,0.44000000000000006,0.51,12.5,8.5,7.0,3.5,2,1,2,2
10,VPP,6,"{44: 'D', 51: 'C', 42: 'D', 35: 'D'}","{44: 0.32999999999999996, 51: 0.41999999999999993, 42: 0.4600000000000001, 35: 0.53}",31.5,['D'],1,3,"{44: ['D', 'C'], 51: ['C', 'C'], 42: ['D', 'D'], 35: ['D', 'D']}",0.32999999999999996,0.41999999999999993,0.4600000000000001,0.53,14.5,10.0,8.0,4.5,2,1,2,2
11,VPP,6,"{44: 'C', 51: 'D', 42: 'D', 35: 'D'}","{44: 0.29999999999999993, 51: 0.37999999999999995, 42: 0.4200000000000001, 35: 0.49000000000000005}",37.0,['D'],1,3,"{44: ['C', 'C'], 51: ['D', 'C'], 42: ['D', 'C'], 35: ['D', 'C']}",0.29999999999999993,0.37999999999999995,0.4200000000000001,0.49000000000000005,16.0,12.0,10.0,6.5,1,2,2,2
12,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'D'}","{44: 0.3399999999999999, 51: 0.35, 42: 0.4600000000000001, 35: 0.51}",44.5,['C'],3,1,"{44: ['C', 'D'], 51: ['C', 'C'], 42: ['C', 'D'], 35: ['D', 'D']}",0.3399999999999999,0.35,0.4600000000000001,0.51,14.0,13.5,8.0,7.5,1,1,1,2
13,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.30999999999999994, 51: 0.38999999999999996, 42: 0.43000000000000005, 35: 0.48}",43.0,['C'],4,0,"{44: ['C', 'C'], 51: ['C', 'D'], 42: ['C', 'C'], 35: ['C', 'C']}",0.30999999999999994,0.38999999999999996,0.43000000000000005,0.48,15.5,11.5,9.5,9.0,1,1,1,1
14,VPP,6,"{44: 'C', 51: 'C', 42: 'D', 35: 'C'}","{44: 0.2799999999999999, 51: 0.42999999999999994, 42: 0.45000000000000007, 35: 0.44999999999999996}",45.5,['C'],3,1,"{44: ['C', 'C'], 51: ['C', 'D'], 42: ['D', 'D'], 35: ['C', 'C']}",0.2799999999999999,0.42999999999999994,0.45000000000000007,0.44999999999999996,17.0,9.5,10.5,10.5,1,1,2,1
15,VPP,6,"{44: 'C', 51: 'D', 42: 'C', 35: 'C'}","{44: 0.3199999999999999, 51: 0.44999999999999996, 42: 0.42000000000000004, 35: 0.41999999999999993}",47.5,['C'],3,1,"{44: ['C', 'D'], 51: ['D', 'D'], 42: ['C', 'C'], 35: ['C', 'C']}",0.3199999999999999,0.44999999999999996,0.42000000000000004,0.41999999999999993,15.0,10.5,12.0,12.0,1,2,1,1
16,VPP,6,"{44: 'C', 51: 'C', 42: 'D', 35: 'D'}","{44: 0.3599999999999999, 51: 0.48999999999999994, 42: 0.44000000000000006, 35: 0.37999999999999995}",49.5,Eq,2,2,"{44: ['C', 'D'], 51: ['C', 'D'], 42: ['D', 'D'], 35: ['D', 'C']}",0.3599999999999999,0.48999999999999994,0.44000000000000006,0.37999999999999995,13.0,8.5,13.0,14.0,1,1,2,2
17,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.32999999999999985, 51: 0.45999999999999996, 42: 0.48000000000000004, 35: 0.41999999999999993}",48.5,['C'],4,0,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['C', 'D'], 35: ['C', 'D']}",0.32999999999999985,0.45999999999999996,0.48000000000000004,0.41999999999999993,14.5,10.0,11.0,12.0,1,1,1,1
18,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.36999999999999983, 51: 0.42999999999999994, 42: 0.45000000000000007, 35: 0.4599999999999999}",47.5,['C'],4,0,"{44: ['C', 'D'], 51: ['C', 'C'], 42: ['C', 'C'], 35: ['C', 'D']}",0.36999999999999983,0.42999999999999994,0.45000000000000007,0.4599999999999999,12.5,11.5,12.5,10.0,1,1,1,1
19,VPP,6,"{44: 'D', 51: 'C', 42: 'D', 35: 'D'}","{44: 0.32999999999999985, 51: 0.3999999999999999, 42: 0.4700000000000001, 35: 0.4799999999999999}",46.5,['D'],1,3,"{44: ['D', 'C'], 51: ['C', 'C'], 42: ['D', 'D'], 35: ['D', 'D']}",0.32999999999999985,0.3999999999999999,0.4700000000000001,0.4799999999999999,14.5,13.0,13.5,11.0,2,1,2,2
20,VPP,6,"{44: 'D', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.28999999999999987, 51: 0.3699999999999999, 42: 0.5100000000000001, 35: 0.44999999999999996}",52.0,['C'],3,1,"{44: ['D', 'C'], 51: ['C', 'C'], 42: ['C', 'D'], 35: ['C', 'C']}",0.28999999999999987,0.3699999999999999,0.5100000000000001,0.44999999999999996,16.5,14.5,11.5,12.5,2,1,1,1
21,VPP,6,"{44: 'D', 51: 'C', 42: 'D', 35: 'D'}","{44: 0.24999999999999986, 51: 0.33999999999999986, 42: 0.47000000000000014, 35: 0.41}",55.0,['D'],1,3,"{44: ['D', 'C'], 51: ['C', 'C'], 42: ['D', 'C'], 35: ['D', 'C']}",0.24999999999999986,0.33999999999999986,0.47000000000000014,0.41,18.5,16.0,13.5,14.5,2,1,2,2
22,VPP,6,"{44: 'D', 51: 'D', 42: 'D', 35: 'C'}","{44: 0.20999999999999985, 51: 0.2999999999999999, 42: 0.49000000000000016, 35: 0.44999999999999996}",62.5,['D'],1,3,"{44: ['D', 'C'], 51: ['D', 'C'], 42: ['D', 'D'], 35: ['C', 'D']}",0.20999999999999985,0.2999999999999999,0.49000000000000016,0.44999999999999996,20.5,18.0,14.5,12.5,2,2,2,1
23,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'D'}","{44: 0.17999999999999985, 51: 0.2699999999999999, 42: 0.5300000000000001, 35: 0.47}",65.5,['C'],3,1,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['C', 'D'], 35: ['D', 'D']}",0.17999999999999985,0.2699999999999999,0.5300000000000001,0.47,22.0,19.5,12.5,13.5,1,1,1,2
24,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.14999999999999986, 51: 0.2399999999999999, 42: 0.5000000000000001, 35: 0.43999999999999995}",67.5,['C'],4,0,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['C', 'C'], 35: ['C', 'C']}",0.14999999999999986,0.2399999999999999,0.5000000000000001,0.43999999999999995,23.5,21.0,14.0,15.0,1,1,1,1
25,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.11999999999999986, 51: 0.2099999999999999, 42: 0.4700000000000001, 35: 0.4099999999999999}",73.5,['C'],4,0,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['C', 'C'], 35: ['C', 'C']}",0.11999999999999986,0.2099999999999999,0.4700000000000001,0.4099999999999999,25.0,22.5,15.5,16.5,1,1,1,1
26,VPP,6,"{44: 'C', 51: 'C', 42: 'C', 35: 'C'}","{44: 0.08999999999999986, 51: 0.1799999999999999, 42: 0.44000000000000006, 35: 0.3799999999999999}",79.5,['C'],4,0,"{44: ['C', 'C'], 51: ['C', 'C'], 42: ['C', 'C'], 35: ['C', 'C']}",0.08999999999999986,0.1799999999999999,0.44000000000000006,0.3799999999999999,26.5,24.0,17.0,18.0,1,1,1,1
