stepcount_25,strategy_25,strat code_25,move_25,probabilities_25,utility_25,common_move_25,number_coop_25,number_defect_25,outcomes_25,u1_25,u2_25,u3_25,u4_25,m1_25,m2_25,m3_25,m4_25,uv_25,ps_25,nc_25,mutC_25,simP_25,avp1_25,avp2_25,avp3_25,avp4_25,globav_25,epsilon_25,alpha_25,mood_25
True,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.065, 20: 0.065}",0,['C'],4,0,"{24: ['C', 'C'], 20: ['C', 'C']}",3,3,None,None,1,1,None,None,0.045,"{24: ['C', 24, 'NEUTRAL'], 20: ['C', 20, 'NEUTRAL']}",4,2,2,1.5,1.5,None,None,1.5,0.5,0.1,56.0
2,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.001, 20: 0.001}",6,['C'],2,0,"{24: ['C', 'C'], 20: ['C', 'C']}",6,6,None,None,1,1,None,None,0.075,"{24: ['C', 24, 'NEUTRAL'], 20: ['C', 20, 'NEUTRAL']}",2,2,4,2,2,None,None,2,0.5,0.1,62.0
3,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.001, 20: 0.001}",12,['C'],2,0,"{24: ['C', 'D'], 20: ['C', 'D']}",6,6,None,None,1,1,None,None,0.075,"{24: ['D', 24, 'HIGH'], 20: ['D', 20, 'HIGH']}",2,0,6,1.5,1.5,None,None,1.5,0.5,0.1,61.044062499999995
4,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.001, 20: 0.001}",12,['C'],2,0,"{24: ['C', 'C'], 20: ['C', 'C']}",9,9,None,None,1,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",2,2,8,1.8,1.8,None,None,1.8,0.5,0.1,66.29104815625
5,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.001, 20: 0.001}",18,['C'],2,0,"{24: ['C', 'D'], 20: ['C', 'D']}",9,9,None,None,1,1,None,None,0.075,"{24: ['D', 24, 'HIGH'], 20: ['D', 20, 'HIGH']}",2,0,10,1.5,1.5,None,None,1.5,0.5,0.1,65.15805283039063
6,MOODYLEARN,9,"{24: 'C', 20: 'C'}","{24: 0.001, 20: 0.001}",18,['C'],1,1,"{24: ['C', 'C'], 20: ['C', 'C']}",12,12,None,None,1,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,2,12,1.7142857142857142,1.7142857142857142,None,None,1.7142857142857142,0.5,0.1,70.19831516693861
7,MOODYLEARN,9,"{24: 'C', 20: 'D'}","{24: 0.001, 20: 0.076}",24,Eq,1,1,"{24: ['C', 'D'], 20: ['D', 'D']}",12,13,None,None,1,2,None,None,0.075,"{24: ['D', 24, 'HIGH'], 20: ['D', 20, 'HIGH']}",1,0,14,1.5,1.625,None,None,1.5625,0.0001,0.1,70.2600277460227
8,MOODYLEARN,9,"{24: 'D', 20: 'C'}","{24: 0.001, 20: 0.001}",25,Eq,1,1,"{24: ['D', 'C'], 20: ['C', 'C']}",17,16,None,None,2,1,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,16,1.8888888888888888,1.7777777777777777,None,None,1.8333333333333333,0.0001,0.1,77.65102342775481
9,MOODYLEARN,9,"{24: 'C', 20: 'D'}","{24: 0.001, 20: 0.001}",33,Eq,1,1,"{24: ['C', 'C'], 20: ['D', 'C']}",20,21,None,None,1,2,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,18,2,2.1,None,None,2.05,0.0001,0.1,85.32967133034252
10,MOODYLEARN,9,"{24: 'C', 20: 'D'}","{24: 0.001, 20: 0.001}",41,Eq,1,1,"{24: ['C', 'C'], 20: ['D', 'C']}",23,26,None,None,1,2,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,20,2.090909090909091,2.3636363636363638,None,None,2.2272727272727275,0.0001,0.1,93.19630470607291
11,MOODYLEARN,9,"{24: 'C', 20: 'D'}","{24: 0.001, 20: 0.001}",49,Eq,1,1,"{24: ['C', 'C'], 20: ['D', 'C']}",26,31,None,None,1,2,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,22,2.1666666666666665,2.5833333333333335,None,None,2.375,0.0001,0.1,99.999
12,MOODYLEARN,9,"{24: 'C', 20: 'D'}","{24: 0.001, 20: 0.001}",57,Eq,1,1,"{24: ['C', 'C'], 20: ['D', 'C']}",29,36,None,None,1,2,None,None,0.075,"{24: ['C', 24, 'HIGH'], 20: ['C', 20, 'HIGH']}",1,1,24,2.230769230769231,2.769230769230769,None,None,2.5,0.0001,0.1,99.999
