stepcount_49,strategy_49,strat code_49,move_49,probabilities_49,utility_49,common_move_49,number_coop_49,number_defect_49,outcomes_49,p1_49,p2_49,p3_49,p4_49,u1_49,u2_49,u3_49,u4_49,m1_49,m2_49,m3_49,m4_49
True,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.47, 57: 0.47, 41: 0.47}",0,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.47,0.47,0.47,None,1.5,1.5,1.5,None,1,1,1,None
2,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.43999999999999995, 57: 0.43999999999999995, 41: 0.43999999999999995}",4.5,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.43999999999999995,0.43999999999999995,0.43999999999999995,None,3.0,3.0,3.0,None,1,1,1,None
3,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.4099999999999999, 57: 0.4099999999999999, 41: 0.4099999999999999}",9.0,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.4099999999999999,0.4099999999999999,0.4099999999999999,None,4.5,4.5,4.5,None,1,1,1,None
4,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.3799999999999999, 57: 0.3799999999999999, 41: 0.3799999999999999}",13.5,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.3799999999999999,0.3799999999999999,0.3799999999999999,None,6.0,6.0,6.0,None,1,1,1,None
5,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.34999999999999987, 57: 0.34999999999999987, 41: 0.34999999999999987}",18.0,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.34999999999999987,0.34999999999999987,0.34999999999999987,None,7.5,7.5,7.5,None,1,1,1,None
6,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.31999999999999984, 57: 0.31999999999999984, 41: 0.31999999999999984}",22.5,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.31999999999999984,0.31999999999999984,0.31999999999999984,None,9.0,9.0,9.0,None,1,1,1,None
7,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.2899999999999998, 57: 0.2899999999999998, 41: 0.2899999999999998}",27.0,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.2899999999999998,0.2899999999999998,0.2899999999999998,None,10.5,10.5,10.5,None,1,1,1,None
8,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.2599999999999998, 57: 0.2599999999999998, 41: 0.2599999999999998}",31.5,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.2599999999999998,0.2599999999999998,0.2599999999999998,None,12.0,12.0,12.0,None,1,1,1,None
9,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.2299999999999998, 57: 0.2299999999999998, 41: 0.2299999999999998}",36.0,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.2299999999999998,0.2299999999999998,0.2299999999999998,None,13.5,13.5,13.5,None,1,1,1,None
10,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.1999999999999998, 57: 0.1999999999999998, 41: 0.1999999999999998}",40.5,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.1999999999999998,0.1999999999999998,0.1999999999999998,None,15.0,15.0,15.0,None,1,1,1,None
11,WSLS,7,"{50: 'C', 57: 'C', 41: 'C'}","{50: 0.1699999999999998, 57: 0.1699999999999998, 41: 0.1699999999999998}",45.0,['C'],3,0,"{50: ['C', 'C'], 57: ['C', 'C'], 41: ['C', 'C']}",0.1699999999999998,0.1699999999999998,0.1699999999999998,None,16.5,16.5,16.5,None,1,1,1,None
