stepcount_59,strategy_59,strat code_59,move_59,probabilities_59,utility_59,common_move_59,number_coop_59,number_defect_59,outcomes_59,p1_59,p2_59,p3_59,p4_59,u1_59,u2_59,u3_59,u4_59,m1_59,m2_59,m3_59,m4_59
True,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.47, 58: 0.54, 51: 0.47}",0,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'D'], 51: ['C', 'C']}",0.47,0.54,0.47,None,1.5,-2,1.5,None,1,1,1,None
2,WSLS,7,"{60: 'C', 58: 'D', 51: 'C'}","{60: 0.43999999999999995, 58: 0.56, 51: 0.51}",1.0,['C'],3,0,"{60: ['C', 'C'], 58: ['D', 'D'], 51: ['C', 'D']}",0.43999999999999995,0.56,0.51,None,3.0,-1,-0.5,None,1,2,1,None
3,WSLS,7,"{60: 'C', 58: 'C', 51: 'D'}","{60: 0.4099999999999999, 58: 0.53, 51: 0.47000000000000003}",1.5,['C'],2,1,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['D', 'C']}",0.4099999999999999,0.53,0.47000000000000003,None,4.5,0.5,1.5,None,1,1,2,None
4,WSLS,7,"{60: 'C', 58: 'C', 51: 'D'}","{60: 0.3799999999999999, 58: 0.5, 51: 0.43000000000000005}",6.5,['C'],2,1,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['D', 'C']}",0.3799999999999999,0.5,0.43000000000000005,None,6.0,2.0,3.5,None,1,1,2,None
5,WSLS,7,"{60: 'C', 58: 'C', 51: 'D'}","{60: 0.34999999999999987, 58: 0.47, 51: 0.45000000000000007}",11.5,['C'],2,1,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['D', 'D']}",0.34999999999999987,0.47,0.45000000000000007,None,7.5,3.5,4.5,None,1,1,2,None
6,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.31999999999999984, 58: 0.43999999999999995, 51: 0.42000000000000004}",15.5,['C'],2,1,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.31999999999999984,0.43999999999999995,0.42000000000000004,None,9.0,5.0,6.0,None,1,1,1,None
7,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.2899999999999998, 58: 0.4099999999999999, 51: 0.39}",20.0,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.2899999999999998,0.4099999999999999,0.39,None,10.5,6.5,7.5,None,1,1,1,None
8,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.2599999999999998, 58: 0.3799999999999999, 51: 0.43}",24.5,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'D']}",0.2599999999999998,0.3799999999999999,0.43,None,12.0,8.0,5.5,None,1,1,1,None
9,WSLS,7,"{60: 'C', 58: 'C', 51: 'D'}","{60: 0.2299999999999998, 58: 0.34999999999999987, 51: 0.39}",25.5,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['D', 'C']}",0.2299999999999998,0.34999999999999987,0.39,None,13.5,9.5,7.5,None,1,1,2,None
10,WSLS,7,"{60: 'C', 58: 'C', 51: 'D'}","{60: 0.1999999999999998, 58: 0.31999999999999984, 51: 0.41000000000000003}",30.5,['C'],2,1,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['D', 'D']}",0.1999999999999998,0.31999999999999984,0.41000000000000003,None,15.0,11.0,8.5,None,1,1,2,None
11,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.1699999999999998, 58: 0.2899999999999998, 51: 0.38}",34.5,['C'],2,1,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.1699999999999998,0.2899999999999998,0.38,None,16.5,12.5,10.0,None,1,1,1,None
12,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.1399999999999998, 58: 0.2599999999999998, 51: 0.35}",39.0,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.1399999999999998,0.2599999999999998,0.35,None,18.0,14.0,11.5,None,1,1,1,None
13,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.10999999999999979, 58: 0.2299999999999998, 51: 0.31999999999999995}",43.5,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.10999999999999979,0.2299999999999998,0.31999999999999995,None,19.5,15.5,13.0,None,1,1,1,None
14,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.0799999999999998, 58: 0.1999999999999998, 51: 0.2899999999999999}",48.0,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.0799999999999998,0.1999999999999998,0.2899999999999999,None,21.0,17.0,14.5,None,1,1,1,None
15,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.049999999999999795, 58: 0.1699999999999998, 51: 0.2599999999999999}",52.5,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.049999999999999795,0.1699999999999998,0.2599999999999999,None,22.5,18.5,16.0,None,1,1,1,None
16,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0.019999999999999796, 58: 0.1399999999999998, 51: 0.2299999999999999}",57.0,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'C']}",0.019999999999999796,0.1399999999999998,0.2299999999999999,None,24.0,20.0,17.5,None,1,1,1,None
17,WSLS,7,"{60: 'C', 58: 'C', 51: 'C'}","{60: 0, 58: 0.10999999999999979, 51: 0.2699999999999999}",61.5,['C'],3,0,"{60: ['C', 'C'], 58: ['C', 'C'], 51: ['C', 'D']}",0,0.10999999999999979,0.2699999999999999,None,25.5,21.5,15.5,None,1,1,1,None
