,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,"(47, 0.015, 0.15)"
1,102,38,33,13,17.5,28,17.5,28,-3.5,14,0,0,"(47, 0.015, 0.15)"
2,94,46,29,13,56.0,21,38.5,21,14.0,14,0,0,"(47, 0.015, 0.15)"
3,88,52,31,14,94.5,21,56.0,28,10.5,7,0,0,"(47, 0.015, 0.15)"
4,93,47,27,13,133.0,21,73.5,28,28.0,14,0,0,"(47, 0.015, 0.15)"
5,82,58,28,13,171.5,21,112.0,21,24.5,7,0,0,"(47, 0.015, 0.15)"
6,91,49,29,14,210.0,21,150.5,21,42.0,14,0,0,"(47, 0.015, 0.15)"
7,84,56,29,13,248.5,21,189.0,21,38.5,7,0,0,"(47, 0.015, 0.15)"
8,89,51,29,14,287.0,21,227.5,21,56.0,14,0,0,"(47, 0.015, 0.15)"
9,86,54,30,13,325.5,21,266.0,21,52.5,7,0,0,"(47, 0.015, 0.15)"
10,91,49,29,13,364.0,21,304.5,21,70.0,14,0,0,"(47, 0.015, 0.15)"
11,84,56,30,14,402.5,21,343.0,21,66.5,7,0,0,"(47, 0.015, 0.15)"
12,89,51,28,13,441.0,21,381.5,21,84.0,14,0,0,"(47, 0.015, 0.15)"
13,85,55,30,14,479.5,21,420.0,21,80.5,7,0,0,"(47, 0.015, 0.15)"
14,89,51,28,13,518.0,21,458.5,21,98.0,14,0,0,"(47, 0.015, 0.15)"
15,85,55,30,14,556.5,21,497.0,21,94.5,7,0,0,"(47, 0.015, 0.15)"
16,89,51,28,13,595.0,21,535.5,21,112.0,14,0,0,"(47, 0.015, 0.15)"
17,86,54,30,13,633.5,21,574.0,21,108.5,7,0,0,"(47, 0.015, 0.15)"
18,90,50,29,13,672.0,21,612.5,21,126.0,14,0,0,"(47, 0.015, 0.15)"
19,86,54,30,13,710.5,21,651.0,21,122.5,7,0,0,"(47, 0.015, 0.15)"
20,90,50,29,13,749.0,21,689.5,21,140.0,14,0,0,"(47, 0.015, 0.15)"
21,86,54,30,13,787.5,21,728.0,21,136.5,7,0,0,"(47, 0.015, 0.15)"
22,90,50,29,13,826.0,21,766.5,21,154.0,14,0,0,"(47, 0.015, 0.15)"
23,86,54,30,13,864.5,21,805.0,21,150.5,7,0,0,"(47, 0.015, 0.15)"
24,90,50,29,13,903.0,21,843.5,21,168.0,14,0,0,"(47, 0.015, 0.15)"
25,86,54,30,13,941.5,21,882.0,21,164.5,7,0,0,"(47, 0.015, 0.15)"
26,90,50,29,13,980.0,21,920.5,21,182.0,14,0,0,"(47, 0.015, 0.15)"
27,86,54,30,13,1018.5,21,959.0,21,178.5,7,0,0,"(47, 0.015, 0.15)"
28,90,50,29,13,1057.0,21,997.5,21,196.0,14,0,0,"(47, 0.015, 0.15)"
29,86,54,30,13,1095.5,21,1036.0,21,192.5,7,0,0,"(47, 0.015, 0.15)"
30,90,50,29,13,1134.0,21,1074.5,21,210.0,14,0,0,"(47, 0.015, 0.15)"
31,86,54,30,13,1172.5,21,1113.0,21,206.5,7,0,0,"(47, 0.015, 0.15)"
32,90,50,29,13,1211.0,21,1151.5,21,224.0,14,0,0,"(47, 0.015, 0.15)"
33,86,54,30,13,1249.5,21,1190.0,21,220.5,7,0,0,"(47, 0.015, 0.15)"
34,90,50,29,13,1288.0,21,1228.5,21,238.0,14,0,0,"(47, 0.015, 0.15)"
35,86,54,30,13,1326.5,21,1267.0,21,234.5,7,0,0,"(47, 0.015, 0.15)"
36,90,50,29,13,1365.0,21,1305.5,21,252.0,14,0,0,"(47, 0.015, 0.15)"
37,86,54,30,13,1403.5,21,1344.0,21,248.5,7,0,0,"(47, 0.015, 0.15)"
38,90,50,29,13,1442.0,21,1382.5,21,266.0,14,0,0,"(47, 0.015, 0.15)"
39,86,54,30,13,1480.5,21,1421.0,21,262.5,7,0,0,"(47, 0.015, 0.15)"
40,90,50,29,13,1519.0,21,1459.5,21,280.0,14,0,0,"(47, 0.015, 0.15)"
41,86,54,30,13,1557.5,21,1498.0,21,276.5,7,0,0,"(47, 0.015, 0.15)"
42,90,50,29,13,1596.0,21,1536.5,21,294.0,14,0,0,"(47, 0.015, 0.15)"
43,86,54,30,13,1634.5,21,1575.0,21,290.5,7,0,0,"(47, 0.015, 0.15)"
44,90,50,29,13,1673.0,21,1613.5,21,308.0,14,0,0,"(47, 0.015, 0.15)"
45,86,54,30,13,1711.5,21,1652.0,21,304.5,7,0,0,"(47, 0.015, 0.15)"
46,90,50,29,13,1750.0,21,1690.5,21,322.0,14,0,0,"(47, 0.015, 0.15)"
47,86,54,30,13,1788.5,21,1729.0,21,318.5,7,0,0,"(47, 0.015, 0.15)"
48,90,50,29,13,1827.0,21,1767.5,21,336.0,14,0,0,"(47, 0.015, 0.15)"
49,86,54,30,13,1865.5,21,1806.0,21,332.5,7,0,0,"(47, 0.015, 0.15)"
50,90,50,29,13,1904.0,21,1844.5,21,350.0,14,0,0,"(47, 0.015, 0.15)"
51,86,54,30,13,1942.5,21,1883.0,21,346.5,7,0,0,"(47, 0.015, 0.15)"
52,90,50,29,13,1981.0,21,1921.5,21,364.0,14,0,0,"(47, 0.015, 0.15)"
53,86,54,30,13,2019.5,21,1960.0,21,360.5,7,0,0,"(47, 0.015, 0.15)"
54,90,50,29,13,2058.0,21,1998.5,21,378.0,14,0,0,"(47, 0.015, 0.15)"
55,86,54,30,13,2096.5,21,2037.0,21,374.5,7,0,0,"(47, 0.015, 0.15)"
56,90,50,29,13,2135.0,21,2075.5,21,392.0,14,0,0,"(47, 0.015, 0.15)"
57,86,54,30,13,2173.5,21,2114.0,21,388.5,7,0,0,"(47, 0.015, 0.15)"
58,90,50,29,13,2212.0,21,2152.5,21,406.0,14,0,0,"(47, 0.015, 0.15)"
59,86,54,30,13,2250.5,21,2191.0,21,402.5,7,0,0,"(47, 0.015, 0.15)"
60,90,50,29,13,2289.0,21,2229.5,21,420.0,14,0,0,"(47, 0.015, 0.15)"
61,86,54,30,13,2327.5,21,2268.0,21,416.5,7,0,0,"(47, 0.015, 0.15)"
62,90,50,29,13,2366.0,21,2306.5,21,434.0,14,0,0,"(47, 0.015, 0.15)"
63,86,54,30,13,2404.5,21,2345.0,21,430.5,7,0,0,"(47, 0.015, 0.15)"
64,90,50,29,13,2443.0,21,2383.5,21,448.0,14,0,0,"(47, 0.015, 0.15)"
65,86,54,30,13,2481.5,21,2422.0,21,444.5,7,0,0,"(47, 0.015, 0.15)"
66,90,50,29,13,2520.0,21,2460.5,21,462.0,14,0,0,"(47, 0.015, 0.15)"
67,86,54,30,13,2558.5,21,2499.0,21,458.5,7,0,0,"(47, 0.015, 0.15)"
68,90,50,29,13,2597.0,21,2537.5,21,476.0,14,0,0,"(47, 0.015, 0.15)"
69,86,54,30,13,2635.5,21,2576.0,21,472.5,7,0,0,"(47, 0.015, 0.15)"
70,90,50,29,13,2674.0,21,2614.5,21,490.0,14,0,0,"(47, 0.015, 0.15)"
71,86,54,30,13,2712.5,21,2653.0,21,486.5,7,0,0,"(47, 0.015, 0.15)"
72,90,50,29,13,2751.0,21,2691.5,21,504.0,14,0,0,"(47, 0.015, 0.15)"
73,86,54,30,13,2789.5,21,2730.0,21,500.5,7,0,0,"(47, 0.015, 0.15)"
74,90,50,29,13,2828.0,21,2768.5,21,518.0,14,0,0,"(47, 0.015, 0.15)"
75,86,54,30,13,2866.5,21,2807.0,21,514.5,7,0,0,"(47, 0.015, 0.15)"
76,90,50,29,13,2905.0,21,2845.5,21,532.0,14,0,0,"(47, 0.015, 0.15)"
77,86,54,30,13,2943.5,21,2884.0,21,528.5,7,0,0,"(47, 0.015, 0.15)"
78,90,50,29,13,2982.0,21,2922.5,21,546.0,14,0,0,"(47, 0.015, 0.15)"
79,86,54,30,13,3020.5,21,2961.0,21,542.5,7,0,0,"(47, 0.015, 0.15)"
80,90,50,29,13,3059.0,21,2999.5,21,560.0,14,0,0,"(47, 0.015, 0.15)"
81,86,54,30,13,3097.5,21,3038.0,21,556.5,7,0,0,"(47, 0.015, 0.15)"
82,90,50,29,13,3136.0,21,3076.5,21,574.0,14,0,0,"(47, 0.015, 0.15)"
83,86,54,30,13,3174.5,21,3115.0,21,570.5,7,0,0,"(47, 0.015, 0.15)"
84,90,50,29,13,3213.0,21,3153.5,21,588.0,14,0,0,"(47, 0.015, 0.15)"
85,86,54,30,13,3251.5,21,3192.0,21,584.5,7,0,0,"(47, 0.015, 0.15)"
86,90,50,29,13,3290.0,21,3230.5,21,602.0,14,0,0,"(47, 0.015, 0.15)"
