,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,"(47, 0.015, 0.95)"
1,84,56,27,19,-7.0,28,49.0,0,-28,14,0,0,"(47, 0.015, 0.95)"
2,73,67,16,21,28.0,14,63.0,7,-7,14,0,0,"(47, 0.015, 0.95)"
3,59,81,19,20,63.0,14,98.0,0,-14,0,0,0,"(47, 0.015, 0.95)"
4,69,71,15,20,98.0,14,140.0,0,-21,7,0,0,"(47, 0.015, 0.95)"
5,68,72,20,18,133.0,14,150.5,14,-21,7,0,0,"(47, 0.015, 0.95)"
6,74,66,14,20,168.0,14,182.0,7,-7,7,0,0,"(47, 0.015, 0.95)"
7,64,76,20,19,203.0,14,220.5,7,-35,0,0,0,"(47, 0.015, 0.95)"
8,76,64,14,20,238.0,14,252.0,7,-21,14,0,0,"(47, 0.015, 0.95)"
9,64,76,20,19,273.0,14,290.5,7,-49,0,0,0,"(47, 0.015, 0.95)"
10,76,64,14,20,308.0,14,322.0,7,-35,14,0,0,"(47, 0.015, 0.95)"
11,64,76,20,19,343.0,14,360.5,7,-63,0,0,0,"(47, 0.015, 0.95)"
12,76,64,14,20,378.0,14,392.0,7,-49,14,0,0,"(47, 0.015, 0.95)"
13,64,76,20,19,413.0,14,430.5,7,-77,0,0,0,"(47, 0.015, 0.95)"
14,76,64,14,20,448.0,14,462.0,7,-63,14,0,0,"(47, 0.015, 0.95)"
15,64,76,20,19,483.0,14,500.5,7,-91,0,0,0,"(47, 0.015, 0.95)"
16,76,64,14,20,518.0,14,532.0,7,-77,14,0,0,"(47, 0.015, 0.95)"
17,64,76,20,19,553.0,14,570.5,7,-105,0,0,0,"(47, 0.015, 0.95)"
18,76,64,14,20,588.0,14,602.0,7,-91,14,0,0,"(47, 0.015, 0.95)"
19,64,76,20,19,623.0,14,640.5,7,-119,0,0,0,"(47, 0.015, 0.95)"
20,76,64,14,20,658.0,14,672.0,7,-105,14,0,0,"(47, 0.015, 0.95)"
21,64,76,20,19,693.0,14,710.5,7,-133,0,0,0,"(47, 0.015, 0.95)"
22,76,64,14,20,728.0,14,742.0,7,-119,14,0,0,"(47, 0.015, 0.95)"
23,64,76,20,19,763.0,14,780.5,7,-147,0,0,0,"(47, 0.015, 0.95)"
24,76,64,14,20,798.0,14,812.0,7,-133,14,0,0,"(47, 0.015, 0.95)"
25,64,76,20,19,833.0,14,850.5,7,-161,0,0,0,"(47, 0.015, 0.95)"
26,76,64,14,20,868.0,14,882.0,7,-147,14,0,0,"(47, 0.015, 0.95)"
27,64,76,20,19,903.0,14,920.5,7,-175,0,0,0,"(47, 0.015, 0.95)"
28,76,64,14,20,938.0,14,952.0,7,-161,14,0,0,"(47, 0.015, 0.95)"
29,64,76,20,19,973.0,14,990.5,7,-189,0,0,0,"(47, 0.015, 0.95)"
30,76,64,14,20,1008.0,14,1022.0,7,-175,14,0,0,"(47, 0.015, 0.95)"
31,64,76,20,19,1043.0,14,1060.5,7,-203,0,0,0,"(47, 0.015, 0.95)"
32,76,64,14,20,1078.0,14,1092.0,7,-189,14,0,0,"(47, 0.015, 0.95)"
33,64,76,20,19,1113.0,14,1130.5,7,-217,0,0,0,"(47, 0.015, 0.95)"
34,76,64,14,20,1148.0,14,1162.0,7,-203,14,0,0,"(47, 0.015, 0.95)"
35,64,76,20,19,1183.0,14,1200.5,7,-231,0,0,0,"(47, 0.015, 0.95)"
36,76,64,14,20,1218.0,14,1232.0,7,-217,14,0,0,"(47, 0.015, 0.95)"
37,64,76,20,19,1253.0,14,1270.5,7,-245,0,0,0,"(47, 0.015, 0.95)"
38,76,64,14,20,1288.0,14,1302.0,7,-231,14,0,0,"(47, 0.015, 0.95)"
39,64,76,20,19,1323.0,14,1340.5,7,-259,0,0,0,"(47, 0.015, 0.95)"
40,76,64,14,20,1358.0,14,1372.0,7,-245,14,0,0,"(47, 0.015, 0.95)"
41,64,76,20,19,1393.0,14,1410.5,7,-273,0,0,0,"(47, 0.015, 0.95)"
42,76,64,14,20,1428.0,14,1442.0,7,-259,14,0,0,"(47, 0.015, 0.95)"
43,64,76,20,19,1463.0,14,1480.5,7,-287,0,0,0,"(47, 0.015, 0.95)"
44,76,64,14,20,1498.0,14,1512.0,7,-273,14,0,0,"(47, 0.015, 0.95)"
45,64,76,20,19,1533.0,14,1550.5,7,-301,0,0,0,"(47, 0.015, 0.95)"
46,76,64,14,20,1568.0,14,1582.0,7,-287,14,0,0,"(47, 0.015, 0.95)"
47,64,76,20,19,1603.0,14,1620.5,7,-315,0,0,0,"(47, 0.015, 0.95)"
48,76,64,14,20,1638.0,14,1652.0,7,-301,14,0,0,"(47, 0.015, 0.95)"
49,64,76,20,19,1673.0,14,1690.5,7,-329,0,0,0,"(47, 0.015, 0.95)"
50,76,64,14,20,1708.0,14,1722.0,7,-315,14,0,0,"(47, 0.015, 0.95)"
