stepcount_38,strategy_38,strat code_38,move_38,probabilities_38,utility_38,common_move_38,number_coop_38,number_defect_38,outcomes_38,p1_38,p2_38,p3_38,p4_38,u1_38,u2_38,u3_38,u4_38,m1_38,m2_38,m3_38,m4_38
True,VPP,6,"{39: 'D', 46: 'D', 37: 'C', 30: 'C'}","{39: 0.46, 46: 0.46, 37: 0.47, 30: 0.54}",0,Eq,2,2,"{39: ['D', 'C'], 46: ['D', 'C'], 37: ['C', 'C'], 30: ['C', 'D']}",0.46,0.46,0.47,0.54,2,2,1.5,-2,2,2,1,1
2,VPP,6,"{39: 'D', 46: 'C', 37: 'C', 30: 'D'}","{39: 0.48000000000000004, 46: 0.43000000000000005, 37: 0.51, 30: 0.56}",3.5,Eq,2,2,"{39: ['D', 'D'], 46: ['C', 'C'], 37: ['C', 'D'], 30: ['D', 'D']}",0.48000000000000004,0.43000000000000005,0.51,0.56,3,3.5,-0.5,-1,2,1,1,2
3,VPP,6,"{39: 'D', 46: 'C', 37: 'D', 30: 'D'}","{39: 0.44000000000000006, 46: 0.47000000000000003, 37: 0.53, 30: 0.5800000000000001}",5.0,['D'],1,3,"{39: ['D', 'C'], 46: ['C', 'D'], 37: ['D', 'D'], 30: ['D', 'D']}",0.44000000000000006,0.47000000000000003,0.53,0.5800000000000001,5,1.5,0.5,0,2,1,2,2
4,VPP,6,"{39: 'C', 46: 'C', 37: 'D', 30: 'C'}","{39: 0.48000000000000004, 46: 0.44000000000000006, 37: 0.55, 30: 0.55}",7.0,['C'],3,1,"{39: ['C', 'D'], 46: ['C', 'C'], 37: ['D', 'D'], 30: ['C', 'C']}",0.48000000000000004,0.44000000000000006,0.55,0.55,3,3.0,1.5,1.5,1,1,2,1
5,VPP,6,"{39: 'C', 46: 'C', 37: 'C', 30: 'D'}","{39: 0.52, 46: 0.48000000000000004, 37: 0.52, 30: 0.5700000000000001}",9.0,['C'],3,1,"{39: ['C', 'D'], 46: ['C', 'D'], 37: ['C', 'C'], 30: ['D', 'D']}",0.52,0.48000000000000004,0.52,0.5700000000000001,1,1.0,3.0,2.5,1,1,1,2
6,VPP,6,"{39: 'D', 46: 'D', 37: 'C', 30: 'C'}","{39: 0.54, 46: 0.44000000000000006, 37: 0.49, 30: 0.54}",7.5,Eq,2,2,"{39: ['D', 'D'], 46: ['D', 'C'], 37: ['C', 'C'], 30: ['C', 'C']}",0.54,0.44000000000000006,0.49,0.54,2,3.0,4.5,4.0,2,2,1,1
7,VPP,6,"{39: 'D', 46: 'C', 37: 'D', 30: 'C'}","{39: 0.5, 46: 0.48000000000000004, 37: 0.45, 30: 0.5800000000000001}",13.5,Eq,2,2,"{39: ['D', 'C'], 46: ['C', 'D'], 37: ['D', 'C'], 30: ['C', 'D']}",0.5,0.48000000000000004,0.45,0.5800000000000001,4,1.0,6.5,2.0,2,1,2,1
8,VPP,6,"{39: 'D', 46: 'C', 37: 'C', 30: 'D'}","{39: 0.52, 46: 0.45000000000000007, 37: 0.49, 30: 0.54}",13.5,Eq,2,2,"{39: ['D', 'D'], 46: ['C', 'C'], 37: ['C', 'D'], 30: ['D', 'C']}",0.52,0.45000000000000007,0.49,0.54,5,2.5,4.5,4.0,2,1,1,2
9,VPP,6,"{39: 'D', 46: 'D', 37: 'C', 30: 'C'}","{39: 0.48000000000000004, 46: 0.4700000000000001, 37: 0.53, 30: 0.51}",16.0,Eq,2,2,"{39: ['D', 'C'], 46: ['D', 'D'], 37: ['C', 'D'], 30: ['C', 'C']}",0.48000000000000004,0.4700000000000001,0.53,0.51,7,3.5,2.5,5.5,2,2,1,1
10,VPP,6,"{39: 'C', 46: 'C', 37: 'D', 30: 'D'}","{39: 0.52, 46: 0.44000000000000006, 37: 0.49000000000000005, 30: 0.53}",18.5,Eq,2,2,"{39: ['C', 'D'], 46: ['C', 'C'], 37: ['D', 'C'], 30: ['D', 'D']}",0.52,0.44000000000000006,0.49000000000000005,0.53,5,5.0,4.5,6.5,1,1,2,2
11,VPP,6,"{39: 'D', 46: 'C', 37: 'D', 30: 'D'}","{39: 0.54, 46: 0.41000000000000003, 37: 0.51, 30: 0.49000000000000005}",21.0,['D'],1,3,"{39: ['D', 'D'], 46: ['C', 'C'], 37: ['D', 'D'], 30: ['D', 'C']}",0.54,0.41000000000000003,0.51,0.49000000000000005,6,6.5,5.5,8.5,2,1,2,2
