stepcount_6,strategy_6,strat code_6,move_6,probabilities_6,utility_6,common_move_6,number_coop_6,number_defect_6,outcomes_6,p1_6,p2_6,p3_6,p4_6,u1_6,u2_6,u3_6,u4_6,m1_6,m2_6,m3_6,m4_6
True,WSLS,7,"{7: 'C', 14: 'C', 5: 'C'}","{7: 0.47, 14: 0.47, 5: 0.54}",0,['C'],3,0,"{7: ['C', 'C'], 14: ['C', 'C'], 5: ['C', 'D']}",0.47,0.47,0.54,None,1.5,1.5,-2,None,1,1,1,None
2,WSLS,7,"{7: 'C', 14: 'C', 5: 'D'}","{7: 0.43999999999999995, 14: 0.51, 5: 0.56}",1.0,['C'],3,0,"{7: ['C', 'C'], 14: ['C', 'D'], 5: ['D', 'D']}",0.43999999999999995,0.51,0.56,None,3.0,-0.5,-1,None,1,1,2,None
3,WSLS,7,"{7: 'C', 14: 'D', 5: 'C'}","{7: 0.4099999999999999, 14: 0.47000000000000003, 5: 0.6000000000000001}",1.5,['C'],2,1,"{7: ['C', 'C'], 14: ['D', 'C'], 5: ['C', 'D']}",0.4099999999999999,0.47000000000000003,0.6000000000000001,None,4.5,1.5,-3,None,1,2,1,None
4,WSLS,7,"{7: 'C', 14: 'D', 5: 'D'}","{7: 0.4499999999999999, 14: 0.43000000000000005, 5: 0.6200000000000001}",3.0,['D'],2,1,"{7: ['C', 'D'], 14: ['D', 'C'], 5: ['D', 'D']}",0.4499999999999999,0.43000000000000005,0.6200000000000001,None,2.5,3.5,-2,None,1,2,2,None
5,WSLS,7,"{7: 'D', 14: 'D', 5: 'C'}","{7: 0.4099999999999999, 14: 0.45000000000000007, 5: 0.6600000000000001}",4.0,['D'],1,2,"{7: ['D', 'C'], 14: ['D', 'D'], 5: ['C', 'D']}",0.4099999999999999,0.45000000000000007,0.6600000000000001,None,4.5,4.5,-4,None,2,2,1,None
6,WSLS,7,"{7: 'D', 14: 'C', 5: 'D'}","{7: 0.36999999999999994, 14: 0.42000000000000004, 5: 0.6200000000000001}",5.0,['D'],1,2,"{7: ['D', 'C'], 14: ['C', 'C'], 5: ['D', 'C']}",0.36999999999999994,0.42000000000000004,0.6200000000000001,None,6.5,6.0,-2,None,2,1,2,None
7,WSLS,7,"{7: 'D', 14: 'C', 5: 'D'}","{7: 0.32999999999999996, 14: 0.39, 5: 0.5800000000000001}",10.5,['D'],1,2,"{7: ['D', 'C'], 14: ['C', 'C'], 5: ['D', 'C']}",0.32999999999999996,0.39,0.5800000000000001,None,8.5,7.5,0,None,2,1,2,None
8,WSLS,7,"{7: 'D', 14: 'C', 5: 'D'}","{7: 0.29, 14: 0.43, 5: 0.54}",16.0,['D'],1,2,"{7: ['D', 'C'], 14: ['C', 'D'], 5: ['D', 'C']}",0.29,0.43,0.54,None,10.5,5.5,2,None,2,1,2,None
9,WSLS,7,"{7: 'D', 14: 'D', 5: 'D'}","{7: 0.31, 14: 0.39, 5: 0.5}",18.0,['D'],1,2,"{7: ['D', 'D'], 14: ['D', 'C'], 5: ['D', 'C']}",0.31,0.39,0.5,None,11.5,7.5,4,None,2,2,2,None
10,WSLS,7,"{7: 'C', 14: 'D', 5: 'D'}","{7: 0.28, 14: 0.35000000000000003, 5: 0.52}",23.0,['D'],0,3,"{7: ['C', 'C'], 14: ['D', 'C'], 5: ['D', 'D']}",0.28,0.35000000000000003,0.52,None,13.0,9.5,5,None,1,2,2,None
11,WSLS,7,"{7: 'C', 14: 'D', 5: 'C'}","{7: 0.32, 14: 0.37000000000000005, 5: 0.49}",27.5,['C'],1,2,"{7: ['C', 'D'], 14: ['D', 'D'], 5: ['C', 'C']}",0.32,0.37000000000000005,0.49,None,11.0,10.5,6.5,None,1,2,1,None
12,WSLS,7,"{7: 'D', 14: 'C', 5: 'C'}","{7: 0.34, 14: 0.41000000000000003, 5: 0.53}",28.0,['C'],2,1,"{7: ['D', 'D'], 14: ['C', 'D'], 5: ['C', 'D']}",0.34,0.41000000000000003,0.53,None,12.0,8.5,4.5,None,2,1,1,None
13,WSLS,7,"{7: 'C', 14: 'D', 5: 'D'}","{7: 0.31000000000000005, 14: 0.37000000000000005, 5: 0.49000000000000005}",25.0,['D'],2,1,"{7: ['C', 'C'], 14: ['D', 'C'], 5: ['D', 'C']}",0.31000000000000005,0.37000000000000005,0.49000000000000005,None,13.5,10.5,6.5,None,1,2,2,None
14,WSLS,7,"{7: 'C', 14: 'D', 5: 'D'}","{7: 0.35000000000000003, 14: 0.39000000000000007, 5: 0.51}",30.5,['D'],1,2,"{7: ['C', 'D'], 14: ['D', 'D'], 5: ['D', 'D']}",0.35000000000000003,0.39000000000000007,0.51,None,11.5,11.5,7.5,None,1,2,2,None
15,WSLS,7,"{7: 'D', 14: 'C', 5: 'C'}","{7: 0.37000000000000005, 14: 0.3600000000000001, 5: 0.55}",30.5,['C'],1,2,"{7: ['D', 'D'], 14: ['C', 'C'], 5: ['C', 'D']}",0.37000000000000005,0.3600000000000001,0.55,None,12.5,13.0,5.5,None,2,1,1,None
16,WSLS,7,"{7: 'C', 14: 'C', 5: 'D'}","{7: 0.41000000000000003, 14: 0.33000000000000007, 5: 0.5700000000000001}",31.0,['C'],2,1,"{7: ['C', 'D'], 14: ['C', 'C'], 5: ['D', 'D']}",0.41000000000000003,0.33000000000000007,0.5700000000000001,None,10.5,14.5,6.5,None,1,1,2,None
17,WSLS,7,"{7: 'D', 14: 'C', 5: 'C'}","{7: 0.43000000000000005, 14: 0.37000000000000005, 5: 0.6100000000000001}",31.5,['C'],2,1,"{7: ['D', 'D'], 14: ['C', 'D'], 5: ['C', 'D']}",0.43000000000000005,0.37000000000000005,0.6100000000000001,None,11.5,12.5,4.5,None,2,1,1,None
18,WSLS,7,"{7: 'C', 14: 'D', 5: 'D'}","{7: 0.47000000000000003, 14: 0.33000000000000007, 5: 0.6300000000000001}",28.5,['D'],2,1,"{7: ['C', 'D'], 14: ['D', 'C'], 5: ['D', 'D']}",0.47000000000000003,0.33000000000000007,0.6300000000000001,None,9.5,14.5,5.5,None,1,2,2,None
19,WSLS,7,"{7: 'D', 14: 'D', 5: 'C'}","{7: 0.43000000000000005, 14: 0.3500000000000001, 5: 0.6700000000000002}",29.5,['D'],1,2,"{7: ['D', 'C'], 14: ['D', 'D'], 5: ['C', 'D']}",0.43000000000000005,0.3500000000000001,0.6700000000000002,None,11.5,15.5,3.5,None,2,2,1,None
20,WSLS,7,"{7: 'D', 14: 'C', 5: 'D'}","{7: 0.39000000000000007, 14: 0.32000000000000006, 5: 0.6900000000000002}",30.5,['D'],1,2,"{7: ['D', 'C'], 14: ['C', 'C'], 5: ['D', 'D']}",0.39000000000000007,0.32000000000000006,0.6900000000000002,None,13.5,17.0,4.5,None,2,1,2,None
21,WSLS,7,"{7: 'D', 14: 'C', 5: 'C'}","{7: 0.3500000000000001, 14: 0.36000000000000004, 5: 0.7300000000000002}",35.0,['C'],1,2,"{7: ['D', 'C'], 14: ['C', 'D'], 5: ['C', 'D']}",0.3500000000000001,0.36000000000000004,0.7300000000000002,None,15.5,15.0,2.5,None,2,1,1,None
