stepcount_41,strategy_41,strat code_41,move_41,probabilities_41,utility_41,common_move_41,number_coop_41,number_defect_41,outcomes_41,p1_41,p2_41,p3_41,p4_41,u1_41,u2_41,u3_41,u4_41,m1_41,m2_41,m3_41,m4_41
True,WSLS,7,"{42: 'C', 49: 'C', 33: 'C'}","{42: 0.54, 49: 0.47, 33: 0.54}",0,['C'],3,0,"{42: ['C', 'D'], 49: ['C', 'C'], 33: ['C', 'D']}",0.54,0.47,0.54,None,-2,1.5,-2,None,1,1,1,None
2,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.5, 49: 0.43999999999999995, 33: 0.5}",-2.5,['D'],3,0,"{42: ['D', 'C'], 49: ['C', 'C'], 33: ['D', 'C']}",0.5,0.43999999999999995,0.5,None,0,3.0,0,None,2,1,2,None
3,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.52, 49: 0.4099999999999999, 33: 0.46}",3.0,['D'],1,2,"{42: ['D', 'D'], 49: ['C', 'C'], 33: ['D', 'C']}",0.52,0.4099999999999999,0.46,None,1,4.5,2,None,2,1,2,None
4,WSLS,7,"{42: 'C', 49: 'C', 33: 'D'}","{42: 0.56, 49: 0.3799999999999999, 33: 0.48000000000000004}",7.5,['C'],1,2,"{42: ['C', 'D'], 49: ['C', 'C'], 33: ['D', 'D']}",0.56,0.3799999999999999,0.48000000000000004,None,-1,6.0,3,None,1,1,2,None
5,WSLS,7,"{42: 'D', 49: 'C', 33: 'C'}","{42: 0.5800000000000001, 49: 0.34999999999999987, 33: 0.52}",8.0,['C'],2,1,"{42: ['D', 'D'], 49: ['C', 'C'], 33: ['C', 'D']}",0.5800000000000001,0.34999999999999987,0.52,None,0,7.5,1,None,2,1,1,None
6,WSLS,7,"{42: 'C', 49: 'C', 33: 'D'}","{42: 0.6200000000000001, 49: 0.31999999999999984, 33: 0.48000000000000004}",8.5,['C'],2,1,"{42: ['C', 'D'], 49: ['C', 'C'], 33: ['D', 'C']}",0.6200000000000001,0.31999999999999984,0.48000000000000004,None,-2,9.0,3,None,1,1,2,None
7,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.6400000000000001, 49: 0.2899999999999998, 33: 0.44000000000000006}",10.0,['D'],2,1,"{42: ['D', 'D'], 49: ['C', 'C'], 33: ['D', 'C']}",0.6400000000000001,0.2899999999999998,0.44000000000000006,None,-1,10.5,5,None,2,1,2,None
8,WSLS,7,"{42: 'C', 49: 'C', 33: 'D'}","{42: 0.6800000000000002, 49: 0.2599999999999998, 33: 0.4000000000000001}",14.5,['C'],1,2,"{42: ['C', 'D'], 49: ['C', 'C'], 33: ['D', 'C']}",0.6800000000000002,0.2599999999999998,0.4000000000000001,None,-3,12.0,7,None,1,1,2,None
9,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.6400000000000001, 49: 0.2299999999999998, 33: 0.3600000000000001}",16.0,['D'],2,1,"{42: ['D', 'C'], 49: ['C', 'C'], 33: ['D', 'C']}",0.6400000000000001,0.2299999999999998,0.3600000000000001,None,-1,13.5,9,None,2,1,2,None
10,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.6000000000000001, 49: 0.1999999999999998, 33: 0.3800000000000001}",21.5,['D'],1,2,"{42: ['D', 'C'], 49: ['C', 'C'], 33: ['D', 'D']}",0.6000000000000001,0.1999999999999998,0.3800000000000001,None,1,15.0,10,None,2,1,2,None
11,WSLS,7,"{42: 'D', 49: 'C', 33: 'C'}","{42: 0.56, 49: 0.1699999999999998, 33: 0.4200000000000001}",26.0,['C'],1,2,"{42: ['D', 'C'], 49: ['C', 'C'], 33: ['C', 'D']}",0.56,0.1699999999999998,0.4200000000000001,None,3,16.5,8,None,2,1,1,None
12,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.52, 49: 0.1399999999999998, 33: 0.3800000000000001}",27.5,['D'],2,1,"{42: ['D', 'C'], 49: ['C', 'C'], 33: ['D', 'C']}",0.52,0.1399999999999998,0.3800000000000001,None,5,18.0,10,None,2,1,2,None
13,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.54, 49: 0.10999999999999979, 33: 0.40000000000000013}",33.0,['D'],1,2,"{42: ['D', 'D'], 49: ['C', 'C'], 33: ['D', 'D']}",0.54,0.10999999999999979,0.40000000000000013,None,6,19.5,11,None,2,1,2,None
14,WSLS,7,"{42: 'C', 49: 'C', 33: 'C'}","{42: 0.5800000000000001, 49: 0.0799999999999998, 33: 0.4400000000000001}",36.5,['C'],1,2,"{42: ['C', 'D'], 49: ['C', 'C'], 33: ['C', 'D']}",0.5800000000000001,0.0799999999999998,0.4400000000000001,None,4,21.0,9,None,1,1,1,None
15,WSLS,7,"{42: 'D', 49: 'C', 33: 'D'}","{42: 0.6000000000000001, 49: 0.049999999999999795, 33: 0.40000000000000013}",34.0,['D'],3,0,"{42: ['D', 'D'], 49: ['C', 'C'], 33: ['D', 'C']}",0.6000000000000001,0.049999999999999795,0.40000000000000013,None,5,22.5,11,None,2,1,2,None
16,WSLS,7,"{42: 'C', 49: 'C', 33: 'D'}","{42: 0.6400000000000001, 49: 0.019999999999999796, 33: 0.36000000000000015}",38.5,['C'],1,2,"{42: ['C', 'D'], 49: ['C', 'C'], 33: ['D', 'C']}",0.6400000000000001,0.019999999999999796,0.36000000000000015,None,3,24.0,13,None,1,1,2,None
