,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,Model Params
0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,"(47, 0.015, 0.05)"
1,106,34,34,13,17.5,28,17.5,28,-3.5,14,0,0,"(47, 0.015, 0.05)"
2,98,42,31,13,56.0,21,35.0,28,14.0,14,0,0,"(47, 0.015, 0.05)"
3,93,47,33,13,94.5,21,52.5,28,10.5,7,0,0,"(47, 0.015, 0.05)"
4,99,41,30,13,133.0,21,70.0,28,28.0,14,0,0,"(47, 0.015, 0.05)"
5,86,54,32,13,171.5,21,108.5,21,24.5,7,0,0,"(47, 0.015, 0.05)"
6,90,50,28,13,210.0,21,147.0,21,42.0,14,0,0,"(47, 0.015, 0.05)"
7,85,55,30,13,248.5,21,185.5,21,38.5,7,0,0,"(47, 0.015, 0.05)"
8,91,49,28,13,287.0,21,224.0,21,56.0,14,0,0,"(47, 0.015, 0.05)"
9,85,55,30,13,325.5,21,262.5,21,52.5,7,0,0,"(47, 0.015, 0.05)"
10,91,49,28,13,364.0,21,301.0,21,70.0,14,0,0,"(47, 0.015, 0.05)"
11,85,55,30,13,402.5,21,339.5,21,66.5,7,0,0,"(47, 0.015, 0.05)"
12,90,50,27,13,441.0,21,378.0,21,84.0,14,0,0,"(47, 0.015, 0.05)"
13,84,56,29,13,479.5,21,416.5,21,80.5,7,0,0,"(47, 0.015, 0.05)"
14,90,50,27,13,518.0,21,455.0,21,98.0,14,0,0,"(47, 0.015, 0.05)"
15,84,56,29,13,556.5,21,493.5,21,94.5,7,0,0,"(47, 0.015, 0.05)"
16,91,49,28,13,595.0,21,532.0,21,112.0,14,0,0,"(47, 0.015, 0.05)"
17,85,55,30,13,633.5,21,570.5,21,108.5,7,0,0,"(47, 0.015, 0.05)"
18,91,49,28,13,672.0,21,609.0,21,126.0,14,0,0,"(47, 0.015, 0.05)"
19,85,55,30,13,710.5,21,647.5,21,122.5,7,0,0,"(47, 0.015, 0.05)"
20,91,49,28,13,749.0,21,686.0,21,140.0,14,0,0,"(47, 0.015, 0.05)"
21,85,55,30,13,787.5,21,724.5,21,136.5,7,0,0,"(47, 0.015, 0.05)"
22,91,49,28,13,826.0,21,763.0,21,154.0,14,0,0,"(47, 0.015, 0.05)"
23,85,55,30,13,864.5,21,801.5,21,150.5,7,0,0,"(47, 0.015, 0.05)"
24,91,49,28,13,903.0,21,840.0,21,168.0,14,0,0,"(47, 0.015, 0.05)"
25,85,55,30,13,941.5,21,878.5,21,164.5,7,0,0,"(47, 0.015, 0.05)"
26,91,49,28,13,980.0,21,917.0,21,182.0,14,0,0,"(47, 0.015, 0.05)"
27,85,55,30,13,1018.5,21,955.5,21,178.5,7,0,0,"(47, 0.015, 0.05)"
28,91,49,28,13,1057.0,21,994.0,21,196.0,14,0,0,"(47, 0.015, 0.05)"
29,85,55,30,13,1095.5,21,1032.5,21,192.5,7,0,0,"(47, 0.015, 0.05)"
30,91,49,28,13,1134.0,21,1071.0,21,210.0,14,0,0,"(47, 0.015, 0.05)"
31,85,55,30,13,1172.5,21,1109.5,21,206.5,7,0,0,"(47, 0.015, 0.05)"
32,91,49,28,13,1211.0,21,1148.0,21,224.0,14,0,0,"(47, 0.015, 0.05)"
33,85,55,30,13,1249.5,21,1186.5,21,220.5,7,0,0,"(47, 0.015, 0.05)"
34,91,49,28,13,1288.0,21,1225.0,21,238.0,14,0,0,"(47, 0.015, 0.05)"
35,85,55,30,13,1326.5,21,1263.5,21,234.5,7,0,0,"(47, 0.015, 0.05)"
36,91,49,28,13,1365.0,21,1302.0,21,252.0,14,0,0,"(47, 0.015, 0.05)"
37,85,55,30,13,1403.5,21,1340.5,21,248.5,7,0,0,"(47, 0.015, 0.05)"
38,91,49,28,13,1442.0,21,1379.0,21,266.0,14,0,0,"(47, 0.015, 0.05)"
39,84,56,29,13,1480.5,21,1417.5,21,262.5,7,0,0,"(47, 0.015, 0.05)"
40,91,49,27,13,1519.0,21,1456.0,21,280.0,14,0,0,"(47, 0.015, 0.05)"
41,84,56,30,13,1557.5,21,1494.5,21,276.5,7,0,0,"(47, 0.015, 0.05)"
42,89,51,26,13,1596.0,21,1533.0,21,294.0,14,0,0,"(47, 0.015, 0.05)"
43,83,57,29,13,1634.5,21,1571.5,21,290.5,7,0,0,"(47, 0.015, 0.05)"
44,91,49,27,13,1673.0,21,1610.0,21,308.0,14,0,0,"(47, 0.015, 0.05)"
45,83,57,29,13,1711.5,21,1648.5,21,304.5,7,0,0,"(47, 0.015, 0.05)"
46,89,51,27,13,1750.0,21,1687.0,21,322.0,14,0,0,"(47, 0.015, 0.05)"
47,84,56,29,13,1788.5,21,1725.5,21,318.5,7,0,0,"(47, 0.015, 0.05)"
48,89,51,27,13,1827.0,21,1764.0,21,336.0,14,0,0,"(47, 0.015, 0.05)"
49,84,56,29,13,1865.5,21,1802.5,21,332.5,7,0,0,"(47, 0.015, 0.05)"
50,89,51,27,13,1904.0,21,1841.0,21,350.0,14,0,0,"(47, 0.015, 0.05)"
51,84,56,29,13,1942.5,21,1879.5,21,346.5,7,0,0,"(47, 0.015, 0.05)"
