stepcount_1,strategy_1,strat code_1,move_1,probabilities_1,utility_1,common_move_1,number_coop_1,number_defect_1,outcomes_1,p1_1,p2_1,p3_1,p4_1,u1_1,u2_1,u3_1,u4_1,m1_1,m2_1,m3_1,m4_1,uv_1,wm_1,nc_1,mutC_1
True,VPP,6,{2: 'C'},{2: 0.485},0,['C'],1,0,"{2: ['C', 'C']}",0.485,None,None,None,1.5,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
2,VPP,6,{2: 'C'},{2: 0.47},1.5,['C'],1,0,"{2: ['C', 'C']}",0.47,None,None,None,3.0,None,None,None,1,None,None,None,0.01,{},1,1
3,VPP,6,{2: 'D'},{2: 0.44999999999999996},3.0,['D'],0,1,"{2: ['D', 'C']}",0.44999999999999996,None,None,None,5.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
4,VPP,6,{2: 'D'},{2: 0.45999999999999996},5.0,['D'],0,1,"{2: ['D', 'D']}",0.45999999999999996,None,None,None,6.0,None,None,None,2,None,None,None,0.01,{},0,0
5,VPP,6,{2: 'D'},{2: 0.43999999999999995},6.0,['D'],0,1,"{2: ['D', 'C']}",0.43999999999999995,None,None,None,8.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
6,VPP,6,{2: 'C'},{2: 0.45999999999999996},8.0,['C'],1,0,"{2: ['C', 'D']}",0.45999999999999996,None,None,None,6.0,None,None,None,1,None,None,None,0.01,{},1,0
7,VPP,6,{2: 'D'},{2: 0.47},6.0,['D'],0,1,"{2: ['D', 'D']}",0.47,None,None,None,7.0,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
8,VPP,6,{2: 'D'},{2: 0.44999999999999996},7.0,['D'],0,1,"{2: ['D', 'C']}",0.44999999999999996,None,None,None,9.0,None,None,None,2,None,None,None,0.01,{},0,0
9,VPP,6,{2: 'D'},{2: 0.42999999999999994},9.0,['D'],0,1,"{2: ['D', 'C']}",0.42999999999999994,None,None,None,11.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
10,VPP,6,{2: 'C'},{2: 0.44999999999999996},11.0,['C'],1,0,"{2: ['C', 'D']}",0.44999999999999996,None,None,None,9.0,None,None,None,1,None,None,None,0.01,{},1,0
11,VPP,6,{2: 'C'},{2: 0.43499999999999994},9.0,['C'],1,0,"{2: ['C', 'C']}",0.43499999999999994,None,None,None,10.5,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
12,VPP,6,{2: 'C'},{2: 0.45499999999999996},10.5,['C'],1,0,"{2: ['C', 'D']}",0.45499999999999996,None,None,None,8.5,None,None,None,1,None,None,None,0.01,{},1,0
13,VPP,6,{2: 'D'},{2: 0.46499999999999997},8.5,['D'],0,1,"{2: ['D', 'D']}",0.46499999999999997,None,None,None,9.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
14,VPP,6,{2: 'C'},{2: 0.485},9.5,['C'],1,0,"{2: ['C', 'D']}",0.485,None,None,None,7.5,None,None,None,1,None,None,None,0.01,{},1,0
15,VPP,6,{2: 'D'},{2: 0.46499999999999997},7.5,['D'],0,1,"{2: ['D', 'C']}",0.46499999999999997,None,None,None,9.5,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
16,VPP,6,{2: 'C'},{2: 0.485},9.5,['C'],1,0,"{2: ['C', 'D']}",0.485,None,None,None,7.5,None,None,None,1,None,None,None,0.01,{},1,0
17,VPP,6,{2: 'C'},{2: 0.505},7.5,['C'],1,0,"{2: ['C', 'D']}",0.505,None,None,None,5.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
18,VPP,6,{2: 'D'},{2: 0.515},5.5,['D'],0,1,"{2: ['D', 'D']}",0.515,None,None,None,6.5,None,None,None,2,None,None,None,0.01,{},0,0
19,VPP,6,{2: 'D'},{2: 0.525},6.5,['D'],0,1,"{2: ['D', 'D']}",0.525,None,None,None,7.5,None,None,None,2,None,None,None,0.01,{2: ['D']},0,0
20,VPP,6,{2: 'C'},{2: 0.51},7.5,['C'],1,0,"{2: ['C', 'C']}",0.51,None,None,None,9.0,None,None,None,1,None,None,None,0.01,{},1,1
21,VPP,6,{2: 'C'},{2: 0.495},9.0,['C'],1,0,"{2: ['C', 'C']}",0.495,None,None,None,10.5,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
22,VPP,6,{2: 'C'},{2: 0.515},10.5,['C'],1,0,"{2: ['C', 'D']}",0.515,None,None,None,8.5,None,None,None,1,None,None,None,0.01,{},1,0
23,VPP,6,{2: 'C'},{2: 0.535},8.5,['C'],1,0,"{2: ['C', 'D']}",0.535,None,None,None,6.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
24,VPP,6,{2: 'D'},{2: 0.545},6.5,['D'],0,1,"{2: ['D', 'D']}",0.545,None,None,None,7.5,None,None,None,2,None,None,None,0.01,{},0,0
25,VPP,6,{2: 'C'},{2: 0.5650000000000001},7.5,['C'],1,0,"{2: ['C', 'D']}",0.5650000000000001,None,None,None,5.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
26,VPP,6,{2: 'D'},{2: 0.5750000000000001},5.5,['D'],0,1,"{2: ['D', 'D']}",0.5750000000000001,None,None,None,6.5,None,None,None,2,None,None,None,0.01,{},0,0
27,VPP,6,{2: 'C'},{2: 0.5950000000000001},6.5,['C'],1,0,"{2: ['C', 'D']}",0.5950000000000001,None,None,None,4.5,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
28,VPP,6,{2: 'C'},{2: 0.5800000000000001},4.5,['C'],1,0,"{2: ['C', 'C']}",0.5800000000000001,None,None,None,6.0,None,None,None,1,None,None,None,0.01,{},1,1
29,VPP,6,{2: 'C'},{2: 0.6000000000000001},6.0,['C'],1,0,"{2: ['C', 'D']}",0.6000000000000001,None,None,None,4.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
30,VPP,6,{2: 'C'},{2: 0.5850000000000001},4.0,['C'],1,0,"{2: ['C', 'C']}",0.5850000000000001,None,None,None,5.5,None,None,None,1,None,None,None,0.01,{},1,1
31,VPP,6,{2: 'C'},{2: 0.5700000000000001},5.5,['C'],1,0,"{2: ['C', 'C']}",0.5700000000000001,None,None,None,7.0,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
32,VPP,6,{2: 'D'},{2: 0.5800000000000001},7.0,['D'],0,1,"{2: ['D', 'D']}",0.5800000000000001,None,None,None,8.0,None,None,None,2,None,None,None,0.01,{},0,0
33,VPP,6,{2: 'D'},{2: 0.56},8.0,['D'],0,1,"{2: ['D', 'C']}",0.56,None,None,None,10.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
34,VPP,6,{2: 'C'},{2: 0.5800000000000001},10.0,['C'],1,0,"{2: ['C', 'D']}",0.5800000000000001,None,None,None,8.0,None,None,None,1,None,None,None,0.01,{},1,0
35,VPP,6,{2: 'D'},{2: 0.56},8.0,['D'],0,1,"{2: ['D', 'C']}",0.56,None,None,None,10.0,None,None,None,2,None,None,None,0.01,{2: ['C']},0,0
36,VPP,6,{2: 'C'},{2: 0.5800000000000001},10.0,['C'],1,0,"{2: ['C', 'D']}",0.5800000000000001,None,None,None,8.0,None,None,None,1,None,None,None,0.01,{},1,0
37,VPP,6,{2: 'C'},{2: 0.6000000000000001},8.0,['C'],1,0,"{2: ['C', 'D']}",0.6000000000000001,None,None,None,6.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
38,VPP,6,{2: 'D'},{2: 0.5800000000000001},6.0,['D'],0,1,"{2: ['D', 'C']}",0.5800000000000001,None,None,None,8.0,None,None,None,2,None,None,None,0.01,{},0,0
39,VPP,6,{2: 'C'},{2: 0.6000000000000001},8.0,['C'],1,0,"{2: ['C', 'D']}",0.6000000000000001,None,None,None,6.0,None,None,None,1,None,None,None,0.01,{2: ['D']},1,0
40,VPP,6,{2: 'D'},{2: 0.5800000000000001},6.0,['D'],0,1,"{2: ['D', 'C']}",0.5800000000000001,None,None,None,8.0,None,None,None,2,None,None,None,0.01,{},0,0
41,VPP,6,{2: 'C'},{2: 0.5650000000000001},8.0,['C'],1,0,"{2: ['C', 'C']}",0.5650000000000001,None,None,None,9.5,None,None,None,1,None,None,None,0.01,{2: ['C']},1,1
