stepcount_14,strategy_14,strat code_14,move_14,probabilities_14,utility_14,common_move_14,number_coop_14,number_defect_14,outcomes_14,u1_14,u2_14,u3_14,u4_14,m1_14,m2_14,m3_14,m4_14,uv_14,ps_14,nc_14,mutC_14,simP_14,avp1_14,avp2_14,avp3_14,avp4_14,globav_14,epsilon_14,alpha_14,mood_14
True,MOODYLEARN,9,"{15: 'D', 19: 'D', 13: 'D', 9: 'D'}","{15: 0.275, 19: 0.275, 13: 0.275, 9: 0.275}",0,['D'],0,8,"{15: ['D', 'D'], 19: ['D', 'D'], 13: ['D', 'D'], 9: ['D', 'D']}",1,1,1,1,2,2,2,2,0.075,"{15: [0, 15, 'NEUTRAL'], 19: [0, 19, 'NEUTRAL'], 13: ['D', 13, 'NEUTRAL'], 9: ['D', 9, 'NEUTRAL']}",0,0,4,0.5,0.5,0.5,0.5,0.5,0.5,0.1,53.50375
2,MOODYLEARN,9,"{15: 'D', 19: 'D', 13: 'D', 9: 'D'}","{15: 0.41000000000000003, 19: 0.41000000000000003, 13: 0.41000000000000003, 9: 0.41000000000000003}",4,['D'],3,1,"{15: ['D', 'D'], 19: ['D', 'D'], 13: ['D', 'D'], 9: ['D', 'D']}",2,2,2,2,2,2,2,2,0.135,"{15: ['D', 15, 'NEUTRAL'], 19: ['D', 19, 'NEUTRAL'], 13: ['D', 13, 'NEUTRAL'], 9: ['D', 9, 'NEUTRAL']}",3,0,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.1,57.65694167708333
3,MOODYLEARN,9,"{15: 'C', 19: 'C', 13: 'D', 9: 'C'}","{15: 0.41000000000000003, 19: 0.0050000000000000044, 13: 0.545, 9: 0.0050000000000000044}",8,['C'],2,2,"{15: ['C', 'D'], 19: ['C', 'C'], 13: ['D', 'D'], 9: ['C', 'C']}",2,5,3,5,1,1,2,1,0.135,"{15: ['D', 15, 'NEUTRAL'], 19: ['C', 19, 'NEUTRAL'], 13: ['D', 13, 'NEUTRAL'], 9: ['C', 9, 'NEUTRAL']}",2,2,12,0.5,1.25,0.75,1.25,0.9375,0.5,0.1,64.83378275538473
4,MOODYLEARN,9,"{15: 'D', 19: 'C', 13: 'C', 9: 'D'}","{15: 0.545, 19: 0.0050000000000000044, 13: 0.545, 9: 0.001}",15,Eq,3,1,"{15: ['D', 'D'], 19: ['C', 'D'], 13: ['C', 'D'], 9: ['D', 'C']}",3,5,3,10,2,1,1,2,0.135,"{15: ['D', 15, 'NEUTRAL'], 19: ['D', 19, 'NEUTRAL'], 13: ['D', 13, 'HIGH'], 9: ['C', 9, 'HIGH']}",3,0,16,0.6,1,0.6,2,1.05,0.5,0.1,70.34641039074583
5,MOODYLEARN,9,"{15: 'C', 19: 'D', 13: 'C', 9: 'C'}","{15: 0.14, 19: 0.001, 13: 0.14, 9: 0.001}",21,['C'],3,1,"{15: ['C', 'C'], 19: ['D', 'C'], 13: ['C', 'C'], 9: ['C', 'C']}",6,10,6,13,1,2,1,1,0.135,"{15: ['C', 15, 'HIGH'], 19: ['C', 19, 'HIGH'], 13: ['C', 13, 'HIGH'], 9: ['C', 9, 'HIGH']}",3,3,20,1,1.6666666666666667,1,2.1666666666666665,1.4583333333333333,0.09999999999999998,0.1,84.05557277076153
6,MOODYLEARN,9,"{15: 'D', 19: 'C', 13: 'C', 9: 'C'}","{15: 0.001, 19: 0.001, 13: 0.14, 9: 0.001}",35,['C'],4,0,"{15: ['D', 'C'], 19: ['C', 'C'], 13: ['C', 'D'], 9: ['C', 'C']}",11,13,6,16,2,1,1,1,0.135,"{15: ['C', 15, 'HIGH'], 19: ['C', 19, 'HIGH'], 13: ['D', 13, 'HIGH'], 9: ['C', 9, 'HIGH']}",4,2,24,1.5714285714285714,1.8571428571428572,0.8571428571428571,2.2857142857142856,1.6428571428571428,0.09999999999999998,0.1,94.97865769071943
7,MOODYLEARN,9,"{15: 'C', 19: 'C', 13: 'C', 9: 'C'}","{15: 0.001, 19: 0.001, 13: 0.001, 9: 0.001}",46,['C'],3,1,"{15: ['C', 'C'], 19: ['C', 'C'], 13: ['C', 'C'], 9: ['C', 'C']}",14,16,9,19,1,1,1,1,0.135,"{15: ['C', 15, 'HIGH'], 19: ['C', 19, 'HIGH'], 13: ['C', 13, 'HIGH'], 9: ['C', 9, 'HIGH']}",3,4,28,1.75,2,1.125,2.375,1.8125,0.0001,0.1,99.999
8,MOODYLEARN,9,"{15: 'D', 19: 'C', 13: 'C', 9: 'C'}","{15: 0.001, 19: 0.001, 13: 0.001, 9: 0.001}",58,['C'],3,1,"{15: ['D', 'C'], 19: ['C', 'C'], 13: ['C', 'D'], 9: ['C', 'C']}",19,19,9,22,2,1,1,1,0.135,"{15: ['C', 15, 'HIGH'], 19: ['C', 19, 'HIGH'], 13: ['D', 13, 'HIGH'], 9: ['C', 9, 'HIGH']}",3,2,32,2.111111111111111,2.111111111111111,1,2.4444444444444446,1.9166666666666667,0.0001,0.1,99.999
9,MOODYLEARN,9,"{15: 'D', 19: 'C', 13: 'C', 9: 'C'}","{15: 0.001, 19: 0.001, 13: 0.001, 9: 0.001}",69,['C'],3,1,"{15: ['D', 'C'], 19: ['C', 'C'], 13: ['C', 'D'], 9: ['C', 'C']}",24,22,9,25,2,1,1,1,0.135,"{15: ['C', 15, 'HIGH'], 19: ['C', 19, 'HIGH'], 13: ['D', 13, 'HIGH'], 9: ['C', 9, 'HIGH']}",3,2,36,2.4,2.2,0.9,2.5,2.0,0.0001,0.1,99.999
10,MOODYLEARN,9,"{15: 'D', 19: 'C', 13: 'C', 9: 'C'}","{15: 0.001, 19: 0.001, 13: 0.001, 9: 0.001}",80,['C'],3,1,"{15: ['D', 'C'], 19: ['C', 'C'], 13: ['C', 'D'], 9: ['C', 'C']}",29,25,9,28,2,1,1,1,0.135,"{15: ['C', 15, 'HIGH'], 19: ['C', 19, 'HIGH'], 13: ['D', 13, 'HIGH'], 9: ['C', 9, 'HIGH']}",3,2,40,2.6363636363636362,2.272727272727273,0.8181818181818182,2.5454545454545454,2.0681818181818183,0.0001,0.1,99.999
