stepcount_21,strategy_21,strat code_21,move_21,probabilities_21,utility_21,common_move_21,number_coop_21,number_defect_21,outcomes_21,p1_21,p2_21,p3_21,p4_21,u1_21,u2_21,u3_21,u4_21,m1_21,m2_21,m3_21,m4_21
True,VPP,6,"{22: 'D', 29: 'C', 20: 'D', 13: 'D'}","{22: 0.46, 29: 0.54, 20: 0.46, 13: 0.46}",0,['D'],1,3,"{22: ['D', 'C'], 29: ['C', 'D'], 20: ['D', 'C'], 13: ['D', 'C']}",0.46,0.54,0.46,0.46,2,-2,2,2,2,1,2,2
2,VPP,6,"{22: 'C', 29: 'D', 20: 'D', 13: 'C'}","{22: 0.5, 29: 0.56, 20: 0.48000000000000004, 13: 0.5}",4,Eq,2,2,"{22: ['C', 'D'], 29: ['D', 'D'], 20: ['D', 'D'], 13: ['C', 'D']}",0.5,0.56,0.48000000000000004,0.5,0,-1,3,0,1,2,2,1
3,VPP,6,"{22: 'D', 29: 'C', 20: 'C', 13: 'D'}","{22: 0.46, 29: 0.6000000000000001, 20: 0.45000000000000007, 13: 0.52}",2,Eq,2,2,"{22: ['D', 'C'], 29: ['C', 'D'], 20: ['C', 'C'], 13: ['D', 'D']}",0.46,0.6000000000000001,0.45000000000000007,0.52,2,-3,4.5,1,2,1,1,2
4,VPP,6,"{22: 'D', 29: 'C', 20: 'D', 13: 'D'}","{22: 0.42000000000000004, 29: 0.5700000000000001, 20: 0.4100000000000001, 13: 0.48000000000000004}",4.5,['D'],1,3,"{22: ['D', 'C'], 29: ['C', 'C'], 20: ['D', 'C'], 13: ['D', 'C']}",0.42000000000000004,0.5700000000000001,0.4100000000000001,0.48000000000000004,4,-1.5,6.5,3,2,1,2,2
5,VPP,6,"{22: 'C', 29: 'D', 20: 'C', 13: 'D'}","{22: 0.39, 29: 0.53, 20: 0.45000000000000007, 13: 0.5}",12.0,Eq,2,2,"{22: ['C', 'C'], 29: ['D', 'C'], 20: ['C', 'D'], 13: ['D', 'D']}",0.39,0.53,0.45000000000000007,0.5,5.5,0.5,4.5,4,1,2,1,2
6,VPP,6,"{22: 'D', 29: 'D', 20: 'D', 13: 'D'}","{22: 0.41000000000000003, 29: 0.49000000000000005, 20: 0.4700000000000001, 13: 0.46}",14.5,['D'],0,4,"{22: ['D', 'D'], 29: ['D', 'C'], 20: ['D', 'D'], 13: ['D', 'C']}",0.41000000000000003,0.49000000000000005,0.4700000000000001,0.46,6.5,2.5,5.5,6,2,2,2,2
7,VPP,6,"{22: 'D', 29: 'D', 20: 'C', 13: 'C'}","{22: 0.37000000000000005, 29: 0.45000000000000007, 20: 0.44000000000000006, 13: 0.5}",20.5,Eq,2,2,"{22: ['D', 'C'], 29: ['D', 'C'], 20: ['C', 'C'], 13: ['C', 'D']}",0.37000000000000005,0.45000000000000007,0.44000000000000006,0.5,8.5,4.5,7.0,4,2,2,1,1
8,VPP,6,"{22: 'C', 29: 'C', 20: 'C', 13: 'C'}","{22: 0.41000000000000003, 29: 0.49000000000000005, 20: 0.41000000000000003, 13: 0.54}",24.0,['C'],4,0,"{22: ['C', 'D'], 29: ['C', 'D'], 20: ['C', 'C'], 13: ['C', 'D']}",0.41000000000000003,0.49000000000000005,0.41000000000000003,0.54,6.5,2.5,8.5,2,1,1,1,1
9,VPP,6,"{22: 'C', 29: 'D', 20: 'C', 13: 'D'}","{22: 0.38, 29: 0.51, 20: 0.38, 13: 0.56}",19.5,Eq,2,2,"{22: ['C', 'C'], 29: ['D', 'D'], 20: ['C', 'C'], 13: ['D', 'D']}",0.38,0.51,0.38,0.56,8.0,3.5,10.0,3,1,2,1,2
10,VPP,6,"{22: 'C', 29: 'D', 20: 'C', 13: 'D'}","{22: 0.35, 29: 0.53, 20: 0.35, 13: 0.52}",24.5,Eq,2,2,"{22: ['C', 'C'], 29: ['D', 'D'], 20: ['C', 'C'], 13: ['D', 'C']}",0.35,0.53,0.35,0.52,9.5,4.5,11.5,5,1,2,1,2
