stepcount_2,strategy_2,strat code_2,move_2,probabilities_2,utility_2,common_move_2,number_coop_2,number_defect_2,outcomes_2,p1_2,p2_2,p3_2,p4_2,u1_2,u2_2,u3_2,u4_2,m1_2,m2_2,m3_2,m4_2,uv_2,wm_2,nc_2,mutC_2
140,RANDOM,0,{1: 'D'},{1: 0},195.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,197.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
141,RANDOM,0,{1: 'C'},{1: 0},197.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,199.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
142,RANDOM,0,{1: 'C'},{1: 0},199.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,200.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
143,RANDOM,0,{1: 'D'},{1: 0},200.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,202.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
144,RANDOM,0,{1: 'D'},{1: 0},202.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,204.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
145,RANDOM,0,{1: 'D'},{1: 0},204.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,206.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
146,RANDOM,0,{1: 'C'},{1: 0},206.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,208.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
147,RANDOM,0,{1: 'C'},{1: 0},208.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,209.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
148,RANDOM,0,{1: 'C'},{1: 0},209.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,211.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
149,RANDOM,0,{1: 'C'},{1: 0},211.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,212.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
150,RANDOM,0,{1: 'D'},{1: 0},212.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,214.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
151,RANDOM,0,{1: 'C'},{1: 0},214.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,216.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
152,RANDOM,0,{1: 'C'},{1: 0},216.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,217.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
153,RANDOM,0,{1: 'C'},{1: 0},217.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,219.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
154,RANDOM,0,{1: 'D'},{1: 0},219.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,221.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
155,RANDOM,0,{1: 'C'},{1: 0},221.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,222.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
156,RANDOM,0,{1: 'D'},{1: 0},222.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,224.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
157,RANDOM,0,{1: 'C'},{1: 0},224.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,226.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
158,RANDOM,0,{1: 'D'},{1: 0},226.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,228.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
159,RANDOM,0,{1: 'D'},{1: 0},228.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,230.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
160,RANDOM,0,{1: 'D'},{1: 0},230.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,232.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
161,RANDOM,0,{1: 'C'},{1: 0},232.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,233.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
162,RANDOM,0,{1: 'C'},{1: 0},233.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,235.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
163,RANDOM,0,{1: 'C'},{1: 0},235.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,236.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
164,RANDOM,0,{1: 'C'},{1: 0},236.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,238.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
165,RANDOM,0,{1: 'D'},{1: 0},238.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,240.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
166,RANDOM,0,{1: 'D'},{1: 0},240.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,242.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
167,RANDOM,0,{1: 'C'},{1: 0},242.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,243.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
168,RANDOM,0,{1: 'C'},{1: 0},243.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,245.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
169,RANDOM,0,{1: 'C'},{1: 0},245.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,246.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
170,RANDOM,0,{1: 'D'},{1: 0},246.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,248.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
171,RANDOM,0,{1: 'C'},{1: 0},248.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,250.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
172,RANDOM,0,{1: 'C'},{1: 0},250.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,251.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
173,RANDOM,0,{1: 'D'},{1: 0},251.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,253.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
174,RANDOM,0,{1: 'C'},{1: 0},253.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,255.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
175,RANDOM,0,{1: 'D'},{1: 0},255.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,257.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
176,RANDOM,0,{1: 'C'},{1: 0},257.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,258.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
177,RANDOM,0,{1: 'C'},{1: 0},258.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,260.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
178,RANDOM,0,{1: 'C'},{1: 0},260.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,261.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
179,RANDOM,0,{1: 'D'},{1: 0},261.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,263.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
180,RANDOM,0,{1: 'C'},{1: 0},263.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,265.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
181,RANDOM,0,{1: 'D'},{1: 0},265.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,267.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
182,RANDOM,0,{1: 'D'},{1: 0},267.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,269.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
183,RANDOM,0,{1: 'C'},{1: 0},269.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,270.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
184,RANDOM,0,{1: 'C'},{1: 0},270.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,272.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
185,RANDOM,0,{1: 'D'},{1: 0},272.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,274.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
186,RANDOM,0,{1: 'C'},{1: 0},274.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,275.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
187,RANDOM,0,{1: 'C'},{1: 0},275.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,277.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
188,RANDOM,0,{1: 'D'},{1: 0},277.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,279.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
189,RANDOM,0,{1: 'D'},{1: 0},279.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,281.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
190,RANDOM,0,{1: 'C'},{1: 0},281.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,282.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
191,RANDOM,0,{1: 'C'},{1: 0},282.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,284.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
192,RANDOM,0,{1: 'D'},{1: 0},284.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,286.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
193,RANDOM,0,{1: 'C'},{1: 0},286.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,287.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
194,RANDOM,0,{1: 'D'},{1: 0},287.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,289.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
195,RANDOM,0,{1: 'D'},{1: 0},289.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,291.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
196,RANDOM,0,{1: 'C'},{1: 0},291.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,293.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
197,RANDOM,0,{1: 'D'},{1: 0},293.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,295.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
198,RANDOM,0,{1: 'C'},{1: 0},295.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,296.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
199,RANDOM,0,{1: 'D'},{1: 0},296.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,298.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
200,RANDOM,0,{1: 'C'},{1: 0},298.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,300.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
201,RANDOM,0,{1: 'D'},{1: 0},300.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,302.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
202,RANDOM,0,{1: 'C'},{1: 0},302.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,303.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
203,RANDOM,0,{1: 'C'},{1: 0},303.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,305.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
204,RANDOM,0,{1: 'C'},{1: 0},305.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,306.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
205,RANDOM,0,{1: 'D'},{1: 0},306.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,308.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
206,RANDOM,0,{1: 'D'},{1: 0},308.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,310.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
207,RANDOM,0,{1: 'C'},{1: 0},310.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,312.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
208,RANDOM,0,{1: 'D'},{1: 0},312.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,314.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
209,RANDOM,0,{1: 'D'},{1: 0},314.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,316.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
210,RANDOM,0,{1: 'C'},{1: 0},316.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,317.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
211,RANDOM,0,{1: 'D'},{1: 0},317.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,319.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
212,RANDOM,0,{1: 'D'},{1: 0},319.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,321.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
213,RANDOM,0,{1: 'C'},{1: 0},321.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,323.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
214,RANDOM,0,{1: 'D'},{1: 0},323.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,325.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
215,RANDOM,0,{1: 'C'},{1: 0},325.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,326.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
216,RANDOM,0,{1: 'C'},{1: 0},326.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,328.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
217,RANDOM,0,{1: 'D'},{1: 0},328.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,330.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
218,RANDOM,0,{1: 'D'},{1: 0},330.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,332.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
219,RANDOM,0,{1: 'C'},{1: 0},332.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,333.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
220,RANDOM,0,{1: 'C'},{1: 0},333.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,335.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
221,RANDOM,0,{1: 'D'},{1: 0},335.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,337.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
222,RANDOM,0,{1: 'D'},{1: 0},337.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,339.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
223,RANDOM,0,{1: 'C'},{1: 0},339.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,340.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
224,RANDOM,0,{1: 'D'},{1: 0},340.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,342.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
225,RANDOM,0,{1: 'D'},{1: 0},342.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,344.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
226,RANDOM,0,{1: 'C'},{1: 0},344.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,346.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
227,RANDOM,0,{1: 'D'},{1: 0},346.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,348.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
228,RANDOM,0,{1: 'D'},{1: 0},348.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,350.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
229,RANDOM,0,{1: 'D'},{1: 0},350.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,352.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
230,RANDOM,0,{1: 'D'},{1: 0},352.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,354.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
231,RANDOM,0,{1: 'D'},{1: 0},354.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,356.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
232,RANDOM,0,{1: 'D'},{1: 0},356.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,358.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
233,RANDOM,0,{1: 'C'},{1: 0},358.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,359.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
234,RANDOM,0,{1: 'D'},{1: 0},359.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,361.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
235,RANDOM,0,{1: 'D'},{1: 0},361.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,363.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
236,RANDOM,0,{1: 'D'},{1: 0},363.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,365.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
237,RANDOM,0,{1: 'C'},{1: 0},365.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,367.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
238,RANDOM,0,{1: 'D'},{1: 0},367.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,369.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
239,RANDOM,0,{1: 'C'},{1: 0},369.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,370.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
240,RANDOM,0,{1: 'C'},{1: 0},370.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,372.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
241,RANDOM,0,{1: 'D'},{1: 0},372.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,374.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
242,RANDOM,0,{1: 'D'},{1: 0},374.0,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,376.0,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
243,RANDOM,0,{1: 'C'},{1: 0},376.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,377.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
244,RANDOM,0,{1: 'C'},{1: 0},377.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,379.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
245,RANDOM,0,{1: 'C'},{1: 0},379.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,380.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
246,RANDOM,0,{1: 'C'},{1: 0},380.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,382.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
247,RANDOM,0,{1: 'C'},{1: 0},382.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,383.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
248,RANDOM,0,{1: 'C'},{1: 0},383.5,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,385.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
249,RANDOM,0,{1: 'C'},{1: 0},385.0,['C'],1,0,"{1: ['C', 'C']}",0,None,None,None,386.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
250,RANDOM,0,{1: 'D'},{1: 0},386.5,['D'],0,1,"{1: ['D', 'C']}",0,None,None,None,388.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
stepcount_2,strategy_2,strat code_2,move_2,probabilities_2,utility_2,common_move_2,number_coop_2,number_defect_2,outcomes_2,p1_2,p2_2,p3_2,p4_2,u1_2,u2_2,u3_2,u4_2,m1_2,m2_2,m3_2,m4_2,uv_2,wm_2,nc_2,mutC_2
True,VPP,6,{1: 'D'},{1: 0.48},0,['D'],0,1,"{1: ['D', 'C']}",0.48,None,None,None,2,None,None,None,2,None,None,None,0.01,{1: ['C']},0,0
stepcount_2,strategy_2,strat code_2,move_2,probabilities_2,utility_2,common_move_2,number_coop_2,number_defect_2,outcomes_2,p1_2,p2_2,p3_2,p4_2,u1_2,u2_2,u3_2,u4_2,m1_2,m2_2,m3_2,m4_2,uv_2,wm_2,nc_2,mutC_2
True,VPP,6,{1: 'C'},{1: 0.485},0,['C'],1,0,"{1: ['C', 'C']}",0.485,None,None,None,1.5,None,None,None,1,None,None,None,0.01,{1: ['C']},1,1
2,VPP,6,{1: 'D'},{1: 0.495},1.5,['D'],0,1,"{1: ['D', 'D']}",0.495,None,None,None,2.5,None,None,None,2,None,None,None,0.01,"{1: ['C', 'D']}",0,0
3,VPP,6,{1: 'C'},{1: 0.48},2.5,['C'],1,0,"{1: ['C', 'C']}",0.48,None,None,None,4.0,None,None,None,1,None,None,None,0.01,"{1: ['C', 'D', 'C']}",1,1
4,VPP,6,{1: 'D'},{1: 0.52},4.0,['D'],0,1,"{1: ['D', 'D']}",0.52,None,None,None,5.0,None,None,None,2,None,None,None,0.04,"{1: ['D', 'C', 'D']}",0,0
5,VPP,6,{1: 'C'},{1: 0.6},5.0,['C'],1,0,"{1: ['C', 'D']}",0.6,None,None,None,3.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'D', 'D']}",1,0
6,VPP,6,{1: 'D'},{1: 0.64},3.0,['D'],0,1,"{1: ['D', 'D']}",0.64,None,None,None,4.0,None,None,None,2,None,None,None,0.04,"{1: ['D', 'D', 'D']}",0,0
7,VPP,6,{1: 'C'},{1: 0.5800000000000001},4.0,['C'],1,0,"{1: ['C', 'C']}",0.5800000000000001,None,None,None,5.5,None,None,None,1,None,None,None,0.04,"{1: ['D', 'D', 'C']}",1,1
8,VPP,6,{1: 'C'},{1: 0.52},5.5,['C'],1,0,"{1: ['C', 'C']}",0.52,None,None,None,7.0,None,None,None,1,None,None,None,0.04,"{1: ['D', 'C', 'C']}",1,1
9,VPP,6,{1: 'C'},{1: 0.46},7.0,['C'],1,0,"{1: ['C', 'C']}",0.46,None,None,None,8.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
10,VPP,6,{1: 'D'},{1: 0.38},8.5,['D'],0,1,"{1: ['D', 'C']}",0.38,None,None,None,10.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'C', 'C']}",0,0
11,VPP,6,{1: 'C'},{1: 0.32},10.5,['C'],1,0,"{1: ['C', 'C']}",0.32,None,None,None,12.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
12,VPP,6,{1: 'C'},{1: 0.26},12.0,['C'],1,0,"{1: ['C', 'C']}",0.26,None,None,None,13.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
13,VPP,6,{1: 'C'},{1: 0.2},13.5,['C'],1,0,"{1: ['C', 'C']}",0.2,None,None,None,15.0,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
14,VPP,6,{1: 'C'},{1: 0.14},15.0,['C'],1,0,"{1: ['C', 'C']}",0.14,None,None,None,16.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'C']}",1,1
15,VPP,6,{1: 'C'},{1: 0.22000000000000003},16.5,['C'],1,0,"{1: ['C', 'D']}",0.22000000000000003,None,None,None,14.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'C', 'D']}",1,0
16,VPP,6,{1: 'D'},{1: 0.14},14.5,['D'],0,1,"{1: ['D', 'C']}",0.14,None,None,None,16.5,None,None,None,2,None,None,None,0.04,"{1: ['C', 'D', 'C']}",0,0
17,VPP,6,{1: 'C'},{1: 0.22000000000000003},16.5,['C'],1,0,"{1: ['C', 'D']}",0.22000000000000003,None,None,None,14.5,None,None,None,1,None,None,None,0.04,"{1: ['D', 'C', 'D']}",1,0
18,VPP,6,{1: 'C'},{1: 0.30000000000000004},14.5,['C'],1,0,"{1: ['C', 'D']}",0.30000000000000004,None,None,None,12.5,None,None,None,1,None,None,None,0.04,"{1: ['C', 'D', 'D']}",1,0
19,VPP,6,{1: 'C'},{1: 0.38000000000000006},12.5,['C'],1,0,"{1: ['C', 'D']}",0.38000000000000006,None,None,None,10.5,None,None,None,1,None,None,None,0.04,"{1: ['D', 'D', 'D']}",1,0
20,VPP,6,{1: 'C'},{1: 0.32000000000000006},10.5,['C'],1,0,"{1: ['C', 'C']}",0.32000000000000006,None,None,None,12.0,None,None,None,1,None,None,None,0.04,"{1: ['D', 'D', 'C']}",1,1
