stepcount_2,strategy_2,strat code_2,move_2,probabilities_2,utility_2,common_move_2,number_coop_2,number_defect_2,outcomes_2,u1_2,u2_2,u3_2,u4_2,m1_2,m2_2,m3_2,m4_2,uv_2,ps_2,nc_2,mutC_2,simP_2,avp1_2,avp2_2,avp3_2,avp4_2,globav_2,epsilon_2,alpha_2,mood_2
True,MOODYLEARN,9,"{3: 'C', 7: 'C', 1: 'C'}","{3: 0.020000000000000018, 7: 0.020000000000000018, 1: 0.020000000000000018}",0,['C'],6,0,"{3: ['C', 'C'], 7: ['C', 'C'], 1: ['C', 'C']}",3,3,3,None,1,1,1,None,0.06,"{3: [0, 3, 'NEUTRAL'], 7: [0, 7, 'NEUTRAL'], 1: ['C', 1, 'NEUTRAL']}",6,3,3,1.5,1.5,1.5,None,1.5,0.5,0.1,57.53375
2,MOODYLEARN,9,"{3: 'C', 7: 'C', 1: 'C'}","{3: 0.001, 7: 0.001, 1: 0.001}",9,['C'],3,0,"{3: ['C', 'C'], 7: ['C', 'C'], 1: ['C', 'C']}",6,6,6,None,1,1,1,None,0.105,"{3: ['C', 3, 'NEUTRAL'], 7: ['C', 7, 'NEUTRAL'], 1: ['C', 1, 'NEUTRAL']}",3,3,6,2,2,2,None,2,0.5,0.1,66.94235084375
3,MOODYLEARN,9,"{3: 'C', 7: 'C', 1: 'C'}","{3: 0.001, 7: 0.001, 1: 0.001}",18,['C'],2,1,"{3: ['C', 'C'], 7: ['C', 'C'], 1: ['C', 'D']}",9,9,6,None,1,1,1,None,0.105,"{3: ['C', 3, 'NEUTRAL'], 7: ['C', 7, 'HIGH'], 1: ['D', 1, 'NEUTRAL']}",2,2,9,2.25,2.25,1.5,None,2.0,0.5,0.1,72.76368163521434
4,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'C'}","{3: 0.001, 7: 0.001, 1: 0.001}",24,['C'],2,1,"{3: ['C', 'C'], 7: ['D', 'C'], 1: ['C', 'C']}",12,14,9,None,1,2,1,None,0.105,"{3: ['C', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",2,2,12,2.4,2.8,1.8,None,2.333333333333333,0.0001,0.1,83.74698727578274
5,MOODYLEARN,9,"{3: 'C', 7: 'C', 1: 'D'}","{3: 0.001, 7: 0.001, 1: 0.001}",35,['C'],2,1,"{3: ['C', 'C'], 7: ['C', 'C'], 1: ['D', 'C']}",15,17,14,None,1,1,2,None,0.105,"{3: ['C', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",2,2,15,2.5,2.8333333333333335,2.3333333333333335,None,2.555555555555556,0.0001,0.1,94.90002013885906
6,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'C'}","{3: 0.001, 7: 0.001, 1: 0.001}",46,['C'],1,2,"{3: ['C', 'D'], 7: ['D', 'C'], 1: ['C', 'C']}",15,22,17,None,1,2,1,None,0.105,"{3: ['D', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",1,1,18,2.142857142857143,3.142857142857143,2.4285714285714284,None,2.571428571428571,0.0001,0.1,99.999
7,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'D'}","{3: 0.001, 7: 0.001, 1: 0.001}",54,['D'],1,2,"{3: ['C', 'C'], 7: ['D', 'C'], 1: ['D', 'C']}",18,27,22,None,1,2,2,None,0.105,"{3: ['C', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",1,1,21,2.25,3.375,2.75,None,2.7916666666666665,0.0001,0.1,99.999
8,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'D'}","{3: 0.001, 7: 0.001, 1: 0.001}",67,['D'],1,2,"{3: ['C', 'D'], 7: ['D', 'C'], 1: ['D', 'C']}",18,32,27,None,1,2,2,None,0.105,"{3: ['D', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",1,0,24,2,3.5555555555555554,3,None,2.8518518518518516,0.0001,0.1,99.999
9,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'D'}","{3: 0.001, 7: 0.001, 1: 0.106}",77,['D'],2,1,"{3: ['C', 'C'], 7: ['D', 'C'], 1: ['D', 'D']}",21,37,28,None,1,2,2,None,0.105,"{3: ['C', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['D', 1, 'HIGH']}",2,1,27,2.1,3.7,2.8,None,2.8666666666666667,0.0001,0.1,99.999
10,MOODYLEARN,9,"{3: 'C', 7: 'D', 1: 'C'}","{3: 0.001, 7: 0.001, 1: 0.001}",86,['C'],1,2,"{3: ['C', 'D'], 7: ['D', 'C'], 1: ['C', 'C']}",21,42,31,None,1,2,1,None,0.105,"{3: ['D', 3, 'HIGH'], 7: ['C', 7, 'HIGH'], 1: ['C', 1, 'HIGH']}",1,1,30,1.9090909090909092,3.8181818181818183,2.8181818181818183,None,2.8484848484848486,0.0001,0.1,99.999
