stepcount_32,strategy_32,strat code_32,move_32,probabilities_32,utility_32,common_move_32,number_coop_32,number_defect_32,outcomes_32,p1_32,p2_32,p3_32,p4_32,u1_32,u2_32,u3_32,u4_32,m1_32,m2_32,m3_32,m4_32
True,VPP,6,"{40: 'D', 31: 'D', 24: 'D'}","{40: 0.52, 31: 0.46, 24: 0.46}",0,['D'],0,3,"{40: ['D', 'D'], 31: ['D', 'C'], 24: ['D', 'C']}",0.52,0.46,0.46,None,1,2,2,None,2,2,2,None
2,VPP,6,"{40: 'D', 31: 'D', 24: 'C'}","{40: 0.48000000000000004, 31: 0.48000000000000004, 24: 0.5}",5,['D'],1,2,"{40: ['D', 'C'], 31: ['D', 'D'], 24: ['C', 'D']}",0.48000000000000004,0.48000000000000004,0.5,None,3,3,0,None,2,2,1,None
3,VPP,6,"{40: 'C', 31: 'C', 24: 'C'}","{40: 0.45000000000000007, 31: 0.45000000000000007, 24: 0.54}",6,['C'],3,0,"{40: ['C', 'C'], 31: ['C', 'C'], 24: ['C', 'D']}",0.45000000000000007,0.45000000000000007,0.54,None,4.5,4.5,-2,None,1,1,1,None
4,VPP,6,"{40: 'C', 31: 'C', 24: 'C'}","{40: 0.42000000000000004, 31: 0.42000000000000004, 24: 0.5800000000000001}",7.0,['C'],3,0,"{40: ['C', 'C'], 31: ['C', 'C'], 24: ['C', 'D']}",0.42000000000000004,0.42000000000000004,0.5800000000000001,None,6.0,6.0,-4,None,1,1,1,None
5,VPP,6,"{40: 'C', 31: 'C', 24: 'D'}","{40: 0.39, 31: 0.39, 24: 0.6000000000000001}",8.0,['C'],2,1,"{40: ['C', 'C'], 31: ['C', 'C'], 24: ['D', 'D']}",0.39,0.39,0.6000000000000001,None,7.5,7.5,-3,None,1,1,2,None
6,VPP,6,"{40: 'C', 31: 'C', 24: 'D'}","{40: 0.43, 31: 0.36, 24: 0.56}",12.0,['C'],2,1,"{40: ['C', 'D'], 31: ['C', 'C'], 24: ['D', 'C']}",0.43,0.36,0.56,None,5.5,9.0,-1,None,1,1,2,None
7,VPP,6,"{40: 'C', 31: 'D', 24: 'D'}","{40: 0.47, 31: 0.32, 24: 0.5800000000000001}",13.5,['D'],1,2,"{40: ['C', 'D'], 31: ['D', 'C'], 24: ['D', 'D']}",0.47,0.32,0.5800000000000001,None,3.5,11.0,0,None,1,2,2,None
8,VPP,6,"{40: 'C', 31: 'C', 24: 'D'}","{40: 0.43999999999999995, 31: 0.36, 24: 0.54}",14.5,['C'],2,1,"{40: ['C', 'C'], 31: ['C', 'D'], 24: ['D', 'C']}",0.43999999999999995,0.36,0.54,None,5.0,9.0,2,None,1,1,2,None
9,VPP,6,"{40: 'D', 31: 'C', 24: 'D'}","{40: 0.45999999999999996, 31: 0.39999999999999997, 24: 0.56}",16.0,['D'],1,2,"{40: ['D', 'D'], 31: ['C', 'D'], 24: ['D', 'D']}",0.45999999999999996,0.39999999999999997,0.56,None,6.0,7.0,3,None,2,1,2,None
10,VPP,6,"{40: 'C', 31: 'D', 24: 'C'}","{40: 0.49999999999999994, 31: 0.42, 24: 0.53}",16.0,['C'],2,1,"{40: ['C', 'D'], 31: ['D', 'D'], 24: ['C', 'C']}",0.49999999999999994,0.42,0.53,None,4.0,8.0,4.5,None,1,2,1,None
11,VPP,6,"{40: 'D', 31: 'D', 24: 'C'}","{40: 0.45999999999999996, 31: 0.38, 24: 0.5}",16.5,['D'],1,2,"{40: ['D', 'C'], 31: ['D', 'C'], 24: ['C', 'C']}",0.45999999999999996,0.38,0.5,None,6.0,10.0,6.0,None,2,2,1,None
12,VPP,6,"{40: 'D', 31: 'C', 24: 'C'}","{40: 0.42, 31: 0.42, 24: 0.47}",22.0,['C'],2,1,"{40: ['D', 'C'], 31: ['C', 'D'], 24: ['C', 'C']}",0.42,0.42,0.47,None,8.0,8.0,7.5,None,2,1,1,None
13,VPP,6,"{40: 'C', 31: 'D', 24: 'C'}","{40: 0.39, 31: 0.44, 24: 0.43999999999999995}",23.5,['C'],2,1,"{40: ['C', 'C'], 31: ['D', 'D'], 24: ['C', 'C']}",0.39,0.44,0.43999999999999995,None,9.5,9.0,9.0,None,1,2,1,None
14,VPP,6,"{40: 'C', 31: 'C', 24: 'C'}","{40: 0.36, 31: 0.41000000000000003, 24: 0.4099999999999999}",27.5,['C'],3,0,"{40: ['C', 'C'], 31: ['C', 'C'], 24: ['C', 'C']}",0.36,0.41000000000000003,0.4099999999999999,None,11.0,10.5,10.5,None,1,1,1,None
15,VPP,6,"{40: 'D', 31: 'D', 24: 'D'}","{40: 0.38, 31: 0.37000000000000005, 24: 0.36999999999999994}",32.0,['D'],0,3,"{40: ['D', 'D'], 31: ['D', 'C'], 24: ['D', 'C']}",0.38,0.37000000000000005,0.36999999999999994,None,12.0,12.5,12.5,None,2,2,2,None
