,Cooperations,Defections,Cooperators,Defectors,TFT Performance,TFT Cooperations,VPP Performance,VPP Cooperations,WSLS Performance,WSLS Cooperations,iWSLS Performance,iWSLS Cooperations,LEARN Performance,MutualCooperations,LEARN Cooperations,moodyLEARN Performance,moodyMutualCooperations,moodyLEARN Cooperations,Model Params
3346,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,251475,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3347,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,251550,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3348,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,251625,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3349,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,251700,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3350,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,251775,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3351,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,251850,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3352,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,251925,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3353,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,252000,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3354,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,252075,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3355,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,252150,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3356,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,252225,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3357,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,252300,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3358,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,252375,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3359,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,252450,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3360,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,252525,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3361,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,252600,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3362,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,252675,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3363,61,19,19,2,0,0,0,0,0,0,0,0,0,0,0,252750,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3364,62,18,20,2,0,0,0,0,0,0,0,0,0,0,0,252825,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3365,61,19,20,2,0,0,0,0,0,0,0,0,0,0,0,252900,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
3366,60,20,19,2,0,0,0,0,0,0,0,0,0,0,0,252975,25,50,"(25, 0.015, 0.5, 11, 0.1, 0.95, 0.99, 1)"
