stepcount_23,strategy_23,strat code_23,move_23,probabilities_23,utility_23,common_move_23,number_coop_23,number_defect_23,outcomes_23,p1_23,p2_23,p3_23,p4_23,u1_23,u2_23,u3_23,u4_23,m1_23,m2_23,m3_23,m4_23
True,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'C'}","{24: 0.47, 31: 0.47, 22: 0.47, 15: 0.47}",0,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'C'], 15: ['C', 'C']}",0.47,0.47,0.47,0.47,1.5,1.5,1.5,1.5,1,1,1,1
2,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'C'}","{24: 0.43999999999999995, 31: 0.43999999999999995, 22: 0.43999999999999995, 15: 0.43999999999999995}",6.0,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'C'], 15: ['C', 'C']}",0.43999999999999995,0.43999999999999995,0.43999999999999995,0.43999999999999995,3.0,3.0,3.0,3.0,1,1,1,1
3,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'C'}","{24: 0.4099999999999999, 31: 0.4099999999999999, 22: 0.4799999999999999, 15: 0.4099999999999999}",12.0,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'D'], 15: ['C', 'C']}",0.4099999999999999,0.4099999999999999,0.4799999999999999,0.4099999999999999,4.5,4.5,1.0,4.5,1,1,1,1
4,WSLS,7,"{24: 'C', 31: 'C', 22: 'D', 15: 'C'}","{24: 0.3799999999999999, 31: 0.3799999999999999, 22: 0.49999999999999994, 15: 0.3799999999999999}",14.5,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['D', 'D'], 15: ['C', 'C']}",0.3799999999999999,0.3799999999999999,0.49999999999999994,0.3799999999999999,6.0,6.0,2.0,6.0,1,1,2,1
5,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'C'}","{24: 0.34999999999999987, 31: 0.34999999999999987, 22: 0.47, 15: 0.34999999999999987}",20.0,['C'],3,1,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'C'], 15: ['C', 'C']}",0.34999999999999987,0.34999999999999987,0.47,0.34999999999999987,7.5,7.5,3.5,7.5,1,1,1,1
6,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'C'}","{24: 0.31999999999999984, 31: 0.31999999999999984, 22: 0.43999999999999995, 15: 0.31999999999999984}",26.0,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'C'], 15: ['C', 'C']}",0.31999999999999984,0.31999999999999984,0.43999999999999995,0.31999999999999984,9.0,9.0,5.0,9.0,1,1,1,1
7,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'C'}","{24: 0.2899999999999998, 31: 0.2899999999999998, 22: 0.4099999999999999, 15: 0.2899999999999998}",32.0,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'C'], 15: ['C', 'C']}",0.2899999999999998,0.2899999999999998,0.4099999999999999,0.2899999999999998,10.5,10.5,6.5,10.5,1,1,1,1
8,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'C'}","{24: 0.2599999999999998, 31: 0.2599999999999998, 22: 0.4499999999999999, 15: 0.2599999999999998}",38.0,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'D'], 15: ['C', 'C']}",0.2599999999999998,0.2599999999999998,0.4499999999999999,0.2599999999999998,12.0,12.0,4.5,12.0,1,1,1,1
9,WSLS,7,"{24: 'C', 31: 'C', 22: 'D', 15: 'C'}","{24: 0.2299999999999998, 31: 0.2299999999999998, 22: 0.4699999999999999, 15: 0.29999999999999977}",40.5,['C'],4,0,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['D', 'D'], 15: ['C', 'D']}",0.2299999999999998,0.2299999999999998,0.4699999999999999,0.29999999999999977,13.5,13.5,5.5,10.0,1,1,2,1
10,WSLS,7,"{24: 'C', 31: 'C', 22: 'C', 15: 'D'}","{24: 0.1999999999999998, 31: 0.1999999999999998, 22: 0.5099999999999999, 15: 0.2599999999999998}",42.5,['C'],3,1,"{24: ['C', 'C'], 31: ['C', 'C'], 22: ['C', 'D'], 15: ['D', 'C']}",0.1999999999999998,0.1999999999999998,0.5099999999999999,0.2599999999999998,15.0,15.0,3.5,12.0,1,1,1,2
