stepcount_16,strategy_16,strat code_16,move_16,probabilities_16,utility_16,common_move_16,number_coop_16,number_defect_16,outcomes_16,u1_16,u2_16,u3_16,u4_16,m1_16,m2_16,m3_16,m4_16,uv_16,ps_16,nc_16,mutC_16,simP_16,avp1_16,avp2_16,avp3_16,avp4_16,globav_16,epsilon_16,alpha_16,mood_16
True,MOODYLEARN,9,"{17: 'D', 21: 'D', 11: 'D'}","{17: 0.26, 21: 0.26, 11: 0.26}",0,['D'],0,6,"{17: ['D', 'D'], 21: ['D', 'D'], 11: ['D', 'D']}",1,1,1,None,2,2,2,None,0.06,"{17: [0, 17, 'NEUTRAL'], 21: [0, 21, 'NEUTRAL'], 11: ['D', 11, 'NEUTRAL']}",0,0,3,0.5,0.5,0.5,None,0.5,0.5,0.1,52.50375
2,MOODYLEARN,9,"{17: 'D', 21: 'D', 11: 'D'}","{17: 0.365, 21: 0.365, 11: 0.365}",3,['D'],2,1,"{17: ['D', 'D'], 21: ['D', 'D'], 11: ['D', 'D']}",2,2,2,None,2,2,2,None,0.105,"{17: ['D', 17, 'NEUTRAL'], 21: ['D', 21, 'NEUTRAL'], 11: ['D', 11, 'NEUTRAL']}",2,0,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,None,0.6666666666666666,0.5,0.1,55.66027223263889
3,MOODYLEARN,9,"{17: 'C', 21: 'D', 11: 'C'}","{17: 0.04999999999999999, 21: 0.001, 11: 0.04999999999999999}",6,['C'],3,0,"{17: ['C', 'C'], 21: ['D', 'C'], 11: ['C', 'C']}",5,7,5,None,1,2,1,None,0.105,"{17: ['C', 17, 'NEUTRAL'], 21: ['C', 21, 'NEUTRAL'], 11: ['C', 11, 'NEUTRAL']}",3,2,9,1.25,1.75,1.25,None,1.4166666666666667,0.5,0.1,67.36396567096517
4,MOODYLEARN,9,"{17: 'C', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",17,['C'],2,1,"{17: ['C', 'C'], 21: ['C', 'C'], 11: ['C', 'C']}",8,10,8,None,1,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['C', 21, 'NEUTRAL'], 11: ['C', 11, 'NEUTRAL']}",2,3,12,1.6,2,1.6,None,1.7333333333333334,0.5,0.1,76.92101891425004
5,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",26,['C'],1,2,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'C']}",13,10,11,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'NEUTRAL'], 11: ['C', 11, 'HIGH']}",1,1,15,2.1666666666666665,1.6666666666666667,1.8333333333333333,None,1.8888888888888888,0.0001,0.1,85.17145447502216
6,MOODYLEARN,9,"{17: 'D', 21: 'D', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",34,['D'],2,1,"{17: ['D', 'C'], 21: ['D', 'C'], 11: ['C', 'D']}",18,15,11,None,2,2,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['C', 21, 'NEUTRAL'], 11: ['D', 11, 'HIGH']}",2,0,18,2.5714285714285716,2.142857142857143,1.5714285714285714,None,2.0952380952380953,0.0001,0.1,95.36812416020837
7,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",44,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'C'], 11: ['C', 'C']}",23,18,14,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['C', 21, 'NEUTRAL'], 11: ['C', 11, 'HIGH']}",2,2,21,2.875,2.25,1.75,None,2.2916666666666665,0.0001,0.1,99.999
8,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",55,['C'],1,2,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'C']}",28,18,17,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'NEUTRAL'], 11: ['C', 11, 'HIGH']}",1,1,24,3.111111111111111,2,1.8888888888888888,None,2.3333333333333335,0.0001,0.1,99.999
9,MOODYLEARN,9,"{17: 'D', 21: 'D', 11: 'C'}","{17: 0.001, 21: 0.106, 11: 0.001}",63,['D'],2,1,"{17: ['D', 'C'], 21: ['D', 'D'], 11: ['C', 'D']}",33,19,17,None,2,2,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['D', 11, 'HIGH']}",2,0,27,3.3,1.9,1.7,None,2.3,0.0001,0.1,99.99898999999999
10,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",69,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'C'], 11: ['C', 'C']}",38,22,20,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['C', 21, 'HIGH'], 11: ['C', 11, 'HIGH']}",2,2,30,3.4545454545454546,2,1.8181818181818181,None,2.4242424242424243,0.0001,0.1,99.999
11,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",80,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'D']}",43,22,20,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['D', 11, 'HIGH']}",2,0,33,3.5833333333333335,1.8333333333333333,1.6666666666666667,None,2.361111111111111,0.0001,0.1,99.9989858125
12,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",85,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'C']}",48,22,23,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['C', 11, 'HIGH']}",2,1,36,3.6923076923076925,1.6923076923076923,1.7692307692307692,None,2.3846153846153846,0.0001,0.1,99.999
13,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",93,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'D']}",53,22,23,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['D', 11, 'HIGH']}",2,0,39,3.7857142857142856,1.5714285714285714,1.6428571428571428,None,2.333333333333333,0.0001,0.1,99.99897668602826
14,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",98,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'C']}",58,22,26,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['C', 11, 'HIGH']}",2,1,42,3.8666666666666667,1.4666666666666666,1.7333333333333334,None,2.3555555555555556,0.0001,0.1,99.999
15,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",106,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'D']}",63,22,26,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['D', 11, 'HIGH']}",2,0,45,3.9375,1.375,1.625,None,2.3125,0.0001,0.1,99.99896990234375
16,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",111,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'C']}",68,22,29,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['C', 11, 'HIGH']}",2,1,48,4,1.2941176470588236,1.7058823529411764,None,2.3333333333333335,0.0001,0.1,99.999
17,MOODYLEARN,9,"{17: 'D', 21: 'C', 11: 'C'}","{17: 0.001, 21: 0.001, 11: 0.001}",119,['C'],2,1,"{17: ['D', 'C'], 21: ['C', 'D'], 11: ['C', 'D']}",73,22,29,None,2,1,1,None,0.105,"{17: ['C', 17, 'HIGH'], 21: ['D', 21, 'HIGH'], 11: ['D', 11, 'HIGH']}",2,0,51,4.055555555555555,1.2222222222222223,1.6111111111111112,None,2.2962962962962963,0.0001,0.1,99.99896466122003
