score,coops,ppds,class
376.5,247,0.25,2
375,250,0.25,5
375,250,0.25,2
351,242,0.25,4
241,3,0.25,3
365,3,0.25,5
375,250,0.25,4
238,4,0.25,3
238,4,0.25,3
375,250,0.25,4
375,250,0.25,2
372,1,0.25,5
376.5,247,0.25,2
358,5,0.25,5
247,1,0.25,3
372,249,0.25,4
376,248,0.25,2
372,103,0.25,5
375,250,0.25,2
375,250,0.25,4
241,3,0.25,3
368.5,3,0.25,5
238,4,0.25,3
250,3,0.25,4
375.5,249,0.25,2
371.5,2,0.25,5
376,248,0.25,2
375,250,0.25,4
241,3,0.25,3
375,248,0.25,5
372,249,0.25,4
235,5,0.25,3
238,4,0.25,3
362.5,245,0.25,4
377,246,0.25,2
372,3,0.25,5
375.5,249,0.25,2
371.5,246,0.25,5
241,3,0.25,3
250,3,0.25,4
375.5,249,0.25,2
372,1,0.25,5
375,250,0.25,2
372,249,0.25,4
244,2,0.25,3
371.5,200,0.25,5
241,3,0.25,3
372,249,0.25,4
375.5,249,0.25,2
365,3,0.25,5
375.5,249,0.25,2
375,250,0.25,4
241,3,0.25,3
375,250,0.25,5
375,250,0.25,4
241,3,0.25,3
238,4,0.25,3
375,250,0.25,4
375,250,0.25,2
375,250,0.25,5
376,248,0.25,2
364.5,4,0.25,5
241,3,0.25,3
251.5,1,0.25,4
375.5,249,0.25,2
365,3,0.25,5
375.5,249,0.25,2
249.5,2,0.25,4
241,3,0.25,3
361,4,0.25,5
244,2,0.25,3
244,6,0.25,4
376,248,0.25,2
375,250,0.25,5
375,250,0.25,2
241.5,6,0.25,4
238,4,0.25,3
375,250,0.25,5
372,249,0.25,4
235,5,0.25,3
241,3,0.25,3
342,239,0.25,4
375.5,249,0.25,2
372,3,0.25,5
375.5,249,0.25,2
364.5,4,0.25,5
244,2,0.25,3
375,250,0.25,4
375.5,249,0.25,2
375,250,0.25,5
376.5,247,0.25,2
372,249,0.25,4
244,2,0.25,3
375,250,0.25,5
247,1,0.25,3
369,248,0.25,4
375.5,249,0.25,2
372,3,0.25,5
375.5,249,0.25,2
371.5,248,0.25,4
241,3,0.25,3
375,250,0.25,5
375,250,0.25,4
241,3,0.25,3
244,2,0.25,3
372,249,0.25,4
375.5,249,0.25,2
368.5,3,0.25,5
376,248,0.25,2
361,4,0.25,5
244,2,0.25,3
375,250,0.25,4
376.5,247,0.25,2
372,35,0.25,5
375.5,249,0.25,2
372,249,0.25,4
241,3,0.25,3
368.5,3,0.25,5
241,3,0.25,3
356.5,243,0.25,4
377.5,245,0.25,2
375,250,0.25,5
376,248,0.25,2
360,245,0.25,4
241,3,0.25,3
375,250,0.25,5
372,249,0.25,4
238,4,0.25,3
238,4,0.25,3
248,4,0.25,4
375,250,0.25,2
368.5,3,0.25,5
376,248,0.25,2
364.5,6,0.25,5
247,1,0.25,3
354,243,0.25,4
375.5,249,0.25,2
365,3,0.25,5
376,248,0.25,2
372,249,0.25,4
241,3,0.25,3
368.5,3,0.25,5
241,3,0.25,3
375,250,0.25,4
375.5,249,0.25,2
372,173,0.25,5
375,250,0.25,2
360,245,0.25,4
241,3,0.25,3
368,4,0.25,5
248,4,0.25,4
235,5,0.25,3
244,2,0.25,3
375,250,0.25,4
375.5,249,0.25,2
365,3,0.25,5
376.5,247,0.25,2
361,4,0.25,5
241,3,0.25,3
239,6,0.25,4
375,250,0.25,2
375,250,0.25,5
375.5,249,0.25,2
375,250,0.25,4
241,3,0.25,3
371.5,4,0.25,5
241,3,0.25,3
369,248,0.25,4
376,248,0.25,2
368,248,0.25,5
375,250,0.25,2
375,250,0.25,4
244,2,0.25,3
372,3,0.25,5
369,248,0.25,4
241,3,0.25,3
241,3,0.25,3
375,250,0.25,4
376.5,247,0.25,2
368,78,0.25,5
376,248,0.25,2
371.5,248,0.25,5
241,3,0.25,3
230,13,0.25,4
375.5,249,0.25,2
372,3,0.25,5
375.5,249,0.25,2
360,245,0.25,4
238,4,0.25,3
372,3,0.25,5
241,3,0.25,3
375,250,0.25,4
375.5,249,0.25,2
375,250,0.25,5
375.5,249,0.25,2
368.5,247,0.25,4
244,2,0.25,3
375,250,0.25,5
357,244,0.25,4
241,3,0.25,3
247,1,0.25,3
375,250,0.25,4
375,250,0.25,2
375,248,0.25,5
376,248,0.25,2
364.5,6,0.25,5
238,4,0.25,3
369,248,0.25,4
375,250,0.25,2
371.5,48,0.25,5
376.5,247,0.25,2
250,3,0.25,4
238,4,0.25,3
365,3,0.25,5
241,3,0.25,3
233.5,10,0.25,4
375.5,249,0.25,2
372,193,0.25,5
376,248,0.25,2
375,250,0.25,4
241,3,0.25,3
375,250,0.25,5
362.5,245,0.25,4
241,3,0.25,3
241,3,0.25,3
375,250,0.25,4
375,250,0.25,2
375,250,0.25,5
375,250,0.25,2
354.5,7,0.25,5
244,2,0.25,3
372,249,0.25,4
375,250,0.25,2
375,250,0.25,5
375,250,0.25,2
375,250,0.25,4
241,3,0.25,3
368,4,0.25,5
238,4,0.25,3
375,250,0.25,4
375,250,0.25,2
375,250,0.25,5
375,250,0.25,2
371.5,248,0.25,4
247,1,0.25,3
368.5,5,0.25,5
375,250,0.25,4
238,4,0.25,3
238,4,0.25,3
338.5,237,0.25,4
375.5,249,0.25,2
375,250,0.25,5
375,250,0.25,2
375,250,0.25,5
244,2,0.25,3
375,250,0.25,4
376,248,0.25,2
372,3,0.25,5
375,250,0.25,2
240,8,0.25,4
238,4,0.25,3
368.5,3,0.25,5
241,3,0.25,3
366,247,0.25,4
375.5,249,0.25,2
368.5,227,0.25,5
375.5,249,0.25,2
375,250,0.25,4
241,3,0.25,3
375,250,0.25,5
372,249,0.25,4
235,5,0.25,3
241,3,0.25,3
360,245,0.25,4
376,248,0.25,2
375,250,0.25,5
376.5,247,0.25,2
375,250,0.25,5
244,2,0.25,3
375,250,0.25,4
375.5,249,0.25,2
368.5,3,0.25,5
376,248,0.25,2
342,239,0.25,4
238,4,0.25,3
368,4,0.25,5
238,4,0.25,3
360,245,0.25,4
375,250,0.25,2
375,250,0.25,5
375.5,249,0.25,2
375,250,0.25,4
244,2,0.25,3
371.5,248,0.25,5
366,247,0.25,4
241,3,0.25,3
241,3,0.25,3
372,249,0.25,4
375.5,249,0.25,2
365,3,0.25,5
375.5,249,0.25,2
375,250,0.25,5
247,1,0.25,3
357,244,0.25,4
375.5,249,0.25,2
368,248,0.25,5
375.5,249,0.25,2
372,249,0.25,4
244,2,0.25,3
371.5,186,0.25,5
238,4,0.25,3
375,250,0.25,4
375.5,249,0.25,2
371.5,4,0.25,5
375.5,249,0.25,2
242,7,0.25,4
244,2,0.25,3
368.5,5,0.25,5
372,249,0.25,4
238,4,0.25,3
241,3,0.25,3
372,249,0.25,4
376.5,247,0.25,2
375,250,0.25,5
376,248,0.25,2
375,250,0.25,5
241,3,0.25,3
357,244,0.25,4
375.5,249,0.25,2
375,250,0.25,5
376,248,0.25,2
371.5,248,0.25,4
241,3,0.25,3
365,3,0.25,5
238,4,0.25,3
375,250,0.25,4
376,248,0.25,2
371.5,248,0.25,5
375,250,0.25,2
252,2,0.25,4
238,4,0.25,3
371.5,248,0.25,5
246,5,0.25,4
241,3,0.25,3
241,3,0.25,3
366,247,0.25,4
375.5,249,0.25,2
375,250,0.25,5
375.5,249,0.25,2
364.5,164,0.25,5
241,3,0.25,3
375,250,0.25,4
376,248,0.25,2
375,250,0.25,5
376.5,247,0.25,2
375,250,0.25,4
244,2,0.25,3
375,250,0.25,5
244,2,0.25,3
249,1,0.25,4
375,250,0.25,2
368.5,3,0.25,5
376,248,0.25,2
375,250,0.25,4
244,2,0.25,3
368.5,3,0.25,5
366,247,0.25,4
238,4,0.25,3
238,4,0.25,3
243,4,0.25,4
375,250,0.25,2
375,248,0.25,5
375.5,249,0.25,2
375,250,0.25,5
238,4,0.3,3
369,248,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375,250,0.3,2
369,248,0.3,4
244,2,0.3,3
365,3,0.3,5
241,3,0.3,3
375,250,0.3,4
376,248,0.3,2
371.5,2,0.3,5
375.5,249,0.3,2
375,250,0.3,4
241,3,0.3,3
375,250,0.3,5
375,250,0.3,4
244,2,0.3,3
241,3,0.3,3
372,249,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375,250,0.3,2
361,4,0.3,5
238,4,0.3,3
372,249,0.3,4
375.5,249,0.3,2
364.5,6,0.3,5
376,248,0.3,2
348,241,0.3,4
244,2,0.3,3
368.5,3,0.3,5
238,4,0.3,3
372,249,0.3,4
375.5,249,0.3,2
372,167,0.3,5
375.5,249,0.3,2
351,242,0.3,4
241,3,0.3,3
371.5,4,0.3,5
366,247,0.3,4
238,4,0.3,3
244,2,0.3,3
247,2,0.3,4
376,248,0.3,2
375,250,0.3,5
375.5,249,0.3,2
368,4,0.3,5
241,3,0.3,3
375,250,0.3,4
376,248,0.3,2
371.5,2,0.3,5
377,246,0.3,2
242,7,0.3,4
241,3,0.3,3
368.5,3,0.3,5
244,2,0.3,3
234,11,0.3,4
375.5,249,0.3,2
371.5,2,0.3,5
376,248,0.3,2
360,245,0.3,4
241,3,0.3,3
375,250,0.3,5
375,250,0.3,4
241,3,0.3,3
247,1,0.3,3
375,250,0.3,4
376,248,0.3,2
372,3,0.3,5
375.5,249,0.3,2
364.5,4,0.3,5
241,3,0.3,3
372,249,0.3,4
376.5,247,0.3,2
368.5,3,0.3,5
376,248,0.3,2
247,2,0.3,4
241,3,0.3,3
365,3,0.3,5
238,4,0.3,3
354,243,0.3,4
376,248,0.3,2
368.5,3,0.3,5
376,248,0.3,2
375,250,0.3,4
238,4,0.3,3
368.5,3,0.3,5
369,248,0.3,4
241,3,0.3,3
241,3,0.3,3
249,1,0.3,4
376,248,0.3,2
368.5,3,0.3,5
375.5,249,0.3,2
361,4,0.3,5
238,4,0.3,3
372,249,0.3,4
375.5,249,0.3,2
371.5,248,0.3,5
376.5,247,0.3,2
248,4,0.3,4
244,2,0.3,3
375,250,0.3,5
244,2,0.3,3
363,246,0.3,4
375,250,0.3,2
365,3,0.3,5
376,248,0.3,2
375,250,0.3,4
241,3,0.3,3
371.5,2,0.3,5
371.5,248,0.3,4
241,3,0.3,3
238,4,0.3,3
371.5,248,0.3,4
376,248,0.3,2
368.5,3,0.3,5
375,250,0.3,2
375,248,0.3,5
241,3,0.3,3
248,4,0.3,4
375.5,249,0.3,2
371.5,4,0.3,5
376,248,0.3,2
375,250,0.3,4
250,0,0.3,3
371.5,248,0.3,5
244,2,0.3,3
347.5,240,0.3,4
375,250,0.3,2
368.5,3,0.3,5
375,250,0.3,2
375,250,0.3,4
241,3,0.3,3
372,3,0.3,5
372,249,0.3,4
238,4,0.3,3
244,2,0.3,3
366,247,0.3,4
376,248,0.3,2
375,250,0.3,5
375.5,249,0.3,2
375,250,0.3,5
241,3,0.3,3
351,242,0.3,4
375.5,249,0.3,2
365,3,0.3,5
375,250,0.3,2
365.5,246,0.3,4
241,3,0.3,3
368.5,3,0.3,5
247,1,0.3,3
372,249,0.3,4
377,246,0.3,2
375,250,0.3,5
377,246,0.3,2
375,250,0.3,4
247,1,0.3,3
372,1,0.3,5
250,3,0.3,4
244,2,0.3,3
241,3,0.3,3
348,241,0.3,4
376,248,0.3,2
375,250,0.3,5
376.5,247,0.3,2
371.5,248,0.3,5
241,3,0.3,3
247,2,0.3,4
375.5,249,0.3,2
372,3,0.3,5
375,250,0.3,2
375,250,0.3,4
244,2,0.3,3
372,3,0.3,5
241,3,0.3,3
372,249,0.3,4
375.5,249,0.3,2
375,248,0.3,5
375,250,0.3,2
372,249,0.3,4
241,3,0.3,3
361,4,0.3,5
372,249,0.3,4
241,3,0.3,3
247,1,0.3,3
251.5,1,0.3,4
376,248,0.3,2
375,250,0.3,5
376.5,247,0.3,2
361,6,0.3,5
244,2,0.3,3
372,249,0.3,4
376,248,0.3,2
371.5,248,0.3,5
376,248,0.3,2
372,249,0.3,4
241,3,0.3,3
375,250,0.3,5
238,4,0.3,3
372,249,0.3,4
375.5,249,0.3,2
371.5,4,0.3,5
375.5,249,0.3,2
251.5,1,0.3,4
244,2,0.3,3
368.5,3,0.3,5
366,247,0.3,4
241,3,0.3,3
244,2,0.3,3
371.5,248,0.3,4
375.5,249,0.3,2
371.5,4,0.3,5
376,248,0.3,2
365,161,0.3,5
247,1,0.3,3
375,250,0.3,4
376,248,0.3,2
368.5,3,0.3,5
375.5,249,0.3,2
246,5,0.3,4
241,3,0.3,3
368.5,3,0.3,5
241,3,0.3,3
375,250,0.3,4
375.5,249,0.3,2
368.5,3,0.3,5
376,248,0.3,2
375,250,0.3,4
241,3,0.3,3
364.5,4,0.3,5
372,249,0.3,4
241,3,0.3,3
241,3,0.3,3
375,250,0.3,4
375,250,0.3,2
368,4,0.3,5
375.5,249,0.3,2
364.5,4,0.3,5
244,2,0.3,3
372,249,0.3,4
375,250,0.3,2
375,248,0.3,5
376.5,247,0.3,2
371.5,248,0.3,4
238,4,0.3,3
371.5,2,0.3,5
247,1,0.3,3
249,1,0.3,4
376,248,0.3,2
371.5,4,0.3,5
376,248,0.3,2
249,1,0.3,4
244,2,0.3,3
375,250,0.3,5
375,250,0.3,4
244,2,0.3,3
241,3,0.3,3
247,2,0.3,4
375,250,0.3,2
375,250,0.3,5
375,250,0.3,2
361.5,5,0.3,5
247,1,0.3,3
372,249,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375,250,0.3,2
342,239,0.3,4
241,3,0.3,3
365,3,0.3,5
241,3,0.3,3
372,249,0.3,4
376,248,0.3,2
375,250,0.3,5
376,248,0.3,2
348,241,0.3,4
241,3,0.3,3
371.5,248,0.3,5
375,250,0.3,4
244,2,0.3,3
241,3,0.3,3
369,248,0.3,4
375.5,249,0.3,2
372,3,0.3,5
375,250,0.3,2
368,2,0.3,5
244,2,0.3,3
336,237,0.3,4
376,248,0.3,2
368.5,5,0.3,5
375,250,0.3,2
372,249,0.3,4
241,3,0.3,3
375,248,0.3,5
241,3,0.3,3
372,249,0.3,4
375,250,0.3,2
368,2,0.3,5
375,250,0.3,2
375,250,0.3,4
241,3,0.3,3
365,3,0.3,5
357,244,0.3,4
241,3,0.3,3
241,3,0.3,3
369,248,0.3,4
375,250,0.3,2
375,250,0.3,5
375.5,249,0.3,2
361,4,0.3,5
244,2,0.3,3
360,245,0.3,4
375,250,0.3,2
371.5,2,0.3,5
376,248,0.3,2
372,249,0.3,4
238,4,0.3,3
365,3,0.3,5
244,2,0.3,3
369,248,0.3,4
375.5,249,0.3,2
368.5,63,0.3,5
375.5,249,0.3,2
375,250,0.3,4
241,3,0.3,3
372,3,0.3,5
375,250,0.3,4
235,5,0.3,3
241,3,0.3,3
371.5,248,0.3,4
376.5,247,0.3,2
368,2,0.3,5
376,248,0.3,2
368,2,0.3,5
241,3,0.3,3
375,250,0.3,4
376.5,247,0.3,2
375,248,0.3,5
376,248,0.3,2
369,248,0.3,4
241,3,0.3,3
372,1,0.3,5
238,4,0.3,3
372,249,0.3,4
375,250,0.3,2
365,3,0.3,5
375.5,249,0.3,2
250,3,0.3,4
241,3,0.3,3
371.5,248,0.3,5
371.5,248,0.3,4
238,4,0.3,3
241,3,0.3,3
249,1,0.3,4
375,250,0.3,2
371.5,2,0.3,5
375.5,249,0.3,2
375,250,0.3,5
238,4,0.3,3
375,250,0.3,4
376.5,247,0.3,2
375,250,0.3,5
375.5,249,0.3,2
372,249,0.3,4
244,2,0.3,3
375,250,0.3,5
244,2,0.3,3
372,249,0.3,4
375.5,249,0.3,2
368.5,5,0.3,5
375.5,249,0.3,2
372,249,0.3,4
244,2,0.3,3
375,250,0.3,5
246,5,0.3,4
241,3,0.3,3
241,3,0.3,3
372,249,0.3,4
376.5,247,0.3,2
375,250,0.3,5
375.5,249,0.3,2
347.5,9,0.3,5
244,2,0.3,3
306,227,0.3,4
376.5,247,0.3,2
368.5,3,0.3,5
376,248,0.3,2
375,250,0.3,4
238,4,0.3,3
371.5,248,0.3,5
241,3,0.3,3
249.5,2,0.3,4
376.5,247,0.3,2
364.5,4,0.3,5
376,248,0.3,2
246,5,0.3,4
244,2,0.3,3
375,250,0.3,5
363,246,0.3,4
241,3,0.3,3
238,4,0.3,3
249.5,2,0.3,4
375,250,0.3,2
371.5,248,0.3,5
376.5,247,0.3,2
358,5,0.3,5
238,4,0.3,3
369,248,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375.5,249,0.3,2
363,246,0.3,4
238,4,0.3,3
368.5,3,0.3,5
241,3,0.3,3
369,248,0.3,4
375,250,0.3,2
372,3,0.3,5
376.5,247,0.3,2
372,249,0.3,4
238,4,0.3,3
371.5,4,0.3,5
366,247,0.3,4
241,3,0.3,3
241,3,0.3,3
372,249,0.3,4
375,250,0.3,2
371.5,4,0.3,5
376,248,0.3,2
375,250,0.3,5
238,4,0.3,3
372,249,0.3,4
375,250,0.3,2
371.5,2,0.3,5
375.5,249,0.3,2
369,248,0.3,4
244,2,0.3,3
371.5,62,0.3,5
238,4,0.3,3
369,248,0.3,4
376,248,0.3,2
371.5,178,0.3,5
376,248,0.3,2
375,250,0.3,4
241,3,0.3,3
375,248,0.3,5
375,250,0.3,4
244,2,0.3,3
244,2,0.3,3
251.5,1,0.3,4
375.5,249,0.3,2
375,250,0.3,5
376,248,0.3,2
358,5,0.3,5
241,3,0.3,3
375,250,0.3,4
376,248,0.3,2
375,250,0.3,5
375.5,249,0.3,2
372,249,0.3,4
241,3,0.3,3
375,250,0.3,5
238,4,0.3,3
351,242,0.3,4
375,250,0.3,2
372,3,0.3,5
375,250,0.3,2
357,244,0.3,4
244,2,0.3,3
365,3,0.3,5
368.5,247,0.3,4
238,4,0.3,3
241,3,0.3,3
375,250,0.3,4
375.5,249,0.3,2
368.5,3,0.3,5
375.5,249,0.3,2
368,248,0.3,5
241,3,0.3,3
360,245,0.3,4
375.5,249,0.3,2
368.5,3,0.3,5
376,248,0.3,2
372,249,0.3,4
238,4,0.3,3
375,248,0.3,5
241,3,0.3,3
375,250,0.3,4
375.5,249,0.3,2
365,3,0.3,5
375.5,249,0.3,2
372,249,0.3,4
244,2,0.3,3
368.5,3,0.3,5
372,249,0.3,4
241,3,0.3,3
241,3,0.3,3
369,248,0.3,4
375.5,249,0.3,2
371.5,248,0.3,5
376.5,247,0.3,2
347.5,175,0.3,5
241,3,0.3,3
372,249,0.3,4
376.5,247,0.3,2
372,3,0.3,5
376.5,247,0.3,2
220,18,0.3,4
241,3,0.3,3
365,3,0.3,5
244,2,0.3,3
375,250,0.3,4
376,248,0.3,2
371.5,26,0.3,5
376,248,0.3,2
250,3,0.3,4
244,2,0.3,3
375,248,0.3,5
363,246,0.3,4
241,3,0.3,3
241,3,0.3,3
363,246,0.3,4
375,250,0.3,2
375,248,0.3,5
375.5,249,0.3,2
364.5,6,0.3,5
241,3,0.3,3
357,244,0.3,4
376,248,0.3,2
371.5,58,0.3,5
376,248,0.3,2
369,248,0.3,4
244,2,0.3,3
368.5,5,0.3,5
247,1,0.3,3
375,250,0.3,4
376,248,0.3,2
368.5,3,0.3,5
375.5,249,0.3,2
375,250,0.3,4
241,3,0.3,3
375,250,0.3,5
375,250,0.3,4
244,2,0.3,3
244,2,0.3,3
375,250,0.3,4
376,248,0.3,2
368.5,5,0.3,5
375,250,0.3,2
368,2,0.3,5
244,2,0.3,3
369,248,0.3,4
376.5,247,0.3,2
371.5,2,0.3,5
376,248,0.3,2
345,240,0.3,4
241,3,0.3,3
371.5,2,0.3,5
244,2,0.3,3
249.5,2,0.3,4
375.5,249,0.3,2
365,3,0.3,5
376,248,0.3,2
354,243,0.3,4
244,2,0.3,3
368.5,3,0.3,5
372,249,0.3,4
244,2,0.3,3
244,2,0.3,3
372,249,0.3,4
375.5,249,0.3,2
368.5,3,0.3,5
376,248,0.3,2
357.5,238,0.3,5
241,3,0.3,3
248,4,0.3,4
376,248,0.3,2
364.5,4,0.3,5
375.5,249,0.3,2
372,249,0.3,4
247,1,0.3,3
371.5,2,0.3,5
238,4,0.3,3
372,249,0.3,4
375,250,0.3,2
368.5,3,0.3,5
375,250,0.3,2
369,248,0.3,4
241,3,0.3,3
365,193,0.3,5
363,246,0.3,4
241,3,0.3,3
238,4,0.3,3
372,249,0.3,4
376,248,0.3,2
375,250,0.3,5
375,250,0.3,2
368,248,0.3,5
241,3,0.3,3
357,244,0.3,4
375.5,249,0.3,2
372,3,0.3,5
377.5,245,0.3,2
375,250,0.3,4
244,2,0.3,3
365,3,0.3,5
238,4,0.3,3
248,4,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375.5,249,0.3,2
240,8,0.3,4
241,3,0.3,3
375,248,0.3,5
366,247,0.3,4
241,3,0.3,3
241,3,0.3,3
372,249,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375.5,249,0.3,2
361.5,51,0.3,5
241,3,0.3,3
372,249,0.3,4
375,250,0.3,2
375,250,0.3,5
375.5,249,0.3,2
366,247,0.3,4
238,4,0.3,3
371.5,248,0.3,5
241,3,0.3,3
242,7,0.3,4
376.5,247,0.3,2
372,1,0.3,5
375,250,0.3,2
251.5,1,0.3,4
244,2,0.3,3
375,248,0.3,5
355.5,241,0.3,4
238,4,0.3,3
238,4,0.3,3
372,249,0.3,4
376,248,0.3,2
368,4,0.3,5
375.5,249,0.3,2
364.5,4,0.3,5
241,3,0.3,3
366,247,0.3,4
376,248,0.3,2
375,250,0.3,5
376.5,247,0.3,2
249.5,2,0.3,4
241,3,0.3,3
375,250,0.3,5
241,3,0.3,3
372,249,0.3,4
376.5,247,0.3,2
375,250,0.3,5
376,248,0.3,2
371.5,248,0.3,4
244,2,0.3,3
368.5,5,0.3,5
250,3,0.3,4
238,4,0.3,3
244,2,0.3,3
366,247,0.3,4
376,248,0.3,2
371.5,248,0.3,5
375.5,249,0.3,2
375,250,0.3,5
247,1,0.3,3
251,0,0.3,4
375.5,249,0.3,2
375,250,0.3,5
376,248,0.3,2
375,250,0.3,4
244,2,0.3,3
372,3,0.3,5
241,3,0.3,3
246,5,0.3,4
376.5,247,0.3,2
375,250,0.3,5
375.5,249,0.3,2
372,249,0.3,4
247,1,0.3,3
375,250,0.3,5
372,249,0.3,4
241,3,0.3,3
244,2,0.3,3
375,250,0.3,4
375.5,249,0.3,2
375,250,0.3,5
376,248,0.3,2
375,250,0.3,5
244,2,0.3,3
372,249,0.3,4
375.5,249,0.3,2
368.5,3,0.3,5
375.5,249,0.3,2
249,1,0.3,4
244,2,0.3,3
371.5,4,0.3,5
241,3,0.3,3
345,240,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375.5,249,0.3,2
372,249,0.3,4
244,2,0.3,3
371.5,62,0.3,5
249.5,2,0.3,4
244,2,0.3,3
244,2,0.3,3
247,2,0.3,4
376,248,0.3,2
375,250,0.3,5
375.5,249,0.3,2
371.5,248,0.3,5
244,2,0.3,3
357,244,0.3,4
375,250,0.3,2
372,57,0.3,5
376,248,0.3,2
246,5,0.3,4
244,2,0.3,3
375,250,0.3,5
241,3,0.3,3
252,2,0.3,4
375.5,249,0.3,2
368,248,0.3,5
375.5,249,0.3,2
247,2,0.3,4
241,3,0.3,3
375,250,0.3,5
369,248,0.3,4
241,3,0.3,3
238,4,0.3,3
372,249,0.3,4
375.5,249,0.3,2
372,3,0.3,5
375,250,0.3,2
368,244,0.3,5
244,2,0.3,3
247,2,0.3,4
375,250,0.3,2
375,248,0.3,5
375,250,0.3,2
372,249,0.3,4
241,3,0.3,3
371.5,4,0.3,5
250,0,0.3,3
242,7,0.3,4
375,250,0.3,2
365,3,0.3,5
375.5,249,0.3,2
345,240,0.3,4
244,2,0.3,3
372,3,0.3,5
375,250,0.3,4
238,4,0.3,3
238,4,0.3,3
375,250,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375.5,249,0.3,2
361,4,0.3,5
241,3,0.3,3
375,250,0.3,4
375.5,249,0.3,2
365,3,0.3,5
376,248,0.3,2
357,244,0.3,4
241,3,0.3,3
375,250,0.3,5
241,3,0.3,3
348,241,0.3,4
375.5,249,0.3,2
372,1,0.3,5
376.5,247,0.3,2
371.5,248,0.3,4
244,2,0.3,3
372,3,0.3,5
359,243,0.3,4
241,3,0.3,3
241,3,0.3,3
372,249,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375.5,249,0.3,2
368,4,0.3,5
244,2,0.3,3
251,0,0.3,4
376,248,0.3,2
372,93,0.3,5
376.5,247,0.3,2
372,249,0.3,4
238,4,0.3,3
368.5,3,0.3,5
241,3,0.3,3
247,2,0.3,4
376,248,0.3,2
368.5,3,0.3,5
375.5,249,0.3,2
249.5,2,0.3,4
238,4,0.3,3
368.5,3,0.3,5
353.5,242,0.3,4
238,4,0.3,3
238,4,0.3,3
369,248,0.3,4
376.5,247,0.3,2
368.5,3,0.3,5
376.5,247,0.3,2
364.5,4,0.3,5
241,3,0.3,3
250,3,0.3,4
375.5,249,0.3,2
368,4,0.3,5
375,250,0.3,2
369,248,0.3,4
238,4,0.3,3
375,248,0.3,5
244,2,0.3,3
360,245,0.3,4
375.5,249,0.3,2
365,3,0.3,5
377,246,0.3,2
354,243,0.3,4
244,2,0.3,3
368.5,5,0.3,5
369,248,0.3,4
244,2,0.3,3
241,3,0.3,3
375,250,0.3,4
376,248,0.3,2
368.5,5,0.3,5
376,248,0.3,2
361,4,0.3,5
244,2,0.3,3
242,7,0.3,4
375.5,249,0.3,2
368.5,3,0.3,5
375,250,0.3,2
354,243,0.3,4
238,4,0.3,3
372,3,0.3,5
241,3,0.3,3
369,248,0.3,4
376,248,0.3,2
375,250,0.3,5
376,248,0.3,2
369,248,0.3,4
238,4,0.3,3
375,250,0.3,5
372,249,0.3,4
241,3,0.3,3
244,2,0.3,3
372,249,0.3,4
376,248,0.3,2
371.5,248,0.3,5
375,250,0.3,2
375,250,0.3,5
241,3,0.3,3
356.5,243,0.3,4
375,250,0.3,2
375,250,0.3,5
375.5,249,0.3,2
249.5,2,0.3,4
244,2,0.3,3
368.5,3,0.3,5
238,4,0.3,3
375,250,0.3,4
377,246,0.3,2
368.5,5,0.3,5
375.5,249,0.3,2
236,10,0.3,4
241,3,0.3,3
368,82,0.3,5
363,246,0.3,4
238,4,0.3,3
247,1,0.3,3
251.5,1,0.3,4
376,248,0.3,2
368.5,155,0.3,5
375,250,0.3,2
375,250,0.3,5
244,2,0.3,3
375,250,0.3,4
375,250,0.3,2
375,250,0.3,5
377,246,0.3,2
249.5,2,0.3,4
238,4,0.3,3
375,250,0.3,5
244,2,0.3,3
371.5,248,0.3,4
375,250,0.3,2
371.5,4,0.3,5
376.5,247,0.3,2
250,3,0.3,4
247,1,0.3,3
365,3,0.3,5
375,250,0.3,4
244,2,0.3,3
238,4,0.3,3
345,240,0.3,4
375,250,0.3,2
372,51,0.3,5
375,250,0.3,2
364.5,4,0.3,5
238,4,0.3,3
251.5,1,0.3,4
375,250,0.3,2
368.5,5,0.3,5
375,250,0.3,2
371.5,248,0.3,4
244,2,0.3,3
368.5,25,0.3,5
241,3,0.3,3
247,2,0.3,4
376,248,0.3,2
371.5,4,0.3,5
375,250,0.3,2
246,5,0.3,4
241,3,0.3,3
371.5,248,0.3,5
362.5,245,0.3,4
244,2,0.3,3
238,4,0.3,3
366,247,0.3,4
376,248,0.3,2
368.5,3,0.3,5
375.5,249,0.3,2
371.5,248,0.3,5
241,3,0.3,3
366,247,0.3,4
375.5,249,0.3,2
375,250,0.3,5
375.5,249,0.3,2
249.5,2,0.3,4
241,3,0.3,3
372,3,0.3,5
244,2,0.3,3
250,3,0.3,4
375,250,0.3,2
371.5,4,0.3,5
375,250,0.3,2
372,249,0.3,4
244,2,0.3,3
371.5,2,0.3,5
372,249,0.3,4
241,3,0.3,3
238,4,0.3,3
247,2,0.3,4
375,250,0.3,2
372,3,0.3,5
